SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
1018GS2026,GS,125.0,125.0,125.0,125.0,125.0,591,0.74,4,591,100.00,19-Dec-2023
20MICRONS,EQ,180.1,184.25,175.5,179.35,178.65,108758,195.37,4498,45867,42.17,19-Dec-2023
21STCENMGM,EQ,30.45,30.45,30.45,30.45,29.9,3131,0.95,28,3131,100.00,19-Dec-2023
360ONE,EQ,661.3,673.85,644.3,647.6,665.25,647471,4207.71,39353,442877,68.40,19-Dec-2023
3IINFOLTD,EQ,47.7,47.95,46.1,46.7,47.4,1250615,584.61,5790,533364,42.65,19-Dec-2023
3MINDIA,EQ,31169.0,31580.0,31000.0,31469.45,31016.05,2661,835.74,1874,1298,48.78,19-Dec-2023
3PLAND,EQ,27.75,27.75,25.4,26.25,26.35,25486,6.81,557,13734,53.89,19-Dec-2023
585GS2030,GS,93.3,93.3,93.3,93.3,93.25,1070,1.0,2,1070,100.00,19-Dec-2023
5PAISA,EQ,512.0,516.4,508.1,512.5,510.15,131420,672.26,8876,79712,60.65,19-Dec-2023
610GS2031,GS,96.0,96.0,96.0,96.0,96.17,9,0.01,2,9,100.00,19-Dec-2023
618GS2024,GS,99.43,99.43,99.43,99.43,99.9,1,0.0,1,1,100.00,19-Dec-2023
63MOONS,BE,490.0,498.1,468.75,468.75,493.4,334062,1583.5,5238,-,-,19-Dec-2023
654GS2032,GS,99.05,99.05,99.05,99.05,99.05,3,0.0,2,3,100.00,19-Dec-2023
667GS2035,GS,95.73,95.73,95.7,95.72,95.74,1814,1.74,10,1814,100.00,19-Dec-2023
667GS2050,GS,95.35,95.35,92.85,92.85,95.1,3250,3.03,10,3040,93.54,19-Dec-2023
669GS2024,GS,103.0,103.0,103.0,103.0,102.8,500,0.52,2,500,100.00,19-Dec-2023
676GS2061,GS,92.5,92.5,92.5,92.5,92.5,1,0.0,1,1,100.00,19-Dec-2023
689GS2025,GS,102.8,102.8,102.8,102.8,102.8,100,0.1,1,100,100.00,19-Dec-2023
68GS2060,GS,96.15,99.0,96.15,99.0,94.57,256,0.25,2,256,100.00,19-Dec-2023
695GS2061,GS,93.0,97.0,93.0,97.0,96.81,402,0.38,8,392,97.51,19-Dec-2023
699GS2026,GS,101.05,101.05,101.05,101.05,101.05,5,0.01,1,5,100.00,19-Dec-2023
699GS2051,GS,97.55,97.55,97.5,97.5,97.59,391,0.38,9,391,100.00,19-Dec-2023
706GS2028,GS,102.0,102.0,100.75,100.8,100.52,830,0.84,3,828,99.76,19-Dec-2023
710GS2029,GS,100.66,101.22,100.66,101.15,101.28,20310,20.49,19,11602,57.12,19-Dec-2023
716GS2050,GS,99.42,100.53,99.42,100.53,99.42,359,0.36,5,359,100.00,19-Dec-2023
717GS2030,GS,99.59,101.75,99.59,101.47,101.75,37100,37.29,13,37100,100.00,19-Dec-2023
718GS2033,GS,100.67,101.0,100.67,101.0,102.06,1101,1.11,13,1101,100.00,19-Dec-2023
718GS2037,GS,101.57,102.0,101.56,101.9,101.51,4300,4.37,10,4300,100.00,19-Dec-2023
719GS2060,GS,101.55,101.55,101.55,101.55,100.55,500,0.51,1,500,100.00,19-Dec-2023
725GS2063,GS,98.97,98.98,98.6,98.9,98.87,29100,28.78,23,28900,99.31,19-Dec-2023
726GS2033,GS,101.25,102.99,101.0,102.99,102.3,81505,83.26,13,81505,100.00,19-Dec-2023
732GS2030,GS,99.78,100.11,99.78,100.1,101.0,151,0.15,4,150,99.34,19-Dec-2023
733GS2026,GS,101.82,101.82,101.8,101.8,101.82,3900,3.97,12,3900,100.00,19-Dec-2023
736GS2052,GS,102.15,102.7,101.0,102.54,102.44,5021,5.13,9,3342,66.56,19-Dec-2023
737GS2028,GS,101.8,102.5,101.8,102.44,102.2,5450,5.57,23,5450,100.00,19-Dec-2023
738GS2027,GS,100.51,101.2,100.5,100.94,104.58,266190,268.64,129,266190,100.00,19-Dec-2023
73GS2053,GS,99.75,99.75,99.7,99.7,99.75,9675,9.65,11,9675,100.00,19-Dec-2023
741GS2036,GS,101.0,101.3,101.0,101.25,100.85,18877,19.1,31,18877,100.00,19-Dec-2023
746GS2073,GS,99.69,102.3,99.69,102.3,101.59,2296,2.33,12,2096,91.29,19-Dec-2023
74GS2062,GS,106.53,106.53,102.0,104.95,103.94,5312,5.42,5,5312,100.00,19-Dec-2023
754GS2036,GS,102.61,102.99,102.6,102.84,102.61,128974,132.47,101,120372,93.33,19-Dec-2023
795GS2032,GS,107.55,107.55,107.55,107.55,107.55,150,0.16,1,150,100.00,19-Dec-2023
897GS2030,GS,107.67,110.29,107.67,110.29,110.0,500,0.54,2,250,50.00,19-Dec-2023
92GS2030,GS,113.45,113.45,112.99,112.99,114.0,14602,16.52,13,13601,93.14,19-Dec-2023
A2ZINFRA,BE,10.7,10.7,10.7,10.7,10.5,104511,11.18,60,-,-,19-Dec-2023
AAATECH,EQ,88.95,91.75,87.15,89.5,88.05,389947,347.66,2640,242786,62.26,19-Dec-2023
AAKASH,BE,10.65,11.0,10.55,10.55,11.1,1338849,142.06,2467,-,-,19-Dec-2023
AAREYDRUGS,BE,48.35,48.9,46.6,47.45,48.3,20115,9.54,103,-,-,19-Dec-2023
AARON,EQ,289.05,298.9,289.0,290.85,291.1,11678,34.07,1015,6601,56.53,19-Dec-2023
AARTECH,EQ,142.1,143.85,134.55,137.0,141.6,17523,24.41,403,13210,75.39,19-Dec-2023
AARTIDRUGS,EQ,500.0,520.0,497.0,517.6,492.85,2505086,12876.03,71007,461793,18.43,19-Dec-2023
AARTIIND,EQ,606.4,614.4,603.05,608.9,602.45,2952696,18000.62,73515,1155280,39.13,19-Dec-2023
AARTIPHARM,EQ,493.0,504.95,490.0,497.7,489.55,263141,1310.58,15131,138277,52.55,19-Dec-2023
AARTISURF,EQ,628.95,638.0,626.0,634.05,628.35,29219,184.54,2266,18071,61.85,19-Dec-2023
AARVEEDEN,EQ,31.25,33.0,28.2,28.65,30.5,2450514,758.22,6802,968257,39.51,19-Dec-2023
AARVI,EQ,145.85,146.85,140.8,141.45,144.05,35125,50.21,765,24095,68.60,19-Dec-2023
AATMAJ,SM,41.85,42.3,40.6,41.5,41.2,26000,10.83,13,18000,69.23,19-Dec-2023
AAVAS,EQ,1560.0,1572.95,1525.0,1529.05,1555.9,221252,3393.51,25326,131324,59.35,19-Dec-2023
ABAN,BE,52.1,54.7,52.05,54.7,52.1,276923,149.4,1159,-,-,19-Dec-2023
ABB,EQ,4922.0,4925.6,4800.05,4838.95,4888.4,223298,10813.92,21764,102632,45.96,19-Dec-2023
ABBOTINDIA,EQ,22781.0,23052.5,22752.25,22902.25,22780.3,11982,2744.25,3003,7288,60.82,19-Dec-2023
ABCAPITAL,EQ,166.0,166.25,163.6,164.75,165.9,3938080,6487.8,65077,2065059,52.44,19-Dec-2023
ABCOTS,SM,116.3,122.85,116.25,122.85,117.0,8000,9.56,4,6000,75.00,19-Dec-2023
ABFRL,EQ,233.45,234.5,230.4,231.0,233.45,1011975,2347.88,11568,375769,37.13,19-Dec-2023
ABINFRA,SM,48.0,48.0,48.0,48.0,47.5,4000,1.92,1,4000,100.00,19-Dec-2023
ABMINTLLTD,BE,45.4,45.5,44.0,45.45,45.4,131,0.06,10,-,-,19-Dec-2023
ABSLAMC,EQ,477.6,477.6,465.8,469.15,475.5,137010,645.11,4400,67567,49.32,19-Dec-2023
ABSLBANETF,EQ,48.67,48.67,48.1,48.19,48.28,97708,47.12,505,88102,90.17,19-Dec-2023
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.0,1000.01,1314,13.14,28,924,70.32,19-Dec-2023
ABSLNN50ET,EQ,53.98,54.09,53.43,53.97,53.98,2816,1.51,100,2574,91.41,19-Dec-2023
ACC,EQ,2238.0,2254.0,2187.7,2202.75,2237.25,445489,9834.32,37232,185510,41.64,19-Dec-2023
ACCELYA,EQ,1399.5,1419.3,1391.05,1397.3,1398.6,34991,491.35,4885,19544,55.85,19-Dec-2023
ACCENTMIC,ST,290.0,299.5,284.3,286.75,299.25,495000,1423.16,429,448000,90.51,19-Dec-2023
ACCURACY,BE,9.7,9.7,9.3,9.4,9.5,356807,33.54,1136,-,-,19-Dec-2023
ACE,EQ,848.0,850.0,826.0,836.25,842.35,173400,1450.97,14430,100399,57.90,19-Dec-2023
ACEINTEG,EQ,47.15,47.15,44.5,45.15,47.05,44430,20.33,571,28203,63.48,19-Dec-2023
ACI,EQ,616.0,628.9,616.0,622.1,611.5,499640,3112.75,19502,229422,45.92,19-Dec-2023
ACL,EQ,114.8,118.5,112.0,112.7,114.1,58235,66.36,911,37428,64.27,19-Dec-2023
ACLGATI,EQ,138.5,147.0,138.45,144.55,137.7,2087878,3021.0,20664,800911,38.36,19-Dec-2023
ACSAL,SM,69.95,70.0,64.35,65.9,67.5,66000,44.57,22,48000,72.73,19-Dec-2023
ADANIENSOL,EQ,1051.0,1088.7,1031.15,1076.2,1043.05,3356750,35859.63,63626,1948561,58.05,19-Dec-2023
ADANIENT,EQ,2988.8,2994.35,2915.0,2941.25,2980.6,1741493,51380.38,81742,317638,18.24,19-Dec-2023
ADANIGREEN,EQ,1530.5,1555.0,1506.0,1531.8,1524.65,965109,14780.93,42269,487331,50.49,19-Dec-2023
ADANIPORTS,EQ,1095.0,1099.0,1068.6,1074.0,1094.3,5993252,64778.14,132457,2529397,42.20,19-Dec-2023
ADANIPOWER,BE,547.5,547.5,528.1,535.45,539.35,1607643,8637.49,33048,-,-,19-Dec-2023
ADFFOODS,EQ,200.3,207.25,199.6,202.45,199.35,381937,778.32,13952,174886,45.79,19-Dec-2023
ADL,BE,88.9,93.3,88.9,92.5,91.5,3013,2.77,45,-,-,19-Dec-2023
ADORWELD,EQ,1488.8,1496.85,1474.0,1492.0,1476.05,16237,241.53,2795,8135,50.10,19-Dec-2023
ADROITINFO,BE,20.55,22.05,20.55,21.95,21.0,35150,7.53,144,-,-,19-Dec-2023
ADSL,EQ,126.8,127.5,124.5,124.95,125.9,289540,364.12,4421,141940,49.02,19-Dec-2023
ADVANIHOTR,EQ,105.05,106.65,104.75,106.3,104.75,65144,68.85,1531,31944,49.04,19-Dec-2023
ADVENZYMES,EQ,376.5,376.7,372.35,374.8,374.85,459713,1722.04,11459,280379,60.99,19-Dec-2023
AEGISCHEM,EQ,369.15,381.45,366.75,377.4,368.65,579609,2177.02,18656,185321,31.97,19-Dec-2023
AEROFLEX,EQ,151.5,152.4,150.2,150.45,150.85,413117,622.93,7289,233367,56.49,19-Dec-2023
AETHER,EQ,950.0,950.0,879.95,924.0,909.35,1377610,12638.28,32850,494670,35.91,19-Dec-2023
AFFLE,EQ,1248.0,1264.95,1230.2,1254.2,1245.8,489481,6132.85,31967,228568,46.70,19-Dec-2023
AGARIND,EQ,941.5,964.55,927.0,945.3,941.5,49895,471.08,6471,20044,40.17,19-Dec-2023
AGI,EQ,834.05,877.45,833.0,861.6,834.05,282847,2438.3,20261,100485,35.53,19-Dec-2023
AGNI,SM,27.1,27.6,26.3,27.0,28.05,135000,36.47,26,115000,85.19,19-Dec-2023
AGRITECH,EQ,195.45,205.0,191.55,201.4,193.15,17837,35.69,915,9302,52.15,19-Dec-2023
AGROPHOS,EQ,42.2,42.4,40.8,41.0,42.2,71702,29.66,514,54696,76.28,19-Dec-2023
AGSTRA,EQ,93.5,94.25,90.05,91.1,93.05,618802,566.8,4338,392067,63.36,19-Dec-2023
AGUL,ST,78.0,78.0,78.0,78.0,75.0,2000,1.56,1,2000,100.00,19-Dec-2023
AHL,EQ,320.1,322.2,317.2,319.95,318.65,43348,138.43,1333,27050,62.40,19-Dec-2023
AHLADA,EQ,116.8,116.8,110.0,111.6,114.75,110962,124.06,2236,74066,66.75,19-Dec-2023
AHLEAST,EQ,144.65,151.95,143.85,146.85,144.15,36975,54.75,2020,12441,33.65,19-Dec-2023
AHLUCONT,EQ,834.0,834.0,818.05,819.9,820.1,70944,583.89,4890,49211,69.37,19-Dec-2023
AIAENG,EQ,3589.0,3593.95,3529.0,3536.75,3563.75,59846,2130.71,8647,46402,77.54,19-Dec-2023
AILIMITED,SM,29.0,30.35,29.0,30.3,28.95,54000,16.18,9,42000,77.78,19-Dec-2023
AIRAN,BE,23.7,24.2,23.65,24.05,23.4,314964,75.6,1383,-,-,19-Dec-2023
