SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
1018GS2026,GS,107.1,107.1,107.1,107.1,107.1,100,0.11,1,100,100.00,18-Jun-2021
20MICRONS,EQ,64.8,65.5,60.0,62.0,64.2,199603,124.12,3367,116792,58.51,18-Jun-2021
21STCENMGM,EQ,19.5,19.5,19.5,19.5,19.15,2133,0.42,8,2133,100.00,18-Jun-2021
3IINFOTECH,BE,10.5,10.5,9.55,10.5,10.0,33350269,3446.28,15827,-,-,18-Jun-2021
3MINDIA,EQ,25324.7,25600.0,24861.0,25445.4,25260.9,10227,2597.3,2890,8039,78.61,18-Jun-2021
3PLAND,EQ,13.75,14.1,13.5,13.8,13.75,32748,4.49,97,21447,65.49,18-Jun-2021
585GS2030,GS,99.79,99.79,99.79,99.79,95.04,100,0.1,1,100,100.00,18-Jun-2021
5PAISA,EQ,432.0,435.0,402.2,417.55,423.35,50352,208.66,2324,24148,47.96,18-Jun-2021
63MOONS,BE,90.1,91.85,87.1,89.2,91.1,45491,40.53,540,-,-,18-Jun-2021
664GS2035,GS,102.0,102.0,101.0,101.5,103.0,1997,2.02,6,1997,100.00,18-Jun-2021
667GS2050,GS,101.0,102.0,100.0,101.91,102.0,1722,1.75,21,1622,94.19,18-Jun-2021
676GS2061,GS,100.2,103.0,100.2,103.0,100.0,2127,2.13,17,2127,100.00,18-Jun-2021
719GS2060,GS,112.9,112.9,112.9,112.9,112.9,2000,2.26,1,2000,100.00,18-Jun-2021
772GS2049,GS,119.0,119.0,119.0,119.0,115.0,1,0.0,1,1,100.00,18-Jun-2021
A2ZINFRA,BE,5.65,5.7,5.35,5.35,5.6,510091,27.68,510,-,-,18-Jun-2021
AAATECH,SM,71.0,71.0,65.6,67.15,67.0,33000,22.85,10,12000,36.36,18-Jun-2021
AAKASH,EQ,180.75,183.35,178.25,182.6,180.75,43739,79.13,511,12625,28.86,18-Jun-2021
AARON,BE,72.9,72.9,67.95,68.0,71.5,11828,8.1,168,-,-,18-Jun-2021
AARTIDRUGS,EQ,732.6,732.7,709.0,720.1,727.15,282121,2029.61,15655,115065,40.79,18-Jun-2021
AARTIIND,EQ,1824.1,1830.0,1752.1,1770.35,1811.8,808127,14413.69,38405,460233,56.95,18-Jun-2021
AARTISURF,EQ,1362.1,1379.0,1275.0,1340.85,1356.8,18209,243.46,3409,9170,50.36,18-Jun-2021
AARVEEDEN,BE,23.8,25.0,23.3,23.3,24.25,9572,2.28,148,-,-,18-Jun-2021
AARVI,EQ,68.9,68.9,65.1,66.7,68.05,27521,18.39,553,13184,47.91,18-Jun-2021
AAVAS,EQ,2540.05,2624.0,2423.0,2512.2,2515.55,154854,3926.79,15094,71724,46.32,18-Jun-2021
ABAN,BE,49.25,49.8,46.4,46.75,48.8,148212,69.57,969,-,-,18-Jun-2021
ABB,EQ,1730.0,1753.0,1656.95,1743.45,1716.5,128040,2194.99,10639,49177,38.41,18-Jun-2021
ABBOTINDIA,EQ,16490.0,16630.0,16020.0,16536.7,16526.45,18388,3010.54,5660,8127,44.20,18-Jun-2021
ABCAPITAL,EQ,122.3,123.2,117.05,118.5,122.05,4330142,5171.34,31236,1974564,45.60,18-Jun-2021
ABFRL,EQ,203.5,204.4,193.8,201.6,201.5,2024306,4046.17,17507,897660,44.34,18-Jun-2021
ABFRLPP1,E1,172.0,172.85,163.0,168.05,167.15,10366,17.18,606,5565,53.69,18-Jun-2021
ABMINTLTD,EQ,71.95,72.0,68.8,71.25,68.65,3599,2.53,70,3309,91.94,18-Jun-2021
ABSLBANETF,EQ,343.3,344.5,337.95,344.5,343.65,562,1.92,66,454,80.78,18-Jun-2021
ABSLFTSGRN,MF,10.05,10.05,10.05,10.05,10.8,19100,1.92,12,19100,100.00,18-Jun-2021
ABSLNN50ET,EQ,389.2,389.8,384.35,385.87,393.45,54,0.21,16,41,75.93,18-Jun-2021
ABSLRIF6RG,MF,9.11,9.75,9.11,9.5,9.79,2690,0.26,3,2690,100.00,18-Jun-2021
ACC,EQ,2043.25,2063.0,1996.2,2027.9,2042.2,502755,10202.06,21448,202797,40.34,18-Jun-2021
ACCELYA,EQ,1181.0,1199.95,1116.15,1173.6,1169.85,231028,2696.73,9126,114915,49.74,18-Jun-2021
ACCORD,SM,15.75,15.75,14.45,14.95,15.0,8000,1.22,4,4000,50.00,18-Jun-2021
ACCURACY,EQ,80.0,84.0,79.0,80.8,82.25,17539,14.08,155,15383,87.71,18-Jun-2021
ACE,EQ,233.1,234.8,210.0,223.15,231.05,1195459,2639.8,22035,437477,36.59,18-Jun-2021
ACRYSIL,EQ,539.0,550.0,502.0,520.0,534.5,195794,1027.89,10807,88229,45.06,18-Jun-2021
ADANIENT,EQ,1350.0,1504.0,1332.55,1487.5,1367.7,30526777,434218.46,775906,2379125,7.79,18-Jun-2021
ADANIGREEN,BE,1067.5,1075.0,1067.5,1067.55,1123.65,1227389,13109.63,25122,-,-,18-Jun-2021
ADANIPORTS,EQ,643.2,704.6,638.1,694.35,646.9,76266975,514238.14,1113230,9842684,12.91,18-Jun-2021
ADANIPOWER,BE,114.9,114.9,114.9,114.9,120.9,1711957,1967.04,16136,-,-,18-Jun-2021
ADANITRANS,BE,1240.15,1240.15,1240.15,1240.15,1305.4,184482,2287.85,3566,-,-,18-Jun-2021
ADFFOODS,EQ,997.0,997.0,933.05,954.95,976.9,36801,353.14,4960,15465,42.02,18-Jun-2021
ADL,BE,37.5,37.5,35.0,35.65,36.8,9819,3.57,70,-,-,18-Jun-2021
ADORWELD,EQ,629.9,638.0,586.75,607.55,628.15,47059,286.18,4319,22453,47.71,18-Jun-2021
ADROITINFO,EQ,11.8,11.85,11.15,11.3,11.45,7298,0.84,131,6270,85.91,18-Jun-2021
ADSL,EQ,64.0,64.0,59.4,61.15,62.5,344745,210.71,2597,180388,52.33,18-Jun-2021
ADVANIHOTR,EQ,66.65,69.0,64.75,67.05,63.65,156601,105.33,2548,60915,38.90,18-Jun-2021
ADVENZYMES,EQ,442.55,443.8,411.45,416.1,431.95,816292,3472.48,24990,266184,32.61,18-Jun-2021
AEGISCHEM,EQ,360.0,361.6,343.0,354.5,358.5,562620,1967.54,16106,270471,48.07,18-Jun-2021
AFFLE,BE,4977.0,4977.0,4730.45,4730.45,4979.4,121191,5766.08,30617,-,-,18-Jun-2021
AGARIND,EQ,297.5,299.9,281.2,289.6,295.3,90889,262.31,2063,59847,65.85,18-Jun-2021
AGCNET,BE,1300.0,1300.0,1246.3,1252.35,1311.85,5484,69.21,251,-,-,18-Jun-2021
AGRITECH,EQ,44.9,46.95,44.05,44.65,44.75,29549,13.46,343,12358,41.82,18-Jun-2021
AGROPHOS,EQ,14.45,14.85,13.85,14.05,14.6,304692,43.27,1508,58821,19.31,18-Jun-2021
AHLADA,EQ,178.95,179.0,160.0,172.5,176.15,51476,86.75,1313,31359,60.92,18-Jun-2021
AHLEAST,EQ,178.35,178.35,171.0,173.4,176.6,2500,4.35,158,1420,56.80,18-Jun-2021
AHLUCONT,EQ,319.8,323.0,297.05,318.25,317.65,7556,23.44,705,3259,43.13,18-Jun-2021
