SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,64.0,66.5,63.6,65.1,62.65,331271,215.89,4351,175360,52.94,10-Jun-2021
21STCENMGM,EQ,17.25,17.45,17.25,17.45,17.15,773,0.13,8,773,100.00,10-Jun-2021
3IINFOTECH,BE,8.8,9.05,8.75,9.05,8.65,9033227,811.12,4302,-,-,10-Jun-2021
3MINDIA,EQ,25974.0,26073.7,25820.0,26023.65,25780.75,2925,760.43,866,1433,48.99,10-Jun-2021
3PLAND,EQ,14.0,14.0,13.5,13.55,13.4,14411,1.97,132,10734,74.48,10-Jun-2021
5PAISA,EQ,379.65,387.15,367.45,374.35,375.85,60198,226.89,2167,27431,45.57,10-Jun-2021
63MOONS,BE,89.35,89.35,87.0,88.05,87.55,40927,36.08,363,-,-,10-Jun-2021
664GS2035,GS,100.5,100.5,100.5,100.5,101.0,1000,1.01,4,1000,100.00,10-Jun-2021
667GS2050,GS,103.0,103.0,102.0,102.0,104.23,1005,1.03,5,1005,100.00,10-Jun-2021
716GS2050,GS,110.0,112.0,110.0,112.0,112.0,371,0.41,4,371,100.00,10-Jun-2021
719GS2060,GS,113.0,113.0,113.0,113.0,108.32,1,0.0,1,1,100.00,10-Jun-2021
763GS2059,GS,120.0,120.0,120.0,120.0,120.0,8,0.01,1,8,100.00,10-Jun-2021
A2ZINFRA,BE,5.1,5.45,5.1,5.4,5.2,1708864,91.94,989,-,-,10-Jun-2021
AAATECH,SM,60.0,60.0,60.0,60.0,60.4,6000,3.6,2,6000,100.00,10-Jun-2021
AAKASH,EQ,167.0,169.8,166.25,169.1,167.75,51454,86.58,393,12845,24.96,10-Jun-2021
AARON,BE,82.8,82.8,79.85,81.65,81.55,5494,4.42,134,-,-,10-Jun-2021
AARTIDRUGS,EQ,737.9,743.55,733.75,734.9,736.3,284287,2094.96,12622,119721,42.11,10-Jun-2021
AARTIIND,EQ,1839.95,1839.95,1805.75,1827.8,1813.45,749809,13692.0,38632,219184,29.23,10-Jun-2021
AARTISURF,EQ,1386.05,1415.0,1369.9,1374.9,1382.25,33450,464.56,4259,18664,55.80,10-Jun-2021
AARVEEDEN,BE,22.75,23.9,22.75,23.55,23.2,11755,2.75,69,-,-,10-Jun-2021
AARVI,EQ,69.1,70.65,67.5,68.7,69.1,36394,25.12,559,26795,73.62,10-Jun-2021
AAVAS,EQ,2372.0,2495.0,2372.0,2478.25,2366.7,67270,1656.5,6726,37904,56.35,10-Jun-2021
ABAN,EQ,50.95,51.8,48.2,49.05,50.15,487177,243.47,3993,273941,56.23,10-Jun-2021
ABB,EQ,1680.0,1690.0,1660.0,1671.35,1674.85,87950,1471.76,7078,39037,44.39,10-Jun-2021
ABBOTINDIA,EQ,16200.0,16247.9,16076.95,16106.15,16076.95,14674,2370.74,2915,9639,65.69,10-Jun-2021
ABCAPITAL,EQ,126.2,127.9,124.8,126.55,125.35,2801466,3540.13,16251,1041257,37.17,10-Jun-2021
ABFRL,EQ,205.4,210.8,204.0,208.2,203.55,2417643,5040.51,24345,707810,29.28,10-Jun-2021
ABFRLPP1,E1,170.1,178.0,170.1,175.05,172.55,6323,11.04,218,4932,78.00,10-Jun-2021
ABINFRA,SM,8.5,8.5,8.5,8.5,8.1,36000,3.06,9,36000,100.00,10-Jun-2021
ABMINTLTD,EQ,78.25,78.25,71.7,75.5,75.0,6728,5.09,164,3873,57.57,10-Jun-2021
ABSLBANETF,EQ,345.82,349.0,345.0,348.69,345.12,19287,67.19,47,19220,99.65,10-Jun-2021
ABSLNN50ET,EQ,395.5,395.5,392.25,395.5,392.75,262,1.03,11,171,65.27,10-Jun-2021
ABSLRIF6RG,MF,9.72,9.73,9.72,9.73,9.77,5182,0.5,2,5182,100.00,10-Jun-2021
ACC,EQ,2015.0,2037.0,2004.4,2030.3,2004.4,364626,7394.07,15925,71356,19.57,10-Jun-2021
ACCELYA,EQ,1031.0,1235.0,1031.0,1203.9,1098.5,928102,10692.56,40004,215628,23.23,10-Jun-2021
ACCORD,SM,15.45,15.45,15.45,15.45,14.75,4000,0.62,2,4000,100.00,10-Jun-2021
ACCURACY,EQ,85.4,89.0,80.3,85.8,85.4,57223,48.12,1179,25300,44.21,10-Jun-2021
ACE,EQ,184.85,192.5,184.5,187.85,183.5,875367,1649.62,15394,253816,29.00,10-Jun-2021
ACRYSIL,EQ,518.1,536.85,516.35,526.15,515.65,95092,500.99,4400,55440,58.30,10-Jun-2021
ADANIENT,EQ,1612.0,1630.0,1591.0,1612.0,1594.65,5362307,86283.8,114278,1047267,19.53,10-Jun-2021
ADANIGREEN,BE,1250.0,1260.0,1208.0,1233.5,1239.15,1367276,16741.61,25108,-,-,10-Jun-2021
ADANIPORTS,EQ,858.55,863.95,843.3,846.75,852.6,11744190,99863.71,182614,2911532,24.79,10-Jun-2021
ADANIPOWER,EQ,157.35,164.0,153.0,154.1,152.35,57693663,90648.8,297557,18785106,32.56,10-Jun-2021
ADANITRANS,BE,1597.1,1609.8,1570.0,1589.9,1571.5,143589,2283.66,8369,-,-,10-Jun-2021
ADFFOODS,EQ,994.0,1012.0,985.2,997.3,993.75,21152,210.52,2052,10728,50.72,10-Jun-2021
ADL,BE,32.0,33.55,30.6,31.75,32.0,4241,1.39,42,-,-,10-Jun-2021
ADORWELD,EQ,579.2,608.0,579.2,600.05,578.3,70234,419.16,4586,36526,52.01,10-Jun-2021
ADROITINFO,EQ,11.05,11.2,10.5,10.65,11.05,26669,2.85,166,22604,84.76,10-Jun-2021
ADSL,EQ,61.8,62.5,59.95,60.6,60.65,212264,129.81,2063,115820,54.56,10-Jun-2021
ADVANIHOTR,EQ,68.3,68.3,65.1,65.75,66.9,21401,14.11,351,13694,63.99,10-Jun-2021
ADVENZYMES,EQ,412.35,416.95,410.15,412.75,410.25,168048,694.55,7059,75844,45.13,10-Jun-2021
AEGISCHEM,EQ,370.9,386.2,370.0,376.0,368.6,1177921,4478.6,22692,437702,37.16,10-Jun-2021
AFFLE,BE,5290.0,5344.0,5228.0,5237.6,5227.15,22562,1189.93,5189,-,-,10-Jun-2021
AGARIND,EQ,245.0,250.0,236.0,246.5,239.15,38355,93.89,1046,19663,51.27,10-Jun-2021
AGCNET,BE,1290.0,1338.0,1245.0,1302.5,1291.95,4799,62.02,209,-,-,10-Jun-2021
AGRITECH,EQ,47.55,49.0,47.0,47.7,47.0,13761,6.62,205,10617,77.15,10-Jun-2021
AGROPHOS,EQ,14.9,15.0,14.5,14.8,14.55,167237,24.66,853,56068,33.53,10-Jun-2021
AHLADA,EQ,145.0,169.7,144.0,160.0,143.15,245582,389.25,4213,138601,56.44,10-Jun-2021
AHLEAST,EQ,187.6,187.6,171.6,180.2,184.05,11189,20.03,526,6298,56.29,10-Jun-2021
AHLUCONT,EQ,310.05,326.5,309.95,323.15,315.6,26971,86.73,1424,19024,70.54,10-Jun-2021
AHLWEST,EQ,215.0,215.95,204.0,215.25,215.35,22329,47.64,1424,11843,53.04,10-Jun-2021
AIAENG,EQ,1971.0,1988.0,1946.0,1957.4,1946.25,24963,491.11,2306,18766,75.18,10-Jun-2021
AIRAN,EQ,23.35,23.8,23.2,23.55,23.1,98927,23.27,707,61929,62.60,10-Jun-2021
AIROLAM,SM,28.6,28.7,28.6,28.65,26.5,9000,2.58,3,9000,100.00,10-Jun-2021
AISL,SM,47.4,47.4,45.85,47.4,46.2,27600,12.91,18,2400,8.70,10-Jun-2021
AJANTPHARM,EQ,1944.55,1958.95,1934.85,1952.0,1921.45,43098,839.72,5143,19861,46.08,10-Jun-2021
AJMERA,EQ,151.5,169.4,150.95,167.25,150.5,1149520,1880.15,16505,417172,36.29,10-Jun-2021
AJOONI,BE,51.15,51.15,51.15,51.15,53.8,46844,23.96,213,-,-,10-Jun-2021
AKASH,EQ,215.3,222.0,210.9,216.95,209.85,62526,135.63,433,61155,97.81,10-Jun-2021
AKG,EQ,30.0,30.9,29.9,30.3,29.45,22420,6.89,154,19727,87.99,10-Jun-2021
AKSHARCHEM,EQ,317.5,375.4,314.05,364.75,312.85,1078577,3899.55,28643,270540,25.08,10-Jun-2021
AKSHOPTFBR,BE,7.4,7.6,7.35,7.45,7.45,354150,26.42,517,-,-,10-Jun-2021
AKZOINDIA,EQ,2275.95,2292.0,2270.15,2284.45,2270.5,8602,196.49,1023,4766,55.41,10-Jun-2021
ALANKIT,EQ,20.5,21.3,20.2,21.15,20.1,2208105,465.55,3819,1251476,56.68,10-Jun-2021
ALBERTDAVD,EQ,475.6,479.65,471.25,473.3,469.3,20226,95.81,1080,12866,63.61,10-Jun-2021
ALEMBICLTD,EQ,127.5,133.5,127.5,130.75,126.9,1479368,1938.54,13613,396353,26.79,10-Jun-2021
ALICON,EQ,545.0,560.05,545.0,550.7,542.65,9338,51.63,1163,3761,40.28,10-Jun-2021
ALKALI,EQ,78.9,78.9,68.7,72.7,77.1,453560,329.54,11534,171887,37.90,10-Jun-2021
ALKEM,EQ,3100.0,3142.0,3093.6,3131.25,3101.05,155840,4868.18,12167,56341,36.15,10-Jun-2021
ALKYLAMINE,EQ,3616.85,3624.9,3580.0,3594.2,3601.25,46926,1690.29,7063,22832,48.66,10-Jun-2021
ALLCARGO,EQ,138.0,145.0,138.0,142.45,137.05,1228216,1748.25,13588,530658,43.21,10-Jun-2021
ALLSEC,EQ,379.95,385.05,373.9,377.75,383.3,11131,42.3,1042,4696,42.19,10-Jun-2021
ALMONDZ,EQ,47.95,47.95,44.65,46.4,46.5,23853,11.1,183,19765,82.86,10-Jun-2021
ALOKINDS,EQ,20.4,24.35,20.25,24.35,20.3,110047787,25219.87,71983,36992487,33.61,10-Jun-2021
ALPA,BE,62.5,63.6,58.9,60.55,61.85,74954,45.6,627,-,-,10-Jun-2021
ALPHAGEO,EQ,287.7,292.0,284.25,287.0,285.3,39243,113.13,1999,18597,47.39,10-Jun-2021
ALPSINDUS,EQ,2.55,2.55,2.55,2.55,2.45,27876,0.71,14,27876,100.00,10-Jun-2021
