SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,78.05,79.45,77.0,77.55,77.1,94580,73.82,2153,38166,40.35,27-May-2022
21STCENMGM,EQ,24.7,24.7,24.7,24.7,25.2,1661,0.41,18,1661,100.00,27-May-2022
3IINFOLTD,EQ,46.9,47.8,46.0,47.0,45.65,305421,142.97,3357,165768,54.28,27-May-2022
3MINDIA,EQ,17690.0,17799.0,17273.0,17563.45,17457.7,5984,1048.51,2485,4010,67.01,27-May-2022
3PLAND,BE,13.9,14.55,13.3,14.35,13.9,4006,0.57,35,-,-,27-May-2022
574GS2026,GS,96.0,96.0,96.0,96.0,96.5,15000,14.4,1,15000,100.00,27-May-2022
5PAISA,EQ,313.0,324.0,310.0,319.75,307.35,13488,42.74,666,6158,45.66,27-May-2022
63MOONS,EQ,172.2,174.65,163.15,165.1,170.55,71651,121.11,1614,43496,60.71,27-May-2022
667GS2050,GS,94.0,94.0,93.0,93.49,94.0,21504,20.0,20,21502,99.99,27-May-2022
676GS2061,GS,100.0,100.0,92.0,92.32,96.5,224,0.21,10,223,99.55,27-May-2022
68GS2060,GS,94.5,94.5,93.0,94.25,92.8,208,0.2,5,208,100.00,27-May-2022
695GS2061,GS,95.95,95.95,95.5,95.5,95.6,210,0.2,3,210,100.00,27-May-2022
699GS2051,GS,98.5,98.5,96.0,96.0,96.49,502,0.48,5,502,100.00,27-May-2022
717GS2028,GS,103.94,114.0,103.84,114.0,109.3,315,0.33,8,315,100.00,27-May-2022
772GS2055,GS,113.75,113.75,113.75,113.75,114.0,1,0.0,1,1,100.00,27-May-2022
813GS2045,GS,116.0,116.0,116.0,116.0,115.0,2,0.0,1,2,100.00,27-May-2022
A2ZINFRA,EQ,11.9,12.35,11.55,11.7,12.15,612184,73.03,877,360803,58.94,27-May-2022
AAATECH,SM,69.15,71.9,69.0,70.45,70.1,15000,10.45,5,6000,40.00,27-May-2022
AAKASH,EQ,17.15,17.85,16.15,16.15,17.0,105230,17.22,569,85490,81.24,27-May-2022
