SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,109.7,110.85,104.4,105.65,108.35,354608,381.07,6678,145092,40.92,11-Aug-2022
21STCENMGM,EQ,25.7,25.7,25.7,25.7,25.2,4022,1.03,11,4022,100.00,11-Aug-2022
3IINFOLTD,EQ,40.6,41.3,40.6,40.85,40.95,378815,155.25,2663,270592,71.43,11-Aug-2022
3MINDIA,EQ,22950.0,23385.0,22511.3,22726.8,22750.3,4099,942.09,2163,1260,30.74,11-Aug-2022
3PLAND,EQ,15.1,16.9,15.1,15.6,15.4,3504,0.56,38,3336,95.21,11-Aug-2022
574GS2026,GS,95.5,95.5,95.5,95.5,95.5,300,0.29,4,300,100.00,11-Aug-2022
5PAISA,EQ,279.0,282.9,277.75,280.1,278.8,16663,46.87,657,10562,63.39,11-Aug-2022
63MOONS,EQ,184.25,190.0,182.7,183.8,185.7,35838,66.72,1108,19038,53.12,11-Aug-2022
667GS2050,GS,91.5,92.25,91.5,92.02,92.0,2008,1.84,12,2008,100.00,11-Aug-2022
676GS2061,GS,94.5,94.5,94.0,94.0,95.0,17,0.02,2,17,100.00,11-Aug-2022
695GS2061,GS,94.0,96.0,93.6,93.6,93.5,2220,2.08,14,1620,72.97,11-Aug-2022
699GS2051,GS,94.88,95.99,94.0,95.4,94.88,3501,3.33,27,2674,76.38,11-Aug-2022
710GS2029,GS,100.59,100.59,100.59,100.59,101.81,5,0.01,1,5,100.00,11-Aug-2022
738GS2027,GS,102.99,105.0,102.99,105.0,103.0,1600,1.66,6,1600,100.00,11-Aug-2022
754GS2036,GS,103.0,103.25,103.0,103.25,102.0,1277,1.32,3,1277,100.00,11-Aug-2022
757GS2033,GS,106.0,106.85,106.0,106.85,104.5,4749,5.07,5,4749,100.00,11-Aug-2022
A2ZINFRA,EQ,13.35,13.9,11.75,12.45,12.9,287885,36.33,1099,154061,53.51,11-Aug-2022
AAATECH,SM,107.0,107.0,107.0,107.0,106.0,3000,3.21,1,3000,100.00,11-Aug-2022
AAKASH,EQ,13.15,13.15,12.1,12.15,12.65,239330,29.39,607,186266,77.83,11-Aug-2022
AAREYDRUGS,EQ,35.15,36.2,34.1,34.55,35.15,24514,8.56,341,15958,65.10,11-Aug-2022
AARON,EQ,135.0,140.0,135.0,137.45,137.55,6780,9.32,210,4004,59.06,11-Aug-2022
