SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,35.4,35.85,34.5,35.55,35.4,45149,15.9,397,31930,70.72,05-Apr-2021
21STCENMGM,EQ,13.45,13.45,13.45,13.45,13.7,2718,0.37,17,2718,100.00,05-Apr-2021
3IINFOTECH,EQ,8.15,8.15,8.0,8.15,7.8,14015066,1140.76,5037,8122889,57.96,05-Apr-2021
3MINDIA,EQ,29880.0,29880.0,27810.3,28178.55,29602.95,6292,1798.68,3809,2197,34.92,05-Apr-2021
3PLAND,EQ,9.0,9.0,8.65,8.85,8.9,2183,0.19,35,1925,88.18,05-Apr-2021
5PAISA,EQ,278.8,286.65,268.0,286.25,260.6,104995,292.63,2758,58509,55.73,05-Apr-2021
63MOONS,EQ,72.85,73.35,71.1,72.75,72.0,36916,26.76,772,22101,59.87,05-Apr-2021
68GS2060,GS,106.9,107.3,106.9,107.3,106.9,1100,1.18,8,1000,90.91,05-Apr-2021
762GS2039,GS,110.0,110.0,110.0,110.0,110.0,50,0.06,1,50,100.00,05-Apr-2021
A2ZINFRA,EQ,3.85,3.85,3.7,3.7,3.8,438051,16.46,367,313160,71.49,05-Apr-2021
AAKASH,BE,130.9,132.0,128.5,131.9,130.9,8585,11.18,115,-,-,05-Apr-2021
AARON,EQ,60.2,60.2,56.15,58.4,57.8,1006,0.59,55,576,57.26,05-Apr-2021
AARTIDRUGS,EQ,710.0,715.15,693.6,698.95,718.65,366612,2572.99,15412,116883,31.88,05-Apr-2021
AARTIIND,EQ,1363.65,1388.9,1325.25,1329.25,1363.8,405142,5484.56,18156,160114,39.52,05-Apr-2021
AARTISURF,EQ,983.0,1026.55,983.0,1026.55,977.7,35056,355.87,1448,21905,62.49,05-Apr-2021
AARVEEDEN,EQ,17.7,17.95,17.5,17.5,17.85,1321,0.23,65,870,65.86,05-Apr-2021
AARVI,EQ,53.0,53.0,49.0,51.05,50.75,2285,1.16,67,1661,72.69,05-Apr-2021
AAVAS,EQ,2430.0,2440.0,2325.15,2361.75,2418.0,35391,838.47,7339,17060,48.20,05-Apr-2021
ABAN,EQ,30.9,30.9,29.65,29.9,30.9,63187,18.98,615,49085,77.68,05-Apr-2021
ABB,EQ,1390.0,1400.0,1365.15,1382.2,1397.5,88800,1230.22,9227,48469,54.58,05-Apr-2021
ABBOTINDIA,EQ,15021.4,15190.0,14912.5,15160.15,14980.05,10230,1539.73,3188,5883,57.51,05-Apr-2021
ABCAPITAL,EQ,120.9,122.8,117.1,120.15,121.55,2769642,3302.42,25719,1096491,39.59,05-Apr-2021
ABFRL,EQ,198.5,198.5,186.0,187.25,198.95,3051902,5769.97,41086,1819851,59.63,05-Apr-2021
ABFRLPP1,E1,174.45,174.45,150.2,158.95,167.75,9069,14.4,231,8124,89.58,05-Apr-2021
ABINFRA,SM,6.65,6.65,6.65,6.65,6.95,4000,0.27,1,4000,100.00,05-Apr-2021
ABMINTLTD,EQ,55.85,55.85,54.15,54.45,56.95,277,0.15,14,273,98.56,05-Apr-2021
ABSLBANETF,EQ,331.0,337.48,323.5,325.0,336.46,873,2.86,58,629,72.05,05-Apr-2021
ABSLNN50ET,EQ,350.0,373.0,337.0,348.65,347.4,933,3.37,99,445,47.70,05-Apr-2021
ABSLRIF6RG,MF,7.65,8.15,7.65,8.03,8.38,20038,1.63,8,20038,100.00,05-Apr-2021
ACC,EQ,1908.0,1937.0,1872.1,1894.4,1913.35,1272161,24238.25,44590,289969,22.79,05-Apr-2021
ACCELYA,EQ,881.0,894.75,859.0,868.1,874.8,1832,15.89,355,819,44.71,05-Apr-2021
ACCURACY,EQ,51.45,51.65,49.9,49.9,52.5,6617,3.32,83,6392,96.60,05-Apr-2021
ACE,EQ,161.95,161.95,153.5,158.9,161.05,272422,428.6,4497,149965,55.05,05-Apr-2021
ACRYSIL,EQ,334.8,339.4,326.7,339.4,323.25,191795,646.93,4281,99536,51.90,05-Apr-2021
ADANIENT,EQ,1127.0,1150.0,1098.85,1138.25,1107.2,15795720,178085.64,298644,1327960,8.41,05-Apr-2021
ADANIGREEN,EQ,1165.0,1210.0,1125.05,1164.2,1160.05,822644,9672.83,47039,347398,42.23,05-Apr-2021
ADANIPORTS,EQ,731.75,745.0,715.0,742.25,736.25,15622924,114068.92,205603,1431477,9.16,05-Apr-2021
ADANIPOWER,EQ,92.4,93.75,89.2,93.75,89.3,26119543,24260.65,86659,10685974,40.91,05-Apr-2021
ADANITRANS,EQ,1008.0,1099.1,1000.0,1095.15,999.2,3267413,34712.75,119521,990501,30.31,05-Apr-2021
ADFFOODS,EQ,929.9,946.0,891.0,930.45,925.95,55929,515.76,5213,16578,29.64,05-Apr-2021
ADHUNIKIND,EQ,20.85,21.85,19.2,21.1,20.95,52047,10.77,473,28877,55.48,05-Apr-2021
ADL,BE,28.9,30.15,27.35,28.0,28.75,2614,0.77,21,-,-,05-Apr-2021
ADORWELD,EQ,308.1,308.1,300.25,303.05,312.7,15698,47.57,572,9410,59.94,05-Apr-2021
ADROITINFO,BE,8.65,9.55,8.65,9.1,9.1,2005,0.18,16,-,-,05-Apr-2021
ADSL,EQ,46.7,46.7,44.0,45.35,45.8,129614,58.34,1157,64968,50.12,05-Apr-2021
ADVANIHOTR,EQ,59.0,59.0,56.75,57.5,58.6,9160,5.25,176,6398,69.85,05-Apr-2021
ADVENZYMES,EQ,351.8,375.0,348.5,363.9,353.1,550658,2013.04,17904,168533,30.61,05-Apr-2021
AEGISCHEM,EQ,301.25,301.25,286.8,288.1,301.25,219748,639.29,5955,124373,56.60,05-Apr-2021
AFFLE,EQ,5512.3,5599.9,5325.0,5429.8,5602.3,56857,3095.78,17778,28676,50.44,05-Apr-2021
AFLPP,E1,75.0,79.8,71.2,77.15,79.75,16419,12.24,91,14639,89.16,05-Apr-2021
AGARIND,BE,161.0,166.6,153.15,158.0,158.75,8801,14.0,94,-,-,05-Apr-2021
AGCNET,EQ,1397.95,1423.15,1300.0,1401.9,1355.4,37326,525.54,1631,24001,64.30,05-Apr-2021
AGRITECH,EQ,32.45,33.35,31.35,32.65,31.85,6438,2.07,143,3938,61.17,05-Apr-2021
AGROPHOS,EQ,12.45,12.45,11.65,11.8,12.25,45291,5.35,202,34488,76.15,05-Apr-2021
AHLADA,EQ,97.7,98.7,91.55,96.05,96.05,5253,4.95,131,2953,56.22,05-Apr-2021
AHLEAST,EQ,161.1,161.1,155.65,156.45,160.0,476,0.76,35,253,53.15,05-Apr-2021
AHLUCONT,EQ,299.5,301.95,292.0,292.75,302.25,6066,17.94,401,3633,59.89,05-Apr-2021
AHLWEST,EQ,257.0,257.0,227.05,229.35,246.0,2272,5.33,226,1373,60.43,05-Apr-2021
AIAENG,EQ,2054.0,2060.0,1975.0,1980.6,2053.35,25054,499.83,4622,12634,50.43,05-Apr-2021
AIRAN,EQ,15.8,16.25,15.5,15.8,15.8,46236,7.31,295,31699,68.56,05-Apr-2021
AISL,SM,35.45,35.45,33.3,34.0,35.0,21600,7.43,13,0,0.00,05-Apr-2021
AJANTPHARM,EQ,1751.35,1769.9,1701.4,1742.3,1748.45,94647,1646.81,10091,18558,19.61,05-Apr-2021
AJMERA,EQ,121.9,121.9,115.05,117.2,120.1,59743,70.27,2672,24865,41.62,05-Apr-2021
AJOONI,SM,30.5,31.0,30.2,31.0,31.4,39996,12.28,5,39996,100.00,05-Apr-2021
AKASH,EQ,212.0,212.0,192.0,194.4,209.85,53437,106.56,440,48808,91.34,05-Apr-2021
AKG,EQ,60.05,60.05,60.05,60.05,63.2,1785,1.07,9,1785,100.00,05-Apr-2021
AKSHARCHEM,EQ,248.65,250.0,234.8,245.2,248.65,18246,44.16,666,10465,57.36,05-Apr-2021
AKSHOPTFBR,EQ,5.8,6.3,5.8,6.15,5.85,395766,23.83,711,231414,58.47,05-Apr-2021
AKZOINDIA,EQ,2390.0,2404.45,2342.0,2371.75,2371.05,36820,874.6,3983,29582,80.34,05-Apr-2021
ALANKIT,EQ,16.3,16.45,15.8,16.15,16.15,83123,13.43,737,48383,58.21,05-Apr-2021
