SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,73.9,78.6,73.0,75.95,73.45,330620,252.03,3710,116983,35.38,11-Mar-2022
21STCENMGM,EQ,25.9,25.9,25.9,25.9,26.4,13544,3.51,59,13544,100.00,11-Mar-2022
3IINFOLTD,EQ,61.85,65.15,60.55,61.75,63.7,3641406,2266.73,20105,1638062,44.98,11-Mar-2022
3MINDIA,EQ,20008.5,20098.15,19880.05,19897.4,20008.5,5390,1075.95,3101,4370,81.08,11-Mar-2022
3PLAND,BE,16.6,17.25,15.65,16.2,16.45,3524,0.58,57,-,-,11-Mar-2022
426GS2023,GS,99.74,99.95,99.74,99.95,99.25,1000,1.0,3,1000,100.00,11-Mar-2022
522GS2025,GS,94.67,94.67,94.67,94.67,99.6,63,0.06,2,63,100.00,11-Mar-2022
563GS2026,GS,100.0,100.5,100.0,100.5,105.21,60,0.06,3,60,100.00,11-Mar-2022
5PAISA,EQ,307.9,322.95,305.0,312.5,307.5,32461,102.36,1213,16362,50.41,11-Mar-2022
63MOONS,BE,230.0,233.3,226.2,233.3,222.2,89567,207.59,1010,-,-,11-Mar-2022
667GS2050,GS,95.6,95.6,95.6,95.6,96.0,36,0.03,1,36,100.00,11-Mar-2022
676GS2061,GS,99.99,99.99,95.0,95.0,97.65,510,0.49,5,500,98.04,11-Mar-2022
699GS2051,GS,102.95,102.95,102.95,102.95,100.45,1,0.0,1,1,100.00,11-Mar-2022
716GS2050,GS,108.75,108.75,106.6,106.6,106.44,2,0.0,2,1,50.00,11-Mar-2022
717GS2028,GS,102.0,102.0,102.0,102.0,103.25,49,0.05,1,49,100.00,11-Mar-2022
727GS2026,GS,101.0,101.0,101.0,101.0,104.0,1400,1.41,2,1400,100.00,11-Mar-2022
A2ZINFRA,EQ,10.7,10.9,10.7,10.9,10.4,276088,29.97,380,212392,76.93,11-Mar-2022
AAATECH,SM,68.0,68.0,68.0,68.0,69.0,3000,2.04,1,3000,100.00,11-Mar-2022
AAKASH,BE,28.95,29.5,27.5,29.15,28.6,657983,186.02,714,-,-,11-Mar-2022
AAREYDRUGS,EQ,43.2,44.2,42.4,43.85,42.3,31740,13.69,610,17091,53.85,11-Mar-2022
AARON,EQ,118.0,120.65,114.05,116.3,115.65,3206,3.74,148,1926,60.07,11-Mar-2022
AARTIDRUGS,EQ,465.0,471.4,460.2,466.2,463.0,87424,408.3,3299,48229,55.17,11-Mar-2022
AARTIIND,EQ,824.85,848.0,818.0,845.2,828.0,951265,7976.94,31374,472182,49.64,11-Mar-2022
AARTISURF,EQ,819.65,824.8,788.4,794.65,812.75,16705,134.3,1748,9948,59.55,11-Mar-2022
AARVEEDEN,EQ,25.0,25.45,24.3,24.85,25.25,8990,2.23,140,7928,88.19,11-Mar-2022
AARVI,EQ,92.95,93.9,91.2,93.3,92.35,9596,8.92,176,5548,57.82,11-Mar-2022
AAVAS,EQ,2580.0,2586.0,2526.0,2546.15,2558.35,94762,2420.0,10094,61677,65.09,11-Mar-2022
ABAN,EQ,50.5,51.6,49.0,49.75,50.0,144512,72.51,1714,70832,49.01,11-Mar-2022
ABB,EQ,2155.0,2174.95,2110.0,2119.95,2157.95,78426,1673.55,10029,37596,47.94,11-Mar-2022
ABBOTINDIA,EQ,17505.0,17649.7,17124.0,17268.65,17496.7,25377,4392.48,5690,12920,50.91,11-Mar-2022
ABCAPITAL,EQ,103.5,104.45,103.0,103.45,103.8,2084612,2160.69,12397,650883,31.22,11-Mar-2022
ABCOTS,SM,53.15,54.4,53.0,53.0,54.4,12000,6.42,3,4000,33.33,11-Mar-2022
