Company name,NSE Symbol,Market Cap,Categorization
MITTAL LIFE STYLE LTD.,MITTAL,25.03,Small Cap
M.K.PROTEINS LIMITED,MKPL,1010.27,Small Cap
M.M.FORGINGS LTD.,MMFL,2230.37,Small Cap
MMP INDUSTRIES LTD.,MMP,541.77,Small Cap
"MMTC LTD.,",MMTC,7605.48,Small Cap
"MODI RUBBER LTD.,",MODIRUBBER,197.04,Small Cap
MODISON LIMITED,MODISONLTD,300.72,Small Cap
MOHIT INDUSTRIES LIMITED,MOHITIND,23.5,Small Cap
MOIL LIMITED,MOIL,4852.89,Small Cap
MOKSH ORNAMENTS LTD.,MOKSH,75.71,Small Cap
MEGHMANI ORGANICS LIMITED,MOL,2025.87,Small Cap
MOLD-TEK TECHNOLOGIES LTD,MOLDTECH,856.73,Small Cap
MOLD-TEK PACKAGING LIMITED,MOLDTKPAC,3102.1,Small Cap
MONARCH NETWORTH CAPITAL LIMITED,MONARCH,1275.49,Small Cap
MONTE CARLO FASHIONS LIMITED,MONTECARLO,1585.95,Small Cap
MORARJEE TEXTILES LIMITED,MORARJEE,78.32,Small Cap
MOREPEN LABORATORIES LTD.,MOREPENLAB,1905.59,Small Cap
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,MOTHERSON,64254.68, Mid Cap 
MOTILAL OSWAL FINANCIAL SERVICES LIMITED,MOTILALOFS,14326.38,Small Cap
MOTISONS JEWELLERS LIMITED,MOTISONS,968.71,Small Cap
MOTOR & GENERAL FINANCE (M.G.F.) LT,MOTOGENFIN,133.46,Small Cap
MPHASIS LIMITED,MPHASIS,43966.76, Mid Cap 
MPS LIMITED,MPSLTD,2600.78,Small Cap
"M.R.F. LTD.,",MRF,46272.54, Mid Cap 
MRO-TEK REALTY LIMITED,MRO-TEK,110.29,Small Cap
MANGALORE REFINERY & PETROCHEMICALS,MRPL,17790.86,Small Cap
MSP STEEL & POWER LTD.,MSPL,620.36,Small Cap
MSTC LIMITED,MSTCLTD,3057.92,Small Cap
MOTHERSON SUMI WIRING INDIA LIMITED,MSUMI,26966.8, Mid Cap
MTAR TECHNOLOGIES LIMITED,MTARTECH,7181.59,Small Cap
MT EDUCARE LIMITED,MTEDUCARE,29.97,Small Cap
MAHANAGAR TELEPHONE NIGAM LTD.,MTNL,1643.84,Small Cap
MUFIN GREEN FINANCE LIMITED,MUFIN,1987.71,Small Cap
CREDO BRANDS MARKETING LIMITED,MUFTI,1931.41,Small Cap
"MUKAND LTD.,",MUKANDLTD,2372.44,Small Cap
MUKTA ARTS LTD.,MUKTAARTS,147.94,Small Cap
MUNJAL AUTO INDUSTRIES LTD.,MUNJALAU,625.52,Small Cap
"MUNJAL SHOWA LTD.,",MUNJALSHOW,566.77,Small Cap
"MURUDESHWAR CERAMICS LTD.,",MURUDCERA,286.82,Small Cap
MUTHOOT CAPITAL SERVICES LTD.,MUTHOOTCAP,654.88,Small Cap
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,52915.12, Mid Cap 
MUTHOOT MICROFIN LIMITED,MUTHOOTMF,4419.8,Small Cap
MANOJ VAIBHAV GEMS 'N' JEWELLERS LIMITED,MVGJL,1490.47,Small Cap
NACL INDUSTRIES LIMITED,NACLIND,1581.47,Small Cap
NAGARJUNA FERTILIZERS AND CHEMICALS LTD.,NAGAFERT,547.3,Small Cap
NAGREEKA CAPITAL & INFRASTRUCTURE LIMITED,NAGREEKCAP,22.06,Small Cap
NAGREEKA EXPORTS LTD.,NAGREEKEXP,64.42,Small Cap
NAHAR CAPITAL & FINANCIAL SERVICES LTD.,NAHARCAP,494.37,Small Cap
NAHAR INDUSTRIAL ENTERPRISES LTD,NAHARINDUS,562.79,Small Cap
NAHAR POLYFILMS LTD.,NAHARPOLY,578.98,Small Cap
"NAHAR SPINNING MILLS LTD.,",NAHARSPING,981.6,Small Cap
NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NAM-INDIA,22373.71, Mid Cap 
NARMADA AGROBASE LIMITED,NARMADA,26.99,Small Cap
NATCO PHARMA LTD.,NATCOPHARM,14695.22,Small Cap
NATH BIOGENE INDIA LTD.,NATHBIOGEN,393.82,Small Cap
"NATIONAL ALUMINIUM CO. LTD.,",NATIONALUM,17526.36,Small Cap
INFO EDGE(INDIA) LTD.,NAUKRI,58116.12, Mid Cap 
NAVA LIMITED,NAVA,5796.51,Small Cap
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR,20237.23,Small Cap
NAVKAR CORPORATION LIMITED,NAVKARCORP,1005.54,Small Cap
NAVNEET EDUCATION LIMITED,NAVNETEDUL,3360.97,Small Cap
NAZARA TECHNOLOGIES LIMITED,NAZARA,5186.36,Small Cap
NBCC (INDIA) LIMITED,NBCC,10709.35,Small Cap
N. B. I. INDUSTRIAL FINANCE COMPANY LTD.,NBIFIN,423.63,Small Cap
NCC LIMITED,NCC,9711.7,Small Cap
"NCL INDUSTRIES LIMITED,",NCLIND,980.13,Small Cap
NAGA DHUNSERI GROUP LTD.,NDGL,191.06,Small Cap
NANDAN DENIM LIMITED,NDL,335.18,Small Cap
NDL VENTURES LIMITED,NDLVENTURE,466.05,Small Cap
NDR AUTO COMPONENTS LIMITED,NDRAUTO,704.97,Small Cap
NEW DELHI TELEVISION LIMITED,NDTV,1435.74,Small Cap
NORTH EASTERN CARRYING CORPORATION LIMITED,NECCLTD,150.8,Small Cap
NECTAR LIFESCIENCES LIMITED,NECLIFE,576.07,Small Cap
NELCAST LIMITED,NELCAST,1251.92,Small Cap
NELCO LTD,NELCO,1775.84,Small Cap
NEOGEN CHEMICALS LIMITED,NEOGEN,4048.55,Small Cap
NESCO LTD,NESCO,5041.87,Small Cap
NESTLE INDIA LTD.,NESTLEIND,224992.09, Large Cap 
NETWEB TECHNOLOGIES INDIA LIMITED,NETWEB,4977.02,Small Cap
NETWORK 18 MEDIA & INVESTMENTS LIMITED,NETWORK18,7515.15,Small Cap
NEULAND LABORATORIES LIMITED.,NEULANDLAB,5279.9,Small Cap
NEWGEN SOFTWARE TECHNOLOGIES LIMITED,NEWGEN,7176.94,Small Cap
NEXT MEDIAWORKS LTD,NEXTMEDIA,40.47,Small Cap
"NATIONAL FERTILIZERS LTD.,",NFL,3552.04,Small Cap
NAKODA GROUP OF INDUSTRIES LIMITED,NGIL,63.26,Small Cap
NGL FINE CHEM LTD.,NGLFINE,1225.56,Small Cap
NARAYANA HRUDAYALAYA LIMITED,NH,22011.37, Mid Cap 
NHPC LIMITED,NHPC,53048.72, Mid Cap 
THE NEW INDIA ASSURANCE COMPANY LIMITED,NIACL,24910.38, Mid Cap 
NRB INDUSTRIAL BEARINGS LIMITED,NIBL,72.53,Small Cap
"NIIT LTD.,",NIITLTD,1401.39,Small Cap
NIIT LEARNING SYSTEMS LIMITED,NIITMTS,5378.17,Small Cap
NILA INFRASTRUCTURES LTD,NILAINFRA,253.55,Small Cap
NILA SPACES LTD,NILASPACES,137.75,Small Cap
NILKAMAL LIMITED,NILKAMAL,3509.68,Small Cap
NINTEC SYSTEMS LIMITED,NINSYS,723.81,Small Cap
INDO NATIONAL LIMITED,NIPPOBATRY,406.3,Small Cap
NIRAJ CEMENT STRUCTURALS LIMITED,NIRAJ,151,Small Cap
NIRAJ ISPAT INDUSTRIES LTD.,NIRAJISPAT,6.72,Small Cap
NITCO LTD.,NITCO,160.77,Small Cap
NITIN SPINNERS LTD.,NITINSPIN,1641.95,Small Cap
NITIRAJ ENGINEERS LTD.,NITIRAJ,112.14,Small Cap
N.K.INDUSTRIES LTD.,NKIND,30.52,Small Cap
NLC INDIA LIMITED,NLCINDIA,20081.57,Small Cap
NMDC LTD,NMDC,43086.17, Mid Cap 
NOCIL LTD,NOCIL,3854.53,Small Cap
NOIDA TOLL BRIDGE COMPANY LTD,NOIDATOLL,162.97,Small Cap
NORBEN TEA & EXPORTS LTD,NORBTEAEXP,11.91,Small Cap
N.R.AGARWAL INDUSTRIES LTD.,NRAIL,590.3,Small Cap
NRB BEARINGS LTD.,NRBBEARING,2529.58,Small Cap
NUPUR RECYCLERS LTD.,NRL,445.16,Small Cap
NALWA SONS INVESTMENT LTD,NSIL,1386.37,Small Cap
NMDC STEEL LIMITED,NSLNISP,14000.97,Small Cap
NTPC LIMITED,NTPC,230702.85, Large Cap 
NUCLEUS SOFTWARE EXPORTS LTD,NUCLEUS,3283.5,Small Cap
NURECA LIMITED,NURECA,353.75,Small Cap
NUVAMA WEALTH MANAGEMENT LIMITED,NUVAMA,10266.33,Small Cap
NUVOCO VISTAS CORPORATION LIMITED,NUVOCO,12815.91,Small Cap
FSN E-COMMERCE VENTURES LIMITED,NYKAA,42929.78, Mid Cap 
ORIENTAL AROMATICS LIMITED,OAL,1239.96,Small Cap
ORISSA BENGAL CARRIER LIMITED,OBCL,115.29,Small Cap
OBEROI REALTY LIMITED,OBEROIRLTY,43290.92, Mid Cap 
"ORIENTAL CARBON & CHEMICALS LTD.,",OCCL,804.02,Small Cap
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,OFSS,35016.75, Mid Cap 
OIL INDIA LIMITED,OIL,32043.39, Mid Cap 
OIL COUNTRY TUBULAR LTD.,OILCOUNTUB,100.24,Small Cap
OLECTRA GREENTECH LIMITED,OLECTRA,9833.5,Small Cap
"OMAX AUTOS LTD.,",OMAXAUTO,123.28,Small Cap
OMAXE LIMITED,OMAXE,1168.28,Small Cap
OM INFRA LIMITED,OMINFRAL,820.21,Small Cap
OMKAR SPECIALITY CHEMICALS LIMITED,OMKARCHEM,19.16,Small Cap
ONELIFE CAPITAL ADVISORS LTD,ONELIFECAP,19.93,Small Cap
ONE POINT ONE SOLUTIONS LTD.,ONEPOINT,678.79,Small Cap
OIL AND NATURAL GAS CORPORATION LTD,ONGC,231937.23, Large Cap 
ONMOBILE GLOBAL LTD.,ONMOBILE,1091.89,Small Cap
ONWARD TECHNOLOGIES LTD.,ONWARDTEC,1272.9,Small Cap
OPTIEMUS INFRACOM LIMITED,OPTIEMUS,2488.87,Small Cap
ORBIT EXPORTS LTD.,ORBTEXP,487.56,Small Cap
ORCHID PHARMA LIMITED,ORCHPHARMA,2779.71,Small Cap
ORICON ENTERPRISES LTD.,ORICONENT,434.93,Small Cap
ORIENTAL TRIMEX LIMITED,ORIENTALTL,21.22,Small Cap
ORIENT BELL LIMITED,ORIENTBELL,661.27,Small Cap
ORIENT CEMENT LIMITED,ORIENTCEM,3953.76,Small Cap
ORIENT CERATECH LIMITED,ORIENTCER,503.01,Small Cap
ORIENT ELECTRIC LIMITED,ORIENTELEC,4863.63,Small Cap
"ORIENTAL HOTELS LTD.,",ORIENTHOT,1730.29,Small Cap
ORIENT PRESS LTD.,ORIENTLTD,74.13,Small Cap
ORIENT PAPER & INDUSTRIES LTD.,ORIENTPPR,976.86,Small Cap
ORISSA MINERALS DEVELOPMENT COMPANY LIMITED,ORISSAMINE,3327.94,Small Cap
ORTEL COMMUNICATIONS LIMITED,ORTEL,3.15,Small Cap
ORTIN LABORATORIES LIMITED,ORTINLAB,16.3,Small Cap
OSIA HYPER RETAIL LTD.,OSIAHYPER,511.34,Small Cap
"OSWAL AGRO MILLS LTD.,",OSWALAGRO,426.21,Small Cap
OSWAL GREENTECH LIMITED,OSWALGREEN,648.75,Small Cap
SHREEOSWAL SEEDS AND CHEMICALS LTD.,OSWALSEEDS,497.07,Small Cap
PAGE INDUSTRIES LTD.,PAGEIND,42855.93, Mid Cap 
PAISALO DIGITAL LIMITED,PAISALO,3154.8,Small Cap
PAKKA LIMITED,PAKKA,795.5,Small Cap
PALASH SECURITIES LIMITED,PALASHSECU,112.42,Small Cap
PALRED TECHNOLOGIES LIMITED,PALREDTEC,191.79,Small Cap
PANACEA BIOTEC LTD.,PANACEABIO,911,Small Cap
PANACHE DIGILIFE LTD.,PANACHE,93.15,Small Cap
PANAMA PETROCHEM LTD.,PANAMAPET,1888.12,Small Cap
PANSARI DEVELOPERS LTD.,PANSARI,160.31,Small Cap
PAR DRUGS AND CHEMICALS LTD.,PAR,251.25,Small Cap
PARAMOUNT COMMUNICATIONS LTD.,PARACABLES,1328.04,Small Cap
PARADEEP PHOSPHATES LIMITED,PARADEEP,5419.34,Small Cap
PARAG MILK FOODS LIMITED,PARAGMILK,2322.29,Small Cap
PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,PARAS,2757.8,Small Cap
PARAS PETROFILS LTD.,PARASPETRO,56.59,Small Cap
PARSVNATH DEVELOPERS LTD.,PARSVNATH,422.53,Small Cap
PASUPATI ACRYLON LTD.,PASUPTAC,317.49,Small Cap
PATANJALI FOODS LIMITED,PATANJALI,48708.66, Mid Cap 
PATEL ENGINEERING LTD,PATELENG,3948.29,Small Cap
PATEL INTEGRATED LOGISTICS LTD,PATINTLOG,104.67,Small Cap
PAVNA INDUSTRIES LIMITED,PAVNAIND,461.79,Small Cap
ONE 97 COMMUNICATIONS LIMITED,PAYTM,53323.6, Mid Cap 
PCBL LIMITED,PCBL,7315.42,Small Cap
PC JEWELLER LIMITED,PCJEWELLER,1402.89,Small Cap
PUDUMJEE PAPER PRODUCTS LIMITED,PDMJEPAPER,450.6,Small Cap
PDS LIMITED,PDSL,6095.2,Small Cap
PEARL POLYMERS LTD.,PEARLPOLY,44.83,Small Cap
PIRAMAL ENTERPRISES LIMITED,PEL,23343.93, Mid Cap 
"PENNAR INDUSTRIES LTD.,",PENIND,1413.09,Small Cap
PENINSULA LAND LIMITED,PENINLAND,1078.56,Small Cap
PERSISTENT SYSTEMS LIMITED,PERSISTENT,44308.09, Mid Cap 
PETRONET LNG LTD.,PETRONET,33056.07, Mid Cap 
POWER FINANCE CORPORATION LTD,PFC,85469.1, Large Cap 
"PFIZER LTD.,",PFIZER,18063.04,Small Cap
PRIME FOCUS LIMITED,PFOCUS,3041.36,Small Cap
PTC INDIA FINANCIAL SERVICES LIMITED,PFS,1867.8,Small Cap
PG ELECTROPLAST LIMITED,PGEL,4692.31,Small Cap
PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,PGHH,54360.38, Mid Cap 
PROCTER & GAMBLE HEALTH LIMITED,PGHL,8476.61,Small Cap
PEARL GLOBAL INDUSTRIES LIMITED,PGIL,2165.14,Small Cap
"THE PHOENIX MILLS LTD.,",PHOENIXLTD,34144.53, Mid Cap 
PIDILITE INDUSTRIES LTD.,PIDILITIND,128525.59, Large Cap 
POWER & INSTRUMENTATION (GUJARAT) LIMITED,PIGL,51.75,Small Cap
PI INDUSTRIES LIMITED,PIIND,54713.9, Mid Cap 
PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,PILANIINVS,2580.21,Small Cap
PIL ITALICA LIFESTYLE LIMITED,PILITA,235.32,Small Cap
PIONEER EMBROIDERIES LTD.,PIONEEREMB,132.34,Small Cap
PITTI ENGINEERING LIMITED,PITTIENG,1917.41,Small Cap
"PIX TRANSMISSIONS LTD.,",PIXTRANS,1676.36,Small Cap
THE PERIA KARAMALAI TEA & PRODUCE COMPANY LTD.,PKTEA,87.55,Small Cap
PLASTIBLENDS INDIA LTD.,PLASTIBLEN,656.15,Small Cap
PLAZA WIRES LIMITED,PLAZACABLE,487.21,Small Cap
PUNJAB NATIONAL BANK,PNB,79773.48, Large Cap 
PNB GILTS LTD,PNBGILTS,1422.53,Small Cap
PNB HOUSING FINANCE LIMITED,PNBHOUSING,18250.67,Small Cap
PRITISH NANDY COMMUNICATIONS LTD,PNC,58.22,Small Cap
PNC INFRATECH LIMITED,PNCINFRA,8845.95,Small Cap
PONDY OXIDES & CHEMICALS LIMITED,POCL,515.24,Small Cap
PODDAR HOUSING AND DEVELOPMENT LIMITED,PODDARHOUS,71.79,Small Cap
PODDAR PIGMENTS LTD.,PODDARMENT,369.62,Small Cap
POKARNA LTD.,POKARNA,1496.32,Small Cap
PB FINTECH LIMITED,POLICYBZR,34040.71, Mid Cap 
POLYCAB INDIA LIMITED,POLYCAB,74869.04, Large Cap 
POLY MEDICURE LTD,POLYMED,13339.28,Small Cap
"POLYPLEX CORPORATION LTD.,",POLYPLEX,3588.29,Small Cap
PONNI SUGARS (ERODE) LTD.,PONNIERODE,352.46,Small Cap
POONAWALLA FINCORP LIMITED,POONAWALLA,30126.93, Mid Cap 
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,186897.13, Large Cap 
HITACHI ENERGY INDIA LIMITED,POWERINDIA,18803.21,Small Cap
POWER MECH PROJECTS LIMITED,POWERMECH,6101.49,Small Cap
PPAP AUTOMOTIVE LIMITED,PPAP,326.46,Small Cap
PRAKASH PIPES LIMITED,PPL,733.94,Small Cap
PIRAMAL PHARMA LIMITED,PPLPHARMA,13978.16,Small Cap
PRAJAY ENGINEERS SYNDICATE LTD.,PRAENG,108.2,Small Cap
PRAJ INDUSTRIES LTD.,PRAJIND,9625,Small Cap
"PRAKASH INDUSTRIES LTD.,",PRAKASH,2380.14,Small Cap
PRAKASH STEELAGE LIMITED,PRAKASHSTL,100.59,Small Cap
PRAXIS HOME RETAIL LIMITED ,PRAXIS,329.22,Small Cap
PRECISION CAMSHAFTS LIMITED,PRECAM,2365.65,Small Cap
PRECOT LTD.,PRECOT,257,Small Cap
"PRECISION WIRES INDIA LTD.,",PRECWIRE,1966.79,Small Cap
PREMIER EXPLOSIVES LTD.,PREMEXPLN,1240.38,Small Cap
PREMIER LIMITED,PREMIER,9.23,Small Cap
PREMIER POLYFILM LTD.,PREMIERPOL,272.33,Small Cap
PRESTIGE ESTATES PROJECTS LIMITED,PRESTIGE,29781.76, Mid Cap 
PRICOL LIMITED,PRICOLLTD,3872.15,Small Cap
PRIME SECURITIES LTD.,PRIMESECU,497.09,Small Cap
PRINCE PIPES AND FITTINGS LIMITED,PRINCEPIPE,7560.52,Small Cap
PRITI INTERNATIONAL LTD.,PRITI,231.38,Small Cap
PRITIKA AUTO INDUSTRIES LIMITED,PRITIKAUTO,202.75,Small Cap
PRIVI SPECIALITY CHEMICALS LIMITED,PRIVISCL,4632.47,Small Cap
PROZONE REALTY LIMITED,PROZONER,469.33,Small Cap
PRISM JOHNSON LIMITED.,PRSMJOHNSN,7203.2,Small Cap
PRUDENT CORPORATE ADVISORY SERVICES LIMITED,PRUDENT,4892.43,Small Cap
PRUDENTIAL SUGAR CORPORATION LTD,PRUDMOULI,106.33,Small Cap
PUNJAB & SIND BANK,PSB,26708.85, Mid Cap 
PSP PROJECTS LIMITED,PSPPROJECT,2782.63,Small Cap
PTC INDIA LTD,PTC,4176.08,Small Cap
PTC INDUSTRIES LTD.,PTCIL,7072.98,Small Cap
PTL ENTERPRISES LTD,PTL,513.95,Small Cap
PUNJAB CHEMICALS AND CROP PROTECTION LTD.,PUNJABCHEM,1352.21,Small Cap
PURAVANKARA LIMITED,PURVA,3108.91,Small Cap
PVP VENTURES LTD,PVP,301,Small Cap
PVR INOX LIMITED,PVRINOX,16273.93,Small Cap
PYRAMID TECHNOPLAST LIMITED,PYRAMID,706.4,Small Cap
QUESS CORP LIMITED,QUESS,6615.16,Small Cap
QUICK HEAL TECHNOLOGIES LIMITED,QUICKHEAL,1415.61,Small Cap
QUINTEGRA SOLUTIONS LIMITED,QUINTEGRA,3.45,Small Cap
RACE ECO CHAIN LIMITED,RACE,471.39,Small Cap
RADAAN MEDIAWORKS (I) LIMITED,RADAAN,9.5,Small Cap
RADHIKA JEWELTECH LIMITED,RADHIKAJWE,468.87,Small Cap
RADIANT CASH MANAGEMENT SERVICES LIMITED,RADIANTCMS,1006.92,Small Cap
RADICO KHAITAN LTD.,RADICO,18168.33,Small Cap
MUSIC BROADCAST LIMITED,RADIOCITY,504.96,Small Cap
RAILTEL CORPORATION OF INDIA LIMITED,RAILTEL,7047.08,Small Cap
RAIN INDUSTRIES LIMITED,RAIN,5334.77,Small Cap
RAINBOW CHILDREN'S MEDICARE LIMITED,RAINBOW,10853.12,Small Cap
RAJESH EXPORTS LTD.,RAJESHEXPO,13645.13,Small Cap
RAJNANDINI METAL LTD.,RAJMET,260.68,Small Cap
RAJRATAN GLOBAL WIRE LTD,RAJRATAN,3864,Small Cap
RAJ RAYON INDUSTRIES LIMITED,RAJRILTD,2168.97,Small Cap
"RAJSHREE SUGARS & CHEMICALS LTD.,",RAJSREESUG,171.65,Small Cap
RAJ TELEVISION NETWORK LTD,RAJTV,258.91,Small Cap
RAJVIR INDUSTRIES LIMITED,RAJVIR,1.75,Small Cap
RALLIS INDIA LTD,RALLIS,4368.58,Small Cap
SHREE RAMA NEWSPRINT LIMITED,RAMANEWS,216.82,Small Cap
RAMA PHOSPHATES LTD.,RAMAPHO,412.25,Small Cap
RAMA STEEL TUBES LIMITED,RAMASTEEL,1799.31,Small Cap
THE RAMCO CEMENTS LIMITED,RAMCOCEM,22253.59, Mid Cap 
RAMCO INDUSTRIES LTD,RAMCOIND,1677.14,Small Cap
RAMCO SYSTEMS LTD,RAMCOSYS,993.01,Small Cap
RAMKY INFRASTRUCTURE LIMITED,RAMKY,4085.49,Small Cap
RAM RATNA WIRES LTD.,RAMRAT,1252.95,Small Cap
RANA SUGARS LTD.,RANASUG,387.01,Small Cap
RANE ENGINE VALVE LIMITED,RANEENGINE,223.72,Small Cap
RANE HOLDINGS LTD.,RANEHOLDIN,1627.32,Small Cap
RATEGAIN TRAVEL TECHNOLOGIES LIMITED,RATEGAIN,6496.21,Small Cap
RATNAMANI METALS & TUBES LTD,RATNAMANI,20150.17,Small Cap
RATNAVEER PRECISION ENGINEERING LIMITED,RATNAVEER,578.05,Small Cap
RAYMOND LIMITED,RAYMOND,12155.26,Small Cap
RESTAURANT BRANDS ASIA LIMITED,RBA,5772.7,Small Cap
RANE BRAKE LINING LIMITED,RBL,629.13,Small Cap
RBL BANK LIMITED,RBLBANK,14104.56,Small Cap
RBZ JEWELLERS LIMITED,RBZJEWEL,441.33,Small Cap
RASHTRIYA CHEMICALS & FERTILIZERS LIMITED,RCF,6997.47,Small Cap
RELIANCE COMMUNICATIONS LIMITED,RCOM,449.18,Small Cap
REC LIMITED,RECLTD,73243.23, Large Cap 
REDINGTON LIMITED,REDINGTON,12744.28,Small Cap
REDTAPE LIMITED,REDTAPE,6583.41,Small Cap
REFEX INDUSTRIES LIMITED,REFEX,1409.5,Small Cap
REGENCY CERAMICS LTD,REGENCERAM,89.1,Small Cap
RELAXO FOOTWEARS LTD.,RELAXO,22768.76, Mid Cap 
RELIANCE CAPITAL LIMITED,RELCAPITAL,271.79,Small Cap
"RELIANCE CHEMOTEX INDUSTRIES LTD.,",RELCHEMQ,170.84,Small Cap
RELIANCE INDUSTRIES LTD,RELIANCE,1639099.15, Large Cap 
RELIGARE ENTERPRISES LTD,RELIGARE,7067.08,Small Cap
RELIANCE INFRASTRUCTURE LTD,RELINFRA,6652.24,Small Cap
REMSONS INDUSTRIES LTD.,REMSONSIND,256.48,Small Cap
SHREE RENUKA SUGARS LTD.,RENUKA,10412.78,Small Cap
REPCO HOME FINANCE LIMITED,REPCOHOME,2376.05,Small Cap
RUDRABHISHEK ENTERPRISES LTD.,REPL,342.55,Small Cap
REPRO INDIA LTD.,REPRO,1067.95,Small Cap
RESPONSIVE INDUSTRIES LTD,RESPONIND,7471.39,Small Cap
RENAISSANCE GLOBAL LIMITED,RGL,984.7,Small Cap
RELIANCE HOME FINANCE LIMITED,RHFL,116.51,Small Cap
RHI MAGNESITA INDIA LIMITED,RHIM,14516.61,Small Cap
ROBUST HOTELS LIMITED,RHL,192.75,Small Cap
RICO AUTO INDUSTRIES LTD.,RICOAUTO,1226.32,Small Cap
RELIANCE INDUSTRIAL INFRASTRUCTURE,RIIL,1573.04,Small Cap
RISHABH INSTRUMENTS LIMITED,RISHABH,1910.49,Small Cap
RITCO LOGISTICS LIMITED,RITCO,595.79,Small Cap
RITES LIMITED,RITES,11319.02,Small Cap
RAVI KUMAR DISTILLERIES LIMITED,RKDL,45.12,Small Cap
RKEC PROJECTS LTD.,RKEC,164.91,Small Cap
RAMKRISHNA FORGINGS LTD.,RKFORGE,10621.48,Small Cap
RANE (MADRAS)  LTD.,RML,1246.64,Small Cap
ROYAL ORCHID HOTELS LTD,ROHLTD,856.69,Small Cap
ROLEX RINGS LIMITED,ROLEXRINGS,6128.32,Small Cap
"ROLLATAINTERS LTD.,",ROLLT,29.56,Small Cap
"ROLTA INDIA LTD.,",ROLTA,36.84,Small Cap
RAJ OIL MILLS LIMITED,ROML,136.7,Small Cap
ROSSARI BIOTECH LIMITED,ROSSARI,4472.18,Small Cap
ROSSELL INDIA LIMITED,ROSSELLIND,1730.23,Small Cap
ROTO PUMPS LTD.,ROTO,1163.8,Small Cap
ROUTE MOBILE LIMITED,ROUTE,9729.19,Small Cap
RPG LIFE SCIENCES LIMITED,RPGLIFE,2078.64,Small Cap
RELIANCE POWER LIMITED,RPOWER,7179.53,Small Cap
RPP INFRA PROJECTS LIMITED,RPPINFRA,286.01,Small Cap
RAJSHREE POLYPACK LTD.,RPPL,213.06,Small Cap
RPSG VENTURES LIMITED,RPSGVENT,1765.22,Small Cap
R R KABEL LIMITED,RRKABEL,17105.43,Small Cap
R S SOFTWARE INDIA LTD.,RSSOFTWARE,134.07,Small Cap
RSWM LIMITED,RSWM,915.67,Small Cap
R SYSTEMS INTERNATIONAL LIMITED,RSYSTEMS,5783.57,Small Cap
RATTANINDIA ENTERPRISES LIMITED,RTNINDIA,8065.04,Small Cap
RATTANINDIA POWER LIMITED,RTNPOWER,3737.85,Small Cap
"RUBY MILLS LTD.,",RUBYMILLS,761.88,Small Cap
RUCHI INFRASTRUCTURE LTD,RUCHINFRA,246.23,Small Cap
RUCHIRA PAPERS LTD,RUCHIRA,391.27,Small Cap
RUPA & COMPANY LIMITED,RUPA,2132.13,Small Cap
RUSHIL DECOR LIMITED,RUSHIL,842.56,Small Cap
KEYSTONE REALTORS LIMITED,RUSTOMJEE,6594.27,Small Cap
RAVINDER HEIGHTS LIMITED,RVHL,205.87,Small Cap
RAIL VIKAS NIGAM LIMITED,RVNL,31654.98, Mid Cap 
"S & S POWER SWITCHGEARS LTD.,",S&SPOWER,62.38,Small Cap
SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,SABEVENTS,4.57,Small Cap
SRI ADHIKARI BROTHERS TELEVISION NE,SABTN,5.41,Small Cap
SADBHAV ENGINEERING LTD.,SADBHAV,264.82,Small Cap
SADBHAV INFRASTRUCTURE PROJECT LIMITED,SADBHIN,150.14,Small Cap
"SADHANA NITROCHEM LTD.,",SADHNANIQ,2208.95,Small Cap
"SAFARI INDUSTRIES (INDIA) LTD.,",SAFARI,9013.81,Small Cap
SAGARDEEP ALLOYS LTD.,SAGARDEEP,41.52,Small Cap
SAGAR CEMENTS LTD,SAGCEM,3118.3,Small Cap
SAH POLYMERS LIMITED,SAH,271.46,Small Cap
SAHYADRI INDUSTRIES LTD.,SAHYADRI,448.75,Small Cap
"STEEL AUTHORITY OF INDIA LTD.,",SAIL,38383.74, Mid Cap 
SAKAR HEALTHCARE LTD.,SAKAR,673.47,Small Cap
SAKTHI SUGARS LTD.,SAKHTISUG,343.85,Small Cap
SAKSOFT LIMITED,SAKSOFT,3529.34,Small Cap
SAKUMA EXPORTS LTD.,SAKUMA,382.92,Small Cap
SALASAR TECHNO ENGINEERING LIMITED,SALASAR,1629.89,Small Cap
SALONA COTSPIN LTD.,SALONA,145.97,Small Cap
S.A.L. STEEL LTD.,SALSTEEL,147,Small Cap
"SALZER ELECTRONICS LTD.,",SALZERELEC,620.85,Small Cap
SAMBHAAV MEDIA LTD.,SAMBHAAV,64.42,Small Cap
SAMHI HOTELS LIMITED,SAMHI,3492.49,Small Cap
SAMPANN UTPADAN INDIA LIMITED,SAMPANN,73.02,Small Cap
SANCO INDUSTRIES LTD.,SANCO,8.96,Small Cap
