Company name,NSE Symbol,Market Cap,Categorization
AMBER ENTERPRISES INDIA LIMITED,AMBER,9616.29,Small Cap
AMBICA AGARBATHIES & AROMA IND. LTD.,AMBICAAGAR,59.35,Small Cap
AMBIKA COTTON MILLS LTD.,AMBIKCO,912.98,Small Cap
AMBUJA CEMENTS LTD.,AMBUJACEM,88461.86, Large Cap 
AMD INDUSTRIES LTD,AMDIND,129.81,Small Cap
AMI ORGANICS LIMITED,AMIORG,4362.33,Small Cap
AMJ LAND HOLDINGS LIMITED,AMJLAND,136.05,Small Cap
AMINES & PLASTICIZERS LTD,AMNPLST,890.2,Small Cap
AMRUTANJAN HEALTH CARE LIMITED,AMRUTANJAN,1818.22,Small Cap
ANAND RATHI WEALTH LIMITED,ANANDRATHI,7257.7,Small Cap
ANANT RAJ LIMITED,ANANTRAJ,7444.23,Small Cap
ANDHRA PAPER LIMITED,ANDHRAPAP,2084.07,Small Cap
THE ANDHRA SUGARS LTD.,ANDHRSUGAR,1519.23,Small Cap
ANGEL ONE LIMITED,ANGELONE,18682.04,Small Cap
ANIK INDUSTRIES LIMITED,ANIKINDS,114.74,Small Cap
ANKIT METAL  & POWER LIMITED,ANKITMETAL,54.88,Small Cap
ANMOL INDIA LIMITED,ANMOL,291.66,Small Cap
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI,171.18,Small Cap
ANTARCTICA LTD.,ANTGRAPHIC,13.49,Small Cap
THE ANUP ENGINEERING LTD,ANUP,2237.53,Small Cap
ANUPAM RASAYAN INDIA LIMITED,ANURAS,10284.41,Small Cap
APAR INDUSTRIES LTD,APARINDS,18705.63,Small Cap
ANJANI PORTLAND CEMENT LTD.,APCL,580,Small Cap
APCOTEX INDUSTRIES LIMITED,APCOTEXIND,2679.65,Small Cap
APEX FROZEN FOODS LIMITED,APEX,687.32,Small Cap
APL APOLLO TUBES LIMITED,APLAPOLLO,43951.93, Mid Cap 
ALEMBIC PHARMACEUTICALS LIMITED,APLLTD,14722.95,Small Cap
APOLLO MICRO SYSTEMS LIMITED,APOLLO,1840.16,Small Cap
"APOLLO HOSPITALS ENTERPRISES LTD.,",APOLLOHOSP,74157.54, Large Cap 
APOLLO PIPES LIMITED,APOLLOPIPE,2734.7,Small Cap
APOLLO TYRES LTD,APOLLOTYRE,25861.95, Mid Cap 
APOLLO SINDOORI HOTELS LTD.,APOLSINHOT,404.58,Small Cap
APTECH LTD.,APTECHT,1705.84,Small Cap
APTUS VALUE HOUSING FINANCE INDIA LIMITED,APTUS,14204.86,Small Cap
ARCHIDPLY INDUSTRIES LIMITED,ARCHIDPLY,152.55,Small Cap
ARCHIES LTD.,ARCHIES,88.57,Small Cap
AMARA RAJA ENERGY & MOBILITY LIMITED,ARE&M,11332.74,Small Cap
"RAJDARSHAN INDUSTRIES LTD.,",ARENTERP,11.52,Small Cap
"ARIES AGRO LIMITED,",ARIES,236.54,Small Cap
ARIHANT CAPITAL MARKETS LTD.,ARIHANTCAP,649.68,Small Cap
ARIHANT SUPERSTRUCTURES LIMITED,ARIHANTSUP,826.22,Small Cap
ARMAN FINANCIAL SERVICES LIMITED,ARMANFIN,1931.75,Small Cap
ARO GRANITE INDUSTRIES LTD.,AROGRANITE,76.9,Small Cap
ARROW GREENTECH LIMITED,ARROWGREEN,574.81,Small Cap
ARSHIYA LIMITED,ARSHIYA,123.53,Small Cap
ARSS INFRASTRUCTURE PROJECTS LIMITED,ARSSINFRA,45.94,Small Cap
ARTEMIS MEDICARE SERVICES LIMITED,ARTEMISMED,1978.62,Small Cap
ART NIRMAN LTD.,ARTNIRMAN,130.15,Small Cap
ARVEE LABORATORIES (INDIA) LTD.,ARVEE,136.33,Small Cap
"ARVIND LTD.,",ARVIND,4757.17,Small Cap
ARVIND FASHIONS LIMITED,ARVINDFASN,4690.43,Small Cap
ARVIND SMARTSPACES LIMITED,ARVSMART,1639.86,Small Cap
ASAHI INDIA GLASS LTD.,ASAHIINDIA,13690.43,Small Cap
ASAHI SONGWON COLORS LTD.,ASAHISONG,301.68,Small Cap
AUTOMOTIVE STAMPINGS AND ASSEMBLIES LTD.,ASAL,646.51,Small Cap
ASSOCIATED ALCOHOLS & BREWERIES LTD,ASALCBR,821.85,Small Cap
ASHAPURA MINECHEM LTD,ASHAPURMIN,2580.14,Small Cap
ASHIANA HOUSING LIMITED,ASHIANA,2251.74,Small Cap
ASHIMA LTD,ASHIMASYN,283.53,Small Cap
ASHOKA BUILDCON LIMITED,ASHOKA,3319.8,Small Cap
ASHOKA METCAST LIMITED,ASHOKAMET,51.52,Small Cap
"ASHOK LEYLAND LTD.,",ASHOKLEY,51979.87, Mid Cap 
ASIAN ENERGY SERVICES LTD,ASIANENE,675.47,Small Cap
ASIAN HOTELS (NORTH) LIMITED,ASIANHOTNR,336.17,Small Cap
ASIAN PAINTS LTD.,ASIANPAINT,310204.1, Large Cap 
ASIAN GRANITO INDIA LIMITED,ASIANTILES,823.1,Small Cap
ASK AUTOMOTIVE LIMITED,ASKAUTOLTD,5723.53,Small Cap
BARTRONICS INDIA LTD.,ASMS,419.2,Small Cap
ASPINWALL AND COMPANY LTD.,ASPINWALL,190.33,Small Cap
ASTEC LIFESCIENCES LIMITED,ASTEC,2513.21,Small Cap
ASTER DM HEALTHCARE LIMITED,ASTERDM,16897.5,Small Cap
ASTRAL LIMITED,ASTRAL,51381.96, Mid Cap 
ASTRA MICROWAVE PRODUCTS LTD.,ASTRAMICRO,4310.17,Small Cap
ASTRAZENECA PHARMA INDIA LTD.,ASTRAZEN,11027.14,Small Cap
ASTRON PAPER & BOARD MILL LIMITED,ASTRON,137.96,Small Cap
ATAL REALTECH LIMITED,ATALREAL,137.6,Small Cap
ATAM VALVES LIMITED,ATAM,199.86,Small Cap
AGRO TECH FOODS LTD,ATFL,2037.75,Small Cap
ADANI TOTAL GAS LIMITED,ATGL,74732.98, Large Cap 
ALLCARGO TERMINALS LIMITED,ATL,1044.42,Small Cap
ATLANTAA LIMITED,ATLANTAA,136.72,Small Cap
"ATUL LIMITED.,",ATUL,20202.27,Small Cap
ATUL AUTO LIMITED,ATULAUTO,1368.08,Small Cap
AU SMALL FINANCE BANK LIMITED,AUBANK,48709.89, Mid Cap 
AURIONPRO SOLUTIONS LTD.,AURIONPRO,3387.39,Small Cap
AUROBINDO PHARMA LTD.,AUROPHARMA,52454.1, Mid Cap 
 AURUM PROPTECH LIMITED,AURUM,371.86,Small Cap
AUSOM ENTERPRISE LIMITED,AUSOMENT,97.34,Small Cap
"AUTOMOTIVE AXLES LTD.,",AUTOAXLES,3366.01,Small Cap
AUTOLINE INDUSTRIES LTD.,AUTOIND,383.9,Small Cap
AVADH SUGAR & ENERGY LIMITED,AVADHSUGAR,1300.26,Small Cap
AVALON TECHNOLOGIES LIMITED,AVALON,3555.98,Small Cap
AVANTI FEEDS LTD.,AVANTIFEED,5617.18,Small Cap
AVG LOGISTICS LIMITED,AVG,336.03,Small Cap
AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,AVONMORE,183.53,Small Cap
AVRO INDIA LIMITED,AVROIND,112.7,Small Cap
AVT NATURAL PRODUCTS LTD.,AVTNPL,1309.14,Small Cap
ANTONY WASTE HANDLING CELL LIMITED,AWHCL,1081.58,Small Cap
ADANI WILMAR LIMITED,AWL,46631.21, Mid Cap 
AXIS BANK LTD.,AXISBANK,310502.49, Large Cap 
AXISCADES TECHNOLOGIES LIMITED,AXISCADES,2062.32,Small Cap
AXITA COTTON LIMITED,AXITA,552.38,Small Cap
AYM SYNTEX LIMITED,AYMSYNTEX,350.01,Small Cap
AZAD ENGINEERING LIMITED,AZAD,4047.91,Small Cap
BAFNA PHARMACEUTICALS LIMITED,BAFNAPH,219.95,Small Cap
B.A.G. FILMS & MEDIA LTD,BAGFILMS,115.97,Small Cap
BAID FINSERV LIMITED,BAIDFIN,362.89,Small Cap
BAJAJ AUTO LIMITED,BAJAJ-AUTO,148440.5, Large Cap 
BAJAJ CONSUMER CARE LIMITED,BAJAJCON,3223.41,Small Cap
"BAJAJ ELECTRICALS LTD.,",BAJAJELEC,11945.83,Small Cap
BAJAJ FINSERV LIMITED,BAJAJFINSV,253620.1, Large Cap 
BAJAJ HEALTHCARE LIMITED,BAJAJHCARE,1057.77,Small Cap
BAJAJ HINDUSTHAN SUGAR LIMITED,BAJAJHIND,3213.23,Small Cap
BAJAJ HOLDINGS & INVESTMENT LIMITED,BAJAJHLDNG,81169.96, Large Cap 
BAJEL PROJECTS LIMITED,BAJEL,1840.77,Small Cap
BAJAJ FINANCE LIMITED,BAJFINANCE,451010.57, Large Cap 
BALAJI TELEFILMS LTD.,BALAJITELE,648.88,Small Cap
BALAJI AMINES LTD.,BALAMINES,7095.98,Small Cap
BALAXI PHARMACEUTICALS LTD.,BALAXI,464.89,Small Cap
BALKRISHNA PAPER MILLS LTD,BALKRISHNA,31.75,Small Cap
"BALKRISHNA INDUSTRIES LTD.,",BALKRISIND,48204.93, Mid Cap 
"BALMER LAWRIE & CO. LTD.,",BALMLAWRIE,2653.52,Small Cap
BAL PHARMA LTD.,BALPHARMA,151.86,Small Cap
BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN,8314.53,Small Cap
BANARAS BEADS LTD.,BANARBEADS,59.5,Small Cap
"BANNARI AMMAN SUGARS LTD.,",BANARISUG,3327.58,Small Cap
"BANCO PRODUCTS (INDIA) LTD.,",BANCOINDIA,3402.9,Small Cap
BANDHAN BANK LIMITED,BANDHANBNK,37241.09, Mid Cap 
BANG OVERSEAS LTD,BANG,66.52,Small Cap
BANKA BIOLOO LTD.,BANKA,77.05,Small Cap
