,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,1018GS2026,GS,118.76,125.0,118.76,121.0,125.0,4923,5.96,17,4922,99.98,22-Dec-2023
1,20MICRONS,EQ,171.5,201.0,171.5,189.45,170.5,1118134,2138.06,33878,295886,26.46,22-Dec-2023
2,21STCENMGM,EQ,32.25,32.25,32.25,32.25,31.65,6944,2.24,42,6944,100.00,22-Dec-2023
3,360ONE,EQ,661.0,664.85,647.05,657.9,635.7,611023,3997.46,25691,186447,30.51,22-Dec-2023
4,3IINFOLTD,EQ,44.5,45.55,43.95,45.2,44.25,1388245,622.19,5909,503089,36.24,22-Dec-2023
5,3MINDIA,EQ,31468.95,31563.55,30993.0,31182.0,31358.3,1812,565.62,1063,671,37.03,22-Dec-2023
6,3PLAND,EQ,25.7,27.3,25.7,26.35,26.85,10324,2.74,457,4653,45.07,22-Dec-2023
7,515GS2025,GS,96.38,96.38,96.38,96.38,97.25,4,0.0,1,4,100.00,22-Dec-2023
8,574GS2026,GS,96.6,97.2,96.6,97.1,96.2,378,0.37,6,378,100.00,22-Dec-2023
9,5PAISA,EQ,512.9,513.0,500.75,503.0,510.6,239779,1216.6,18904,169975,70.89,22-Dec-2023
10,610GS2031,GS,96.06,96.45,95.0,96.3,96.0,687,0.65,8,684,99.56,22-Dec-2023
11,619GS2034,GS,92.14,92.14,92.14,92.14,93.5,1,0.0,1,1,100.00,22-Dec-2023
12,63MOONS,BE,483.5,491.9,477.0,491.9,468.5,202327,991.53,2750,-,-,22-Dec-2023
13,654GS2032,GS,98.99,98.99,98.99,98.99,98.95,7,0.01,2,7,100.00,22-Dec-2023
14,667GS2050,GS,93.75,93.75,93.2,93.25,94.55,3001,2.8,10,3001,100.00,22-Dec-2023
15,669GS2024,GS,103.2,103.35,103.2,103.2,102.9,7000,7.23,7,7000,100.00,22-Dec-2023
16,689GS2025,GS,102.87,102.87,102.87,102.87,102.87,1,0.0,1,1,100.00,22-Dec-2023
17,695GS2061,GS,97.5,97.5,97.3,97.3,97.0,2,0.0,2,2,100.00,22-Dec-2023
18,699GS2051,GS,96.5,96.5,95.3,96.25,96.5,11983,11.43,12,11983,100.00,22-Dec-2023
19,706GS2028,GS,101.0,101.0,100.51,100.51,100.88,500,0.5,5,500,100.00,22-Dec-2023
20,710GS2029,GS,101.5,101.5,100.26,101.31,100.51,2296,2.32,6,2194,95.56,22-Dec-2023
21,717GS2030,GS,100.8,102.0,100.8,102.0,101.44,2465,2.49,8,2465,100.00,22-Dec-2023
22,718GS2033,GS,101.58,101.58,101.57,101.58,101.58,949,0.96,11,949,100.00,22-Dec-2023
23,718GS2037,GS,102.3,102.3,101.1,102.1,102.65,314395,320.68,9,314395,100.00,22-Dec-2023
24,725GS2063,GS,99.9,99.9,98.96,99.0,98.94,71476,70.8,36,68524,95.87,22-Dec-2023
25,726GS2032,GS,104.0,104.0,101.25,102.95,102.86,26106,26.85,20,25975,99.50,22-Dec-2023
26,732GS2030,GS,100.5,102.0,100.1,101.99,100.1,910,0.92,7,910,100.00,22-Dec-2023
27,733GS2026,GS,101.0,103.5,101.0,102.0,101.1,11051,11.29,5,11051,100.00,22-Dec-2023
28,736GS2052,GS,102.68,102.69,102.68,102.69,101.56,506,0.52,7,506,100.00,22-Dec-2023
29,737GS2028,GS,101.7,102.0,101.7,102.0,102.0,1130,1.15,6,1130,100.00,22-Dec-2023
30,738GS2027,GS,100.9,101.19,100.9,101.04,100.91,260912,263.55,130,221561,84.92,22-Dec-2023
31,73GS2053,GS,99.5,99.5,99.25,99.39,99.31,17588,17.48,22,17588,100.00,22-Dec-2023
32,741GS2036,GS,100.0,101.6,100.0,101.59,101.36,12211,12.39,25,11711,95.91,22-Dec-2023
33,746GS2073,GS,101.51,102.15,101.51,101.79,102.2,1093,1.11,11,1093,100.00,22-Dec-2023
34,74GS2062,GS,102.25,106.5,102.25,106.5,102.0,5,0.01,3,5,100.00,22-Dec-2023
35,754GS2036,GS,102.9,102.99,102.7,102.85,102.78,673616,692.49,207,671040,99.62,22-Dec-2023
36,824GS2027,GS,106.61,106.61,106.61,106.61,108.75,172,0.18,3,172,100.00,22-Dec-2023
37,82GS2025,GS,102.96,102.96,98.09,100.52,103.21,3,0.0,3,1,33.33,22-Dec-2023
38,897GS2030,GS,112.0,112.0,112.0,112.0,110.5,20,0.02,3,20,100.00,22-Dec-2023
39,92GS2030,GS,113.25,113.25,112.9,112.9,112.98,330,0.37,6,330,100.00,22-Dec-2023
40,A2ZINFRA,BE,10.85,10.9,10.85,10.9,10.7,278757,30.38,138,-,-,22-Dec-2023
41,AAATECH,EQ,86.85,87.95,83.55,85.7,85.7,144482,124.12,1886,84847,58.72,22-Dec-2023
42,AAKASH,BE,9.1,10.0,9.1,10.0,9.55,364341,35.62,630,-,-,22-Dec-2023
43,AAREYDRUGS,BE,45.9,47.0,45.0,45.55,46.2,12292,5.65,84,-,-,22-Dec-2023
44,AARON,EQ,294.5,294.5,282.55,287.55,287.6,7274,21.0,587,3273,45.00,22-Dec-2023
45,AARTECH,EQ,130.85,133.95,130.85,133.4,130.2,91831,122.33,370,87675,95.47,22-Dec-2023
46,AARTIDRUGS,EQ,512.7,512.7,495.95,499.5,510.0,432677,2172.14,15852,156376,36.14,22-Dec-2023
47,AARTIIND,EQ,599.0,602.35,593.2,598.55,593.2,1586627,9492.92,32660,611476,38.54,22-Dec-2023
48,AARTIPHARM,EQ,491.6,510.9,490.0,501.2,487.0,269331,1353.41,17090,129899,48.23,22-Dec-2023
49,AARTIPP,E1,301.0,307.5,290.1,302.85,300.0,126,0.37,52,90,71.43,22-Dec-2023
50,AARTISURF,EQ,629.5,633.0,615.55,625.45,620.1,11984,74.73,1248,6892,57.51,22-Dec-2023
51,AARVEEDEN,EQ,28.2,28.25,26.3,26.75,27.35,141108,38.29,989,82999,58.82,22-Dec-2023
52,AARVI,EQ,139.9,139.9,136.05,137.85,136.85,8490,11.69,359,4677,55.09,22-Dec-2023
53,AATMAJ,SM,39.75,40.6,39.75,40.05,39.75,30000,12.06,15,24000,80.00,22-Dec-2023
54,AAVAS,EQ,1495.7,1517.95,1470.0,1479.95,1487.9,259978,3859.71,25760,155422,59.78,22-Dec-2023
55,ABAN,BE,52.9,54.0,52.6,52.85,52.9,114695,61.08,634,-,-,22-Dec-2023
56,ABB,EQ,4723.0,4765.0,4686.1,4759.0,4684.5,155535,7365.26,22442,73678,47.37,22-Dec-2023
57,ABBOTINDIA,EQ,22367.3,22661.0,22324.6,22604.0,22354.75,12474,2809.83,6153,4611,36.96,22-Dec-2023
58,ABCAPITAL,EQ,160.95,161.5,158.1,159.7,159.2,2799509,4478.93,28476,1130687,40.39,22-Dec-2023
59,ABFRL,EQ,219.9,223.7,218.15,219.8,219.2,1717071,3794.37,20247,538905,31.39,22-Dec-2023
60,ABINFRA,SM,47.0,47.0,47.0,47.0,47.0,4000,1.88,1,4000,100.00,22-Dec-2023
61,ABMINTLLTD,BE,52.55,52.55,52.55,52.55,50.05,1714,0.9,14,-,-,22-Dec-2023
62,ABSLAMC,EQ,470.55,480.15,470.55,475.4,468.25,89798,426.95,2627,41379,46.08,22-Dec-2023
63,ABSLBANETF,EQ,48.69,48.69,47.43,47.93,48.14,59926,28.8,953,54545,91.02,22-Dec-2023
64,ABSLLIQUID,EQ,999.99,1000.0,999.99,1000.0,1000.0,455,4.55,5,455,100.00,22-Dec-2023
65,ABSLNN50ET,EQ,53.38,53.64,53.1,53.6,53.08,1192,0.64,87,539,45.22,22-Dec-2023
66,ACC,EQ,2120.0,2122.95,2079.0,2090.75,2107.4,444653,9360.12,20838,262370,59.01,22-Dec-2023
67,ACCELYA,EQ,1377.5,1394.0,1373.2,1387.7,1370.6,21601,299.34,2549,15243,70.57,22-Dec-2023
68,ACCENTMIC,ST,283.0,292.95,275.0,288.55,279.2,251000,723.9,175,228000,90.84,22-Dec-2023
69,ACCURACY,BE,9.25,9.45,9.25,9.45,9.0,1011170,95.43,1149,-,-,22-Dec-2023
70,ACE,EQ,869.05,881.95,844.0,851.1,859.85,174188,1499.63,14684,97289,55.85,22-Dec-2023
71,ACEINTEG,EQ,42.75,42.75,40.8,41.3,41.75,24379,10.12,237,15861,65.06,22-Dec-2023
72,ACI,EQ,673.8,676.5,640.65,648.7,661.5,408725,2684.24,21480,180198,44.09,22-Dec-2023
73,ACL,EQ,114.2,114.2,106.2,108.45,109.25,40652,44.98,925,15729,38.69,22-Dec-2023
74,ACLGATI,EQ,144.9,149.0,117.65,120.8,138.0,8377525,10943.68,73826,3756465,44.84,22-Dec-2023
75,ACSAL,SM,61.0,61.0,60.4,61.0,59.95,18000,10.96,5,15000,83.33,22-Dec-2023
76,ADANIENSOL,EQ,1040.0,1044.8,1026.0,1027.9,1026.55,2494643,25783.45,34585,1376012,55.16,22-Dec-2023
77,ADANIENT,EQ,2815.95,2847.6,2791.4,2808.35,2799.75,1513956,42687.78,76777,332259,21.95,22-Dec-2023
78,ADANIGREEN,EQ,1543.0,1546.0,1500.0,1533.1,1519.55,1062643,16213.88,40193,499146,46.97,22-Dec-2023
79,ADANIPORTS,EQ,1034.0,1050.95,1019.0,1027.5,1018.95,5252106,54299.79,127018,1421674,27.07,22-Dec-2023
80,ADANIPOWER,BE,518.0,518.0,505.0,512.55,511.65,942799,4833.43,21772,-,-,22-Dec-2023
81,ADFFOODS,EQ,200.9,202.45,197.15,198.5,199.0,106049,211.63,5335,45437,42.85,22-Dec-2023
82,ADL,BE,88.85,93.2,88.0,92.4,88.8,2885,2.6,41,-,-,22-Dec-2023
83,ADORWELD,EQ,1524.7,1530.0,1474.8,1498.95,1512.7,16110,242.17,3774,8235,51.12,22-Dec-2023
84,ADROITINFO,BE,22.0,23.0,21.55,22.0,22.0,29543,6.53,101,-,-,22-Dec-2023
85,ADSL,EQ,121.6,127.8,119.9,126.55,120.2,529742,658.51,6402,256383,48.40,22-Dec-2023
86,ADVANIHOTR,EQ,102.9,106.8,101.7,103.45,102.3,128909,134.71,2189,45022,34.93,22-Dec-2023
87,ADVENZYMES,EQ,377.8,384.0,370.9,375.7,375.4,517504,1956.43,13795,282816,54.65,22-Dec-2023
88,AEGISCHEM,EQ,365.85,370.0,362.0,364.0,364.5,221595,811.27,10653,90999,41.07,22-Dec-2023
89,AEROFLEX,EQ,146.5,150.95,146.3,148.8,145.5,644618,958.27,9779,204914,31.79,22-Dec-2023
90,AETHER,EQ,904.0,909.65,884.0,888.35,899.9,167550,1498.11,8511,75397,45.00,22-Dec-2023
91,AFFLE,EQ,1219.9,1244.0,1209.3,1216.95,1220.3,227568,2790.6,21568,96206,42.28,22-Dec-2023
92,AGARIND,EQ,947.7,957.55,933.35,940.9,947.7,25180,237.84,4200,9575,38.03,22-Dec-2023
93,AGARWALFT,SM,58.0,58.0,58.0,58.0,55.25,3000,1.74,1,3000,100.00,22-Dec-2023
