SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,38.3,38.3,36.25,36.8,37.9,72000,26.86,637,43996,61.11,18-Mar-2021
21STCENMGM,EQ,14.0,14.0,14.0,14.0,13.75,950,0.13,10,950,100.00,18-Mar-2021
3IINFOTECH,EQ,7.75,8.25,7.65,7.65,8.05,17044644,1346.27,46804,7838636,45.99,18-Mar-2021
3MINDIA,EQ,28220.0,28434.7,26700.0,27556.45,27961.85,5536,1534.35,3652,2597,46.91,18-Mar-2021
3PLAND,EQ,9.5,9.5,8.6,8.95,9.1,4494,0.41,74,4228,94.08,18-Mar-2021
5PAISA,EQ,282.85,282.85,267.9,269.75,276.25,16083,44.31,443,8951,55.66,18-Mar-2021
63MOONS,EQ,78.0,78.3,75.0,75.8,76.7,63499,48.76,934,36564,57.58,18-Mar-2021
68GS2060,GS,107.0,108.2,106.8,107.42,107.1,1330,1.43,9,1330,100.00,18-Mar-2021
716GS2050,GS,120.0,120.0,120.0,120.0,114.5,1,0.0,1,1,100.00,18-Mar-2021
719GS2060,GS,107.0,107.0,107.0,107.0,107.0,198,0.21,2,198,100.00,18-Mar-2021
A2ZINFRA,EQ,4.0,4.05,3.8,3.85,3.95,264377,10.36,373,189933,71.84,18-Mar-2021
AAATECH,SM,43.0,43.0,43.0,43.0,42.0,72000,30.96,8,72000,100.00,18-Mar-2021
AAKASH,BE,127.0,130.5,127.0,129.0,129.75,11267,14.43,88,-,-,18-Mar-2021
AARON,EQ,63.6,63.9,58.5,59.15,63.6,1850,1.12,104,1145,61.89,18-Mar-2021
AARTIDRUGS,EQ,682.4,689.0,668.0,683.3,680.5,409208,2776.11,13858,153895,37.61,18-Mar-2021
AARTIIND,EQ,1288.0,1304.0,1232.5,1240.75,1288.9,119276,1508.57,8125,46680,39.14,18-Mar-2021
AARTISURF,EQ,985.0,985.0,935.0,939.7,954.45,8097,77.17,1487,4979,61.49,18-Mar-2021
AARVEEDEN,EQ,17.2,18.45,17.0,17.35,17.5,11275,1.96,79,9319,82.65,18-Mar-2021
AARVI,EQ,54.15,54.15,52.0,52.0,52.75,5453,2.9,82,5016,91.99,18-Mar-2021
