SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,58.3,59.0,58.0,58.55,58.1,30134,17.64,638,18903,62.73,02-Nov-2021
21STCENMGM,EQ,56.5,56.5,56.5,56.5,55.4,9114,5.15,24,9114,100.00,02-Nov-2021
3IINFOLTD,BE,43.45,43.45,43.45,43.45,41.4,9265,4.03,182,-,-,02-Nov-2021
3MINDIA,EQ,25355.0,26500.0,25355.0,26355.15,25560.5,4476,1168.78,2466,2385,53.28,02-Nov-2021
3PLAND,EQ,13.0,13.0,12.25,12.5,12.45,4001,0.5,53,3504,87.58,02-Nov-2021
5PAISA,EQ,440.0,447.6,437.0,438.85,441.25,14389,63.53,951,8188,56.90,02-Nov-2021
63MOONS,EQ,97.35,99.0,95.1,98.3,96.5,78448,76.63,1231,58662,74.78,02-Nov-2021
667GS2035,GS,96.01,96.01,96.01,96.01,97.0,3,0.0,1,3,100.00,02-Nov-2021
667GS2050,GS,98.99,98.99,96.5,97.96,97.51,37428,36.3,24,26025,69.53,02-Nov-2021
676GS2061,GS,98.0,98.0,97.25,97.25,97.1,13553,13.2,9,13553,100.00,02-Nov-2021
716GS2050,GS,102.0,108.0,102.0,103.16,107.21,1247,1.27,5,1247,100.00,02-Nov-2021
719GS2060,GS,109.0,109.0,109.0,109.0,109.0,11,0.01,2,11,100.00,02-Nov-2021
A2ZINFRA,EQ,5.0,5.1,4.8,5.0,4.9,656249,32.61,740,384432,58.58,02-Nov-2021
AAKASH,EQ,189.05,197.95,187.1,195.55,188.55,30837,59.61,466,17416,56.48,02-Nov-2021
AAREYDRUGS,EQ,32.75,33.8,32.6,32.75,33.55,38979,12.92,436,22776,58.43,02-Nov-2021
AARON,EQ,110.65,113.85,105.5,107.65,108.45,11462,12.67,261,5556,48.47,02-Nov-2021
