SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,62.6,68.0,61.25,66.1,62.75,1120467,746.36,10731,495296,44.20,11-Nov-2021
21STCENMGM,EQ,60.45,60.45,59.25,59.25,60.45,31150,18.5,250,27183,87.26,11-Nov-2021
3IINFOLTD,EQ,66.75,66.75,66.75,66.75,63.6,18955,12.65,240,18955,100.00,11-Nov-2021
3MINDIA,EQ,26705.0,27484.9,26564.2,26992.25,26876.4,2431,656.57,1689,1095,45.04,11-Nov-2021
3PLAND,EQ,13.1,13.5,12.75,12.9,12.95,5053,0.67,56,4095,81.04,11-Nov-2021
5PAISA,EQ,435.0,439.75,420.0,423.35,432.95,25883,110.56,1476,15419,59.57,11-Nov-2021
63MOONS,EQ,98.5,101.55,98.1,100.9,98.75,63583,63.5,1420,43368,68.21,11-Nov-2021
676GS2061,GS,98.01,98.1,98.01,98.07,98.01,300,0.29,3,300,100.00,11-Nov-2021
716GS2050,GS,108.3,108.3,108.3,108.3,105.3,19,0.02,2,19,100.00,11-Nov-2021
772GS2055,GS,111.0,111.0,109.5,109.59,110.07,2420,2.66,11,2420,100.00,11-Nov-2021
A2ZINFRA,EQ,6.6,6.95,6.4,6.95,6.65,3521996,240.75,3349,2101413,59.67,11-Nov-2021
AAKASH,EQ,209.75,212.0,205.0,209.9,205.85,46176,96.01,440,20087,43.50,11-Nov-2021
AAREYDRUGS,EQ,37.4,37.4,36.4,36.6,36.95,21651,7.94,349,16229,74.96,11-Nov-2021
AARON,EQ,108.3,112.25,105.3,111.45,106.95,17714,19.33,237,12700,71.69,11-Nov-2021
AARTIDRUGS,EQ,561.7,563.8,550.0,552.9,561.7,211329,1171.66,10766,97758,46.26,11-Nov-2021
AARTIIND,EQ,960.0,961.45,923.3,939.9,957.8,1149550,10833.92,42731,406280,35.34,11-Nov-2021
AARTISURF,EQ,1235.0,1240.65,1210.25,1222.15,1233.8,13654,167.38,3261,6522,47.77,11-Nov-2021
AARVEEDEN,EQ,27.1,27.1,26.0,26.35,26.5,26298,6.93,248,22540,85.71,11-Nov-2021
AARVI,EQ,56.45,57.95,56.4,57.6,55.85,7839,4.5,123,6561,83.70,11-Nov-2021
AAVAS,EQ,2779.0,2780.0,2716.8,2770.45,2765.75,28033,771.86,6340,13069,46.62,11-Nov-2021
ABAN,BE,56.8,56.8,53.75,54.8,55.7,34686,19.06,481,-,-,11-Nov-2021
ABB,EQ,2181.85,2205.0,2132.15,2172.3,2170.7,123304,2680.46,12908,35001,28.39,11-Nov-2021
ABBOTINDIA,EQ,20059.0,20100.0,19905.05,19990.45,20057.65,18105,3620.67,2820,14093,77.84,11-Nov-2021
ABCAPITAL,EQ,110.95,111.85,107.7,108.25,110.9,2286469,2495.58,17011,713109,31.19,11-Nov-2021
ABFRL,EQ,302.0,307.45,298.05,300.45,301.9,2991405,9063.7,32516,495718,16.57,11-Nov-2021
ABINFRA,SM,6.4,6.4,6.35,6.35,6.65,8000,0.51,2,8000,100.00,11-Nov-2021
ABMINTLLTD,EQ,109.9,113.7,104.75,109.2,109.85,3732,4.01,116,2313,61.98,11-Nov-2021
ABSLAMC,EQ,627.2,632.4,623.1,624.45,626.0,196212,1230.12,8953,128223,65.35,11-Nov-2021
ABSLBANETF,EQ,385.8,386.3,381.8,383.64,387.99,752,2.9,42,587,78.06,11-Nov-2021
ABSLNN50ET,EQ,450.0,450.0,440.01,446.0,446.5,255,1.14,43,201,78.82,11-Nov-2021
ACC,EQ,2545.95,2564.8,2525.0,2558.2,2554.15,298854,7604.34,25382,150009,50.19,11-Nov-2021
ACCELYA,EQ,1177.0,1193.15,1165.0,1173.35,1176.0,11603,136.44,1523,6215,53.56,11-Nov-2021
ACCURACY,EQ,189.9,189.9,182.15,184.45,186.6,19995,37.16,973,11585,57.94,11-Nov-2021
ACE,EQ,256.35,258.65,249.75,251.6,256.35,464878,1180.95,14088,210246,45.23,11-Nov-2021
ACEINTEG,SM,22.3,22.3,22.3,22.3,23.4,4500,1.0,1,4500,100.00,11-Nov-2021
ACRYSIL,EQ,848.0,848.0,796.0,806.6,837.85,254267,2054.99,9596,123543,48.59,11-Nov-2021
ADANIENT,EQ,1650.0,1704.0,1640.85,1664.9,1655.85,4470709,74889.53,100449,948100,21.21,11-Nov-2021
ADANIGREEN,EQ,1231.95,1248.0,1211.5,1230.8,1228.85,1536247,18828.12,30771,875822,57.01,11-Nov-2021
ADANIPORTS,EQ,734.95,741.55,728.5,735.1,737.9,2325810,17085.27,44777,369222,15.87,11-Nov-2021
ADANIPOWER,EQ,110.8,111.6,107.35,108.1,110.15,3830677,4184.34,31942,1745631,45.57,11-Nov-2021
