,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,20MICRONS,EQ,81.5,84.25,81.5,82.5,82.0,61918,51.19,1086,30432,49.15,18-Apr-2023
1,21STCENMGM,EQ,19.95,20.4,19.9,20.4,20.1,1419,0.29,18,1167,82.24,18-Apr-2023
2,360ONE,EQ,403.5,414.95,403.5,407.5,403.4,276773,1134.76,10686,150194,54.27,18-Apr-2023
3,3IINFOLTD,EQ,31.75,33.75,31.75,32.8,31.4,702878,232.82,3702,299933,42.67,18-Apr-2023
4,3MINDIA,EQ,22978.0,22999.7,22766.5,22839.0,22966.3,1136,260.11,693,655,57.66,18-Apr-2023
5,3PLAND,EQ,24.4,25.2,23.9,24.05,24.4,9293,2.26,178,6855,73.77,18-Apr-2023
6,456GS2023,GS,99.5,99.5,99.5,99.5,99.24,100,0.1,1,100,100.00,18-Apr-2023
7,4THDIM,BE,29.25,29.25,29.25,29.25,29.85,4538,1.33,30,-,-,18-Apr-2023
8,515GS2025,GS,96.0,96.0,96.0,96.0,96.0,100,0.1,1,100,100.00,18-Apr-2023
9,522GS2025,GS,97.79,97.79,97.79,97.79,97.79,1000,0.98,2,1000,100.00,18-Apr-2023
10,5PAISA,EQ,296.55,299.45,291.55,294.5,292.25,60627,179.79,1107,27801,45.86,18-Apr-2023
11,610GS2031,GS,92.41,92.41,92.41,92.41,93.5,9,0.01,1,9,100.00,18-Apr-2023
12,63MOONS,EQ,167.65,168.95,165.1,166.8,166.8,47026,78.58,1895,15737,33.46,18-Apr-2023
13,667GS2050,GS,94.25,94.25,93.75,94.25,94.25,17629,16.61,16,17629,100.00,18-Apr-2023
14,669GS2024,GS,101.41,101.7,101.41,101.69,101.4,30260,30.74,21,27760,91.74,18-Apr-2023
15,68GS2060,GS,95.0,95.5,94.59,95.5,95.5,1103,1.05,5,1103,100.00,18-Apr-2023
16,695GS2061,GS,97.0,97.0,96.8,96.8,97.0,1101,1.07,2,1101,100.00,18-Apr-2023
17,699GS2051,GS,98.97,98.97,98.97,98.97,98.98,1,0.0,1,1,100.00,18-Apr-2023
18,706GS2028,GS,100.05,100.05,100.05,100.05,100.5,1500,1.5,2,1500,100.00,18-Apr-2023
19,710GS2029,GS,100.5,100.5,98.74,99.95,100.11,15526,15.58,29,15526,100.00,18-Apr-2023
20,726GS2032,GS,101.75,101.75,101.75,101.75,101.7,3094,3.15,3,3094,100.00,18-Apr-2023
21,726GS2033,GS,101.95,101.95,101.95,101.95,101.85,5,0.01,1,5,100.00,18-Apr-2023
22,732GS2024,GS,101.38,101.38,101.38,101.38,101.38,1,0.0,1,1,100.00,18-Apr-2023
23,736GS2052,GS,100.9,101.49,100.56,101.46,101.49,41007,41.45,38,28680,69.94,18-Apr-2023
24,738GS2027,GS,103.79,103.85,103.66,103.75,103.87,53328,55.31,28,53328,100.00,18-Apr-2023
25,741GS2036,GS,103.65,103.65,103.5,103.5,104.0,10100,10.46,4,10100,100.00,18-Apr-2023
26,74GS2062,GS,104.0,104.0,102.49,103.95,104.0,5,0.01,3,3,60.00,18-Apr-2023
27,754GS2036,GS,104.52,104.8,104.52,104.76,104.65,123314,129.16,95,120314,97.57,18-Apr-2023
28,768GS2023,GS,102.5,102.5,102.5,102.5,102.7,1,0.0,1,1,100.00,18-Apr-2023
29,769GS2043,GS,104.9,104.9,104.9,104.9,104.9,200,0.21,1,200,100.00,18-Apr-2023
30,824GS2027,GS,102.96,104.27,102.96,104.27,107.2,800,0.83,2,400,50.00,18-Apr-2023
31,828GS2032,GS,107.0,107.0,107.0,107.0,107.0,175,0.19,2,175,100.00,18-Apr-2023
32,82GS2025,GS,103.0,103.0,103.0,103.0,103.0,10500,10.82,7,10500,100.00,18-Apr-2023
33,83GS2042,GS,112.5,112.5,112.5,112.5,109.39,1200,1.35,1,1200,100.00,18-Apr-2023
34,A2ZINFRA,EQ,7.0,7.0,6.75,6.8,6.9,116026,7.97,333,75812,65.34,18-Apr-2023
35,AAATECH,EQ,57.8,58.45,55.45,56.9,56.5,9315,5.33,237,6225,66.83,18-Apr-2023
36,AAKASH,EQ,6.5,6.65,6.5,6.6,6.6,97382,6.39,345,70044,71.93,18-Apr-2023
37,AAREYDRUGS,EQ,26.95,27.8,26.35,26.95,26.95,42124,11.48,541,26526,62.97,18-Apr-2023
38,AARON,EQ,222.0,222.05,213.0,217.05,212.4,16677,36.31,838,11056,66.29,18-Apr-2023
39,AARTIDRUGS,EQ,410.3,431.15,410.3,428.35,414.05,826949,3494.4,17733,130169,15.74,18-Apr-2023
40,AARTIIND,EQ,558.0,561.7,545.2,551.05,557.35,600579,3309.01,25974,195708,32.59,18-Apr-2023
41,AARTIPHARM,EQ,371.4,384.0,360.3,377.85,365.6,536032,1994.18,17057,207290,38.67,18-Apr-2023
42,AARTIPP,E1,309.9,317.8,280.1,308.75,303.95,375,1.18,79,261,69.60,18-Apr-2023
43,AARTISURF,EQ,607.0,623.9,594.5,600.7,602.55,21321,129.37,1801,6294,29.52,18-Apr-2023
44,AARVEEDEN,EQ,22.85,22.85,21.6,22.25,22.2,4607,1.02,118,3462,75.15,18-Apr-2023
45,AARVI,EQ,134.95,135.75,124.8,128.0,132.05,25589,33.45,809,13108,51.23,18-Apr-2023
46,AAVAS,EQ,1800.0,1800.0,1734.05,1746.9,1794.65,63802,1124.27,8893,35190,55.16,18-Apr-2023
47,ABAN,EQ,37.7,39.4,36.75,38.9,36.6,239244,91.68,2413,107418,44.90,18-Apr-2023
48,ABB,EQ,3240.0,3259.85,3202.9,3207.7,3229.0,277893,8954.17,23712,171161,61.59,18-Apr-2023
49,ABBOTINDIA,EQ,22538.15,22702.95,22415.0,22530.4,22538.15,13222,2979.39,3828,7639,57.77,18-Apr-2023
50,ABCAPITAL,EQ,165.9,167.45,161.45,163.3,164.65,7369936,12132.69,50911,1856220,25.19,18-Apr-2023
51,ABCOTS,SM,43.6,44.2,43.6,44.2,43.5,20000,8.76,5,20000,100.00,18-Apr-2023
52,ABFRL,EQ,225.75,226.45,222.0,223.7,224.75,922411,2067.14,17544,314814,34.13,18-Apr-2023
53,ABINFRA,SM,35.55,35.55,35.55,35.55,33.9,12000,4.27,3,12000,100.00,18-Apr-2023
54,ABMINTLLTD,BE,56.95,57.05,52.0,52.0,54.35,1537,0.87,26,-,-,18-Apr-2023
55,ABSLAMC,EQ,339.2,344.2,339.0,342.85,339.25,24145,82.54,1510,12300,50.94,18-Apr-2023
56,ABSLBANETF,EQ,42.24,42.88,41.9,42.25,42.24,8569,3.63,469,4057,47.35,18-Apr-2023
57,ABSLLIQUID,EQ,999.99,1000.01,999.99,1000.01,999.99,1811,18.11,5,1800,99.39,18-Apr-2023
58,ABSLNN50ET,EQ,39.85,40.43,39.75,39.78,39.83,4095,1.63,117,1642,40.10,18-Apr-2023
59,ACC,EQ,1789.0,1789.0,1745.0,1760.1,1784.35,592829,10476.14,21622,390378,65.85,18-Apr-2023
60,ACCELYA,EQ,1345.0,1494.0,1345.0,1443.5,1336.55,468421,6753.08,25972,66956,14.29,18-Apr-2023
61,ACCURACY,EQ,15.8,16.3,15.8,16.0,15.85,34362,5.5,242,27202,79.16,18-Apr-2023
