SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,37.75,40.0,37.2,37.4,37.5,270835,102.76,1176,131056,48.39,03-Feb-2021
21STCENMGM,EQ,10.8,11.0,10.6,10.85,10.8,1460,0.16,30,955,65.41,03-Feb-2021
3IINFOTECH,EQ,7.4,7.55,7.15,7.3,7.2,19398142,1437.96,12851,11372331,58.63,03-Feb-2021
3MINDIA,EQ,20800.0,21200.0,20300.0,21019.9,20617.0,11582,2433.79,3393,6684,57.71,03-Feb-2021
3PLAND,EQ,9.35,9.75,9.35,9.75,9.3,6346,0.61,63,4380,69.02,03-Feb-2021
5PAISA,EQ,264.9,288.8,263.05,283.75,262.55,106593,297.77,3332,54401,51.04,03-Feb-2021
63MOONS,EQ,78.95,78.95,75.85,77.3,77.4,50264,39.08,775,28457,56.62,03-Feb-2021
A2ZINFRA,EQ,4.6,4.65,4.4,4.55,4.6,295335,13.45,453,196299,66.47,03-Feb-2021
AAATECH,SM,42.25,42.25,42.2,42.2,42.2,6000,2.53,2,6000,100.00,03-Feb-2021
AAKASH,BE,97.7,100.1,96.7,100.0,97.1,14105,13.9,242,-,-,03-Feb-2021
AARON,EQ,47.3,49.5,46.9,48.0,49.35,13621,6.54,162,8719,64.01,03-Feb-2021
AARTIDRUGS,EQ,684.0,695.0,677.1,686.8,678.05,295212,2031.02,11472,111424,37.74,03-Feb-2021
AARTIIND,EQ,1185.0,1206.95,1175.2,1188.1,1181.55,701852,8350.53,16724,462733,65.93,03-Feb-2021
AARTISURF,EQ,900.0,928.65,879.05,928.65,884.45,10758,98.74,531,8703,80.90,03-Feb-2021
AARVEEDEN,EQ,19.05,20.3,18.85,20.2,19.35,17249,3.42,78,12380,71.77,03-Feb-2021
AARVI,EQ,43.85,44.95,41.85,42.8,43.9,14247,6.14,188,10514,73.80,03-Feb-2021
AAVAS,EQ,1999.85,2000.0,1910.0,1943.85,1982.2,90777,1794.1,5374,55170,60.78,03-Feb-2021
ABAN,EQ,29.35,29.75,29.2,29.75,28.35,71992,21.35,336,62869,87.33,03-Feb-2021
