,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,20MICRONS,EQ,76.95,77.7,76.25,77.35,76.95,38410,29.62,1157,19899,51.81,09-Feb-2023
1,21STCENMGM,EQ,20.6,20.95,20.3,20.75,20.6,2749,0.57,65,2171,78.97,09-Feb-2023
2,360ONE,EQ,1841.0,1851.0,1820.1,1824.65,1838.35,21985,403.1,2928,8989,40.89,09-Feb-2023
3,3IINFOLTD,EQ,37.2,37.3,36.55,36.95,37.15,240641,88.85,2074,150225,62.43,09-Feb-2023
4,3MINDIA,EQ,23250.0,23994.95,23250.0,23528.35,23117.8,18960,4494.34,3262,13559,71.51,09-Feb-2023
5,3PLAND,EQ,18.5,19.15,18.1,19.15,18.25,33392,6.27,336,25269,75.67,09-Feb-2023
6,448GS2023,GS,97.85,97.85,97.85,97.85,97.85,5000,4.89,1,5000,100.00,09-Feb-2023
7,4THDIM,BE,30.25,30.4,30.0,30.35,29.9,253616,76.79,523,-,-,09-Feb-2023
8,574GS2026,GS,96.75,96.75,96.65,96.65,95.15,210,0.2,2,210,100.00,09-Feb-2023
9,5PAISA,EQ,305.05,306.0,294.1,295.55,302.0,11540,34.49,634,5258,45.56,09-Feb-2023
10,63MOONS,EQ,194.05,202.0,190.2,192.85,194.65,551841,1079.9,11290,105301,19.08,09-Feb-2023
11,654GS2032,GS,95.83,95.83,95.83,95.83,95.82,6000,5.75,2,6000,100.00,09-Feb-2023
12,667GS2050,GS,96.0,96.0,91.7,92.0,96.1,53770,49.55,142,46860,87.15,09-Feb-2023
13,669GS2024,GS,100.0,100.0,100.0,100.0,100.05,200,0.2,1,200,100.00,09-Feb-2023
14,676GS2061,GS,96.0,96.0,93.1,94.0,96.0,9060,8.49,9,9060,100.00,09-Feb-2023
15,679GS2027,GS,100.76,100.76,100.76,100.76,96.25,50000,50.38,2,50000,100.00,09-Feb-2023
16,68GS2060,GS,98.0,98.0,93.29,93.29,98.2,1712,1.6,7,1712,100.00,09-Feb-2023
17,699GS2051,GS,96.2,96.99,96.0,96.11,96.47,3851,3.7,8,2350,61.02,09-Feb-2023
18,710GS2029,GS,101.0,101.0,101.0,101.0,101.4,6500,6.57,2,6500,100.00,09-Feb-2023
19,716GS2050,GS,105.8,105.8,105.8,105.8,101.0,1,0.0,1,1,100.00,09-Feb-2023
20,719GS2060,GS,100.32,105.0,100.27,105.0,105.55,1316,1.32,5,1316,100.00,09-Feb-2023
21,726GS2033,GS,100.94,100.94,100.5,100.5,100.94,303,0.3,3,303,100.00,09-Feb-2023
22,732GS2024,GS,106.0,106.0,106.0,106.0,101.35,1,0.0,1,1,100.00,09-Feb-2023
23,736GS2052,GS,102.53,102.53,102.53,102.53,102.55,5000,5.13,1,5000,100.00,09-Feb-2023
24,738GS2027,GS,101.75,102.0,101.75,102.0,101.9,38307,39.05,41,38307,100.00,09-Feb-2023
25,741GS2036,GS,101.6,101.6,100.0,101.4,101.65,2275,2.3,4,2155,94.73,09-Feb-2023
26,74GS2062,GS,102.35,102.35,102.31,102.31,102.2,102,0.1,2,102,100.00,09-Feb-2023
27,754GS2036,GS,103.0,103.29,103.0,103.23,103.14,215111,221.79,99,214396,99.67,09-Feb-2023
28,768GS2023,GS,102.25,102.25,102.25,102.25,102.0,6900,7.06,2,6900,100.00,09-Feb-2023
29,828GS2032,GS,111.0,111.0,111.0,111.0,111.0,700,0.78,4,700,100.00,09-Feb-2023
30,92GS2030,GS,115.0,115.0,115.0,115.0,115.0,30,0.03,1,30,100.00,09-Feb-2023
31,A2ZINFRA,EQ,8.4,8.4,7.85,8.2,8.15,182875,14.97,401,122666,67.08,09-Feb-2023
32,AAATECH,EQ,63.9,73.05,62.0,64.15,62.75,147424,99.68,2503,30415,20.63,09-Feb-2023
33,AAKASH,EQ,6.55,6.6,6.35,6.45,6.4,190718,12.28,511,157555,82.61,09-Feb-2023
34,AAREYDRUGS,EQ,35.35,35.35,33.45,33.75,34.85,38982,13.21,634,22117,56.74,09-Feb-2023
35,AARON,EQ,180.0,180.95,175.5,178.8,180.25,6195,11.07,299,3986,64.34,09-Feb-2023
36,AARTIDRUGS,EQ,395.9,398.45,380.0,380.85,394.3,199544,767.33,10361,112615,56.44,09-Feb-2023
37,AARTIIND,EQ,550.0,556.45,538.35,540.55,547.8,985861,5362.51,26239,570496,57.87,09-Feb-2023
38,AARTIPHARM,BE,315.35,315.35,315.35,315.35,300.35,724706,2285.36,1215,-,-,09-Feb-2023
39,AARTISURF,EQ,529.25,540.05,515.0,517.6,525.35,14754,76.98,2330,5956,40.37,09-Feb-2023
40,AARTISURF,P1,122.8,122.8,122.8,122.8,122.8,5,0.01,1,5,100.00,09-Feb-2023
41,AARVEEDEN,EQ,24.8,25.4,24.2,24.4,24.75,13282,3.26,207,9840,74.09,09-Feb-2023
42,AARVI,EQ,166.85,166.85,159.0,162.25,161.9,6816,11.01,266,3952,57.98,09-Feb-2023
43,AAVAS,EQ,1990.05,2019.85,1975.05,1995.45,1990.65,49487,988.82,5544,29493,59.60,09-Feb-2023
44,ABAN,EQ,42.95,43.25,42.2,42.55,42.95,81787,34.81,1469,40058,48.98,09-Feb-2023
