SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,36.8,37.8,36.65,37.05,36.5,157743,58.47,819,85306,54.08,25-Feb-2021
21STCENMGM,EQ,11.9,11.9,11.6,11.9,11.7,2666,0.31,23,2627,98.54,25-Feb-2021
3IINFOTECH,EQ,6.1,6.3,6.0,6.15,6.3,31811335,1932.3,22374,15991141,50.27,25-Feb-2021
3MINDIA,EQ,21602.0,22500.0,21516.55,22361.05,21785.55,8776,1947.13,3820,4468,50.91,25-Feb-2021
3PLAND,EQ,9.05,9.85,9.0,9.25,9.15,17192,1.6,76,5543,32.24,25-Feb-2021
5PAISA,EQ,259.0,265.0,250.3,262.8,258.95,51068,132.8,4504,20839,40.81,25-Feb-2021
63MOONS,EQ,80.95,81.4,80.0,80.55,80.3,37982,30.68,886,28478,74.98,25-Feb-2021
716GS2050,GS,115.0,115.0,115.0,115.0,115.0,21,0.02,2,21,100.00,25-Feb-2021
772GS2055,GS,113.0,113.0,113.0,113.0,110.0,123700,139.78,1,123700,100.00,25-Feb-2021
A2ZINFRA,EQ,4.2,4.3,4.2,4.25,4.15,198587,8.43,304,171666,86.44,25-Feb-2021
AAKASH,BE,125.5,125.5,123.1,124.85,124.0,7738,9.64,128,-,-,25-Feb-2021
AARON,EQ,61.25,62.45,60.0,61.2,61.2,1824,1.11,69,1219,66.83,25-Feb-2021
AARTIDRUGS,EQ,640.0,643.35,634.55,635.55,634.25,202903,1293.27,10451,106570,52.52,25-Feb-2021
AARTIIND,EQ,1238.0,1243.0,1220.45,1235.65,1230.55,197379,2433.56,7666,96851,49.07,25-Feb-2021
AARTISURF,EQ,918.35,929.0,913.6,923.2,912.6,9188,84.78,726,6406,69.72,25-Feb-2021
AARVEEDEN,EQ,18.4,18.4,17.4,17.75,18.0,6293,1.12,94,4290,68.17,25-Feb-2021
AARVI,EQ,52.7,54.5,52.1,53.6,52.7,27047,14.55,238,22590,83.52,25-Feb-2021
AAVAS,EQ,2201.7,2290.0,2201.7,2253.7,2190.2,137948,3118.1,9851,86153,62.45,25-Feb-2021
ABAN,EQ,42.45,42.45,42.45,42.45,40.45,53423,22.68,333,53423,100.00,25-Feb-2021
ABB,EQ,1584.8,1590.8,1511.35,1537.9,1570.8,184689,2883.88,17675,49626,26.87,25-Feb-2021
ABBOTINDIA,EQ,14591.6,14688.45,14270.05,14352.55,14591.6,24900,3569.07,6505,11993,48.16,25-Feb-2021
ABCAPITAL,EQ,125.25,127.35,118.35,120.8,122.35,13709277,16871.79,66765,3544072,25.85,25-Feb-2021
ABFRL,EQ,182.3,185.0,176.35,182.35,179.25,5618914,10171.7,46749,2429973,43.25,25-Feb-2021
ABFRLPP1,E1,146.0,149.5,138.6,143.95,142.7,58704,84.1,1168,43083,73.39,25-Feb-2021
ABINFRA,SM,6.6,6.6,6.6,6.6,6.35,60000,3.96,9,60000,100.00,25-Feb-2021
ABMINTLTD,EQ,66.0,66.0,66.0,66.0,62.9,580,0.38,9,580,100.00,25-Feb-2021
ABSLBANETF,EQ,365.0,369.57,362.0,365.62,361.0,897,3.29,40,413,46.04,25-Feb-2021
ABSLFTSLRG,MF,9.77,9.77,9.77,9.77,9.77,1000,0.1,1,1000,100.00,25-Feb-2021
ABSLNN50ET,EQ,350.0,365.0,348.0,358.42,341.2,107,0.38,42,72,67.29,25-Feb-2021
ABSLRIF6RG,MF,8.13,8.16,8.13,8.14,8.13,60002,4.89,10,60002,100.00,25-Feb-2021
ACC,EQ,1742.0,1810.0,1730.1,1801.25,1730.65,1114144,19690.51,43041,321160,28.83,25-Feb-2021
ACCELYA,EQ,900.2,909.4,892.0,898.6,896.95,5012,45.08,751,2690,53.67,25-Feb-2021
ACCURACY,EQ,68.45,68.6,64.3,66.15,65.35,55497,37.04,285,34658,62.45,25-Feb-2021
ACE,EQ,155.4,157.5,155.0,155.6,154.55,150823,236.03,2510,83136,55.12,25-Feb-2021
ACRYSIL,EQ,294.8,302.05,289.5,302.05,287.7,71371,214.38,1128,52484,73.54,25-Feb-2021
ADANIENT,EQ,814.0,862.4,809.0,843.5,805.2,12118095,101427.87,149215,1189916,9.82,25-Feb-2021
ADANIGREEN,EQ,1174.6,1192.0,1117.45,1128.55,1169.35,678592,7816.66,33657,439065,64.70,25-Feb-2021
ADANIPORTS,EQ,669.4,711.35,667.15,704.3,665.2,18596690,129272.22,226639,2949431,15.86,25-Feb-2021
ADANIPOWER,EQ,55.8,57.25,55.5,56.5,55.25,9600214,5425.75,25628,3822013,39.81,25-Feb-2021
ADANITRANS,EQ,749.9,758.0,735.5,739.6,743.75,505499,3771.66,19304,228827,45.27,25-Feb-2021
ADFFOODS,EQ,842.0,869.65,842.0,853.85,848.45,35076,299.27,2837,15090,43.02,25-Feb-2021
ADHUNIKIND,EQ,21.9,21.9,21.0,21.55,21.25,18794,4.04,142,12639,67.25,25-Feb-2021
ADL,BE,27.4,28.85,26.5,28.85,27.5,9527,2.74,48,-,-,25-Feb-2021
ADORWELD,EQ,320.9,332.4,316.1,318.7,318.05,62543,203.36,1556,40501,64.76,25-Feb-2021
ADROITINFO,EQ,7.9,8.25,7.6,7.95,7.9,15841,1.27,74,13566,85.64,25-Feb-2021
ADSL,EQ,41.4,42.45,39.7,40.0,40.95,165001,66.61,1269,112708,68.31,25-Feb-2021
ADVANIHOTR,EQ,50.65,52.7,50.65,52.05,52.3,10926,5.68,185,9538,87.30,25-Feb-2021
ADVENZYMES,EQ,373.95,377.0,359.0,360.3,369.35,238524,872.5,7898,113879,47.74,25-Feb-2021
AEGISCHEM,EQ,282.1,306.25,282.1,303.75,280.95,531292,1582.14,11607,199861,37.62,25-Feb-2021
AFFLE,EQ,5390.0,5390.0,5159.45,5196.2,5257.35,90652,4747.25,15438,62313,68.74,25-Feb-2021
AGARIND,BE,157.0,157.0,150.5,153.2,155.25,6684,10.22,88,-,-,25-Feb-2021
AGCNET,EQ,1029.0,1051.0,974.05,1000.25,1011.45,19055,192.73,552,14977,78.60,25-Feb-2021
AGRITECH,EQ,35.85,35.85,33.8,35.4,34.9,7726,2.7,167,6151,79.61,25-Feb-2021
AGROPHOS,EQ,13.3,13.3,12.85,13.25,12.85,33915,4.45,193,25114,74.05,25-Feb-2021
AHLADA,EQ,74.5,76.0,74.5,75.35,74.95,8597,6.47,46,7998,93.03,25-Feb-2021
AHLEAST,EQ,168.0,168.0,156.0,158.7,157.0,7043,11.13,186,5429,77.08,25-Feb-2021
AHLUCONT,EQ,287.15,293.25,285.1,291.5,287.15,17367,50.57,676,10081,58.05,25-Feb-2021
AHLWEST,EQ,241.65,245.95,241.65,243.15,241.85,997,2.43,87,690,69.21,25-Feb-2021
AIAENG,EQ,1817.0,1835.1,1786.45,1818.75,1799.95,116972,2125.96,12007,74269,63.49,25-Feb-2021
AIRAN,EQ,18.4,18.5,17.95,18.45,18.3,19258,3.52,223,14494,75.26,25-Feb-2021
AIROLAM,SM,27.0,27.0,27.0,27.0,26.85,3000,0.81,1,3000,100.00,25-Feb-2021
AISL,SM,24.0,25.2,24.0,24.5,24.0,28800,7.09,23,9600,33.33,25-Feb-2021
AJANTPHARM,EQ,1759.45,1760.0,1734.25,1750.05,1751.85,195857,3425.78,8719,136997,69.95,25-Feb-2021
AJMERA,EQ,130.4,133.4,129.4,130.45,129.4,124269,163.4,1822,43197,34.76,25-Feb-2021
AJOONI,SM,31.1,31.1,31.1,31.1,30.15,4000,1.24,1,4000,100.00,25-Feb-2021
AKASH,EQ,238.15,238.15,231.05,235.0,232.65,2344,5.47,297,595,25.38,25-Feb-2021
AKG,EQ,94.0,94.95,86.05,88.5,90.55,2222,1.95,52,1561,70.25,25-Feb-2021
AKSHARCHEM,EQ,250.05,251.0,242.0,245.9,247.9,44247,109.57,1180,33085,74.77,25-Feb-2021
AKSHOPTFBR,EQ,6.8,7.1,6.75,6.95,6.8,369618,25.46,431,303725,82.17,25-Feb-2021
AKZOINDIA,EQ,2185.0,2190.0,2134.85,2154.65,2149.85,55636,1196.62,4395,41608,74.79,25-Feb-2021
ALANKIT,EQ,16.05,16.6,16.05,16.2,16.05,65942,10.72,283,48062,72.89,25-Feb-2021
ALBERTDAVD,EQ,406.8,406.8,396.05,401.5,399.45,17456,69.96,895,11015,63.10,25-Feb-2021
ALEMBICLTD,EQ,104.0,104.7,102.15,102.65,103.6,320357,331.08,2962,179540,56.04,25-Feb-2021
ALICON,EQ,427.55,430.9,410.45,421.55,422.5,11245,47.41,437,5132,45.64,25-Feb-2021
ALKALI,EQ,53.25,54.0,52.7,53.05,53.4,14563,7.76,230,8375,57.51,25-Feb-2021
ALKEM,EQ,2782.3,2788.5,2720.05,2733.5,2761.8,135048,3700.01,18953,77436,57.34,25-Feb-2021
ALKYLAMINE,EQ,5052.3,5142.1,5013.0,5132.05,5013.4,26266,1334.8,6107,7384,28.11,25-Feb-2021
ALLCARGO,EQ,131.5,131.8,130.5,130.9,130.85,133917,175.48,1312,85553,63.89,25-Feb-2021
ALLSEC,EQ,354.2,361.25,348.1,352.6,353.05,11273,39.91,608,5390,47.81,25-Feb-2021
ALMONDZ,EQ,28.55,28.85,27.5,28.1,28.85,11565,3.28,129,8786,75.97,25-Feb-2021
ALOKINDS,EQ,20.2,20.3,19.95,20.05,20.1,6799556,1364.86,8154,3588695,52.78,25-Feb-2021
ALPA,EQ,42.2,42.2,40.35,40.8,40.85,53088,21.75,386,30575,57.59,25-Feb-2021
ALPHAGEO,EQ,219.9,235.4,216.75,226.75,216.75,112913,258.08,3393,49177,43.55,25-Feb-2021
ALPSINDUS,BE,1.8,1.8,1.75,1.75,1.8,22326,0.4,24,-,-,25-Feb-2021
AMARAJABAT,EQ,891.9,899.65,878.85,890.35,886.25,1508314,13429.23,39046,484981,32.15,25-Feb-2021
AMBER,EQ,3215.0,3270.0,3160.0,3235.85,3171.3,108720,3496.44,11530,41254,37.95,25-Feb-2021
AMBIKCO,EQ,979.0,1014.9,956.0,986.5,949.5,35625,354.18,3589,15622,43.85,25-Feb-2021
AMBUJACEM,EQ,271.2,281.6,271.15,279.7,268.4,9436339,25946.11,66661,3650417,38.68,25-Feb-2021
AMDIND,EQ,20.4,24.05,19.1,23.9,20.05,621347,142.49,2489,262901,42.31,25-Feb-2021
AMJLAND,EQ,25.65,25.65,25.1,25.25,25.6,6579,1.66,63,5383,81.82,25-Feb-2021
AMRUTANJAN,EQ,550.05,558.4,550.05,556.05,548.85,78231,434.16,2257,65389,83.58,25-Feb-2021
ANANTRAJ,EQ,49.2,49.9,47.05,47.25,48.45,826022,399.36,3947,463721,56.14,25-Feb-2021
ANDHRACEMT,EQ,5.75,5.75,5.5,5.6,5.55,258636,14.45,836,144732,55.96,25-Feb-2021
ANDHRAPAP,EQ,238.0,241.4,231.7,237.4,237.5,30476,73.07,960,26876,88.19,25-Feb-2021
ANDHRSUGAR,EQ,306.2,308.95,305.0,307.45,304.15,38188,117.23,1653,25068,65.64,25-Feb-2021
ANGELBRKG,EQ,325.1,339.5,325.1,334.05,323.4,336577,1111.19,8005,173925,51.67,25-Feb-2021
ANIKINDS,EQ,17.15,17.8,16.8,17.05,17.25,11809,2.02,107,6765,57.29,25-Feb-2021
ANKITMETAL,EQ,1.05,1.1,1.05,1.05,1.1,72695,0.77,83,67495,92.85,25-Feb-2021
ANSALAPI,EQ,7.5,7.7,7.5,7.7,7.35,103436,7.95,285,79838,77.19,25-Feb-2021
ANSALHSG,EQ,6.0,6.2,5.9,6.1,6.0,80676,4.89,157,45846,56.83,25-Feb-2021
ANUP,EQ,658.0,663.0,630.0,650.3,648.1,49379,318.17,4354,29372,59.48,25-Feb-2021
APARINDS,EQ,462.1,473.6,460.95,470.45,462.0,92669,434.75,4540,56348,60.81,25-Feb-2021
APCL,EQ,207.9,208.8,203.15,206.35,206.1,25859,53.47,658,15422,59.64,25-Feb-2021
APCOTEXIND,EQ,180.1,181.6,177.2,177.7,179.15,72121,129.13,2733,29415,40.79,25-Feb-2021
APEX,EQ,254.75,257.0,253.85,255.05,253.55,42374,108.31,1178,20167,47.59,25-Feb-2021
APLAPOLLO,EQ,1035.5,1073.9,1030.3,1062.75,1014.5,395797,4163.89,13406,298061,75.31,25-Feb-2021
APLLTD,EQ,890.0,903.35,881.0,897.35,882.6,312518,2794.63,7914,164209,52.54,25-Feb-2021
APOLLO,EQ,113.4,113.8,112.7,112.9,112.8,79851,90.32,1550,48847,61.17,25-Feb-2021
APOLLOHOSP,EQ,3101.0,3139.95,3057.9,3091.35,3059.65,819639,25325.64,49561,215079,26.24,25-Feb-2021
APOLLOPIPE,EQ,714.0,714.0,692.6,700.5,699.85,29098,203.27,1145,18702,64.27,25-Feb-2021
APOLLOTYRE,EQ,241.8,243.75,239.5,241.35,238.9,6678690,16141.82,43553,1373317,20.56,25-Feb-2021
APOLSINHOT,EQ,571.85,571.85,533.0,559.3,547.75,312,1.71,63,178,57.05,25-Feb-2021
APTECHT,EQ,230.7,233.8,225.5,227.15,227.45,333082,764.89,12444,62591,18.79,25-Feb-2021
ARCHIDPLY,BE,37.8,38.15,35.4,36.75,36.35,23504,8.7,189,-,-,25-Feb-2021
ARCHIES,EQ,12.4,12.4,11.9,11.95,12.05,64978,7.84,355,53753,82.72,25-Feb-2021
ARENTERP,EQ,11.9,12.3,11.5,12.25,11.75,2912,0.36,59,2763,94.88,25-Feb-2021
ARIES,EQ,91.6,95.95,90.8,93.1,90.6,103141,96.39,1882,40510,39.28,25-Feb-2021
ARIHANT,EQ,22.45,23.7,22.45,23.0,22.9,2406,0.56,44,2109,87.66,25-Feb-2021
ARIHANTSUP,EQ,39.35,39.4,38.4,39.0,38.5,27762,10.8,177,12718,45.81,25-Feb-2021
ARMANFIN,EQ,660.0,668.0,630.0,637.6,657.7,24947,160.18,1675,17390,69.71,25-Feb-2021
AROGRANITE,EQ,47.4,47.45,45.0,46.3,46.5,29852,13.74,347,22465,75.25,25-Feb-2021
ARROWGREEN,BE,76.0,83.4,76.0,79.9,79.95,12087,9.67,107,-,-,25-Feb-2021
ARSHIYA,BE,31.55,32.75,30.25,32.75,31.2,93580,30.01,232,-,-,25-Feb-2021
ARSSINFRA,EQ,23.45,23.45,22.7,22.85,22.45,9669,2.23,86,7594,78.54,25-Feb-2021
ARTEMISMED,EQ,231.7,238.35,231.05,234.6,227.0,12312,28.88,202,8486,68.92,25-Feb-2021
ARVIND,EQ,73.0,77.8,73.0,76.15,72.2,4551707,3456.52,31697,1705132,37.46,25-Feb-2021
ARVINDFASN,EQ,162.0,164.75,159.25,159.65,159.9,269155,432.56,3434,156406,58.11,25-Feb-2021
ARVSMART,EQ,102.0,102.0,99.4,99.7,99.55,98049,98.55,1470,52758,53.81,25-Feb-2021
ASAHIINDIA,EQ,297.3,300.0,294.1,296.0,297.3,31029,92.57,916,18152,58.50,25-Feb-2021
ASAHISONG,EQ,281.0,291.0,278.1,287.8,276.9,83729,239.36,2330,52377,62.56,25-Feb-2021
ASAL,BE,37.8,37.9,36.75,37.45,37.5,8136,3.05,43,-,-,25-Feb-2021
ASALCBR,EQ,346.7,361.0,346.7,358.55,347.9,42539,151.36,1669,27393,64.40,25-Feb-2021
ASHAPURMIN,EQ,114.9,117.8,113.05,114.15,112.95,155229,178.78,2072,90663,58.41,25-Feb-2021
ASHIANA,EQ,116.9,117.4,114.3,115.25,115.35,163019,189.27,2452,101249,62.11,25-Feb-2021
ASHIMASYN,EQ,13.3,14.55,13.15,14.1,13.25,276228,39.5,1170,189382,68.56,25-Feb-2021
ASHOKA,EQ,115.1,115.8,111.0,113.3,114.1,894987,1019.98,7302,408613,45.66,25-Feb-2021
ASHOKLEY,EQ,128.15,131.7,127.3,131.15,126.55,24088432,31172.86,79336,6382209,26.49,25-Feb-2021
ASIANHOTNR,EQ,70.6,72.9,69.5,71.4,69.35,8555,6.11,155,6613,77.30,25-Feb-2021
ASIANPAINT,EQ,2375.0,2386.25,2336.2,2373.75,2361.35,2839515,66962.48,136562,1387723,48.87,25-Feb-2021
ASIANTILES,EQ,198.0,199.0,162.2,170.65,201.85,3187506,5512.7,43780,1370814,43.01,25-Feb-2021
ASLIND,SM,18.35,18.35,17.0,17.0,17.5,28000,4.81,2,28000,100.00,25-Feb-2021
ASPINWALL,EQ,168.7,168.7,154.1,166.0,156.55,1091,1.78,94,576,52.80,25-Feb-2021
ASTEC,EQ,1052.6,1071.0,1052.6,1067.55,1055.85,42929,457.34,2548,34364,80.05,25-Feb-2021
ASTERDM,EQ,151.0,154.0,147.5,149.35,151.05,729877,1100.0,13625,457238,62.65,25-Feb-2021
ASTRAL,EQ,2105.0,2130.0,2080.0,2116.75,2099.65,199252,4198.04,14806,92629,46.49,25-Feb-2021
ASTRAMICRO,EQ,111.4,113.75,110.6,112.35,110.5,195082,219.55,3473,122012,62.54,25-Feb-2021
ASTRAZEN,EQ,3535.85,3535.85,3500.0,3505.6,3485.95,15028,528.56,2805,5898,39.25,25-Feb-2021
ASTRON,EQ,43.0,46.2,43.0,43.85,43.2,30031,13.3,494,19666,65.49,25-Feb-2021
