SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,37.4,38.0,36.9,37.1,36.7,170576,64.02,997,96207,56.40,09-Feb-2021
21STCENMGM,EQ,11.55,11.65,11.55,11.65,11.45,1927,0.22,29,1872,97.15,09-Feb-2021
3IINFOTECH,EQ,6.8,6.85,6.55,6.55,6.8,8291854,554.44,7939,4661209,56.21,09-Feb-2021
3MINDIA,EQ,21744.0,21744.0,21100.0,21167.25,21485.05,2446,521.13,1405,1195,48.86,09-Feb-2021
3PLAND,EQ,9.55,10.1,9.0,9.15,9.55,3615,0.33,58,2725,75.38,09-Feb-2021
522GS2025,GS,100.96,100.96,100.96,100.96,97.0,500,0.5,1,500,100.00,09-Feb-2021
579GS2030,GS,100.26,100.26,100.26,100.26,95.52,40,0.04,1,40,100.00,09-Feb-2021
5PAISA,EQ,272.2,275.95,266.0,269.05,271.75,24677,66.77,1104,15953,64.65,09-Feb-2021
618GS2024,GS,109.8,109.8,109.0,109.0,104.7,901,0.99,2,901,100.00,09-Feb-2021
619GS2034,GS,98.5,100.0,98.5,100.0,98.5,400,0.4,3,400,100.00,09-Feb-2021
63MOONS,EQ,81.6,81.8,78.85,79.2,80.85,44778,35.91,950,38165,85.23,09-Feb-2021
667GS2050,GS,103.0,103.0,103.0,103.0,102.0,8,0.01,1,8,100.00,09-Feb-2021
737GS2023,GS,104.5,104.5,104.5,104.5,102.0,491,0.51,1,491,100.00,09-Feb-2021
772GS2025,GS,96.93,96.93,96.93,96.93,101.96,1,0.0,1,1,100.00,09-Feb-2021
817GS2044,GS,120.0,120.0,120.0,120.0,115.0,100,0.12,2,100,100.00,09-Feb-2021
824GS2033,GS,104.6,108.0,104.6,106.11,110.0,300,0.32,4,300,100.00,09-Feb-2021
A2ZINFRA,EQ,4.45,4.45,4.3,4.4,4.45,342546,14.92,335,232014,67.73,09-Feb-2021
AAATECH,SM,42.1,42.1,42.1,42.1,42.05,9000,3.79,3,9000,100.00,09-Feb-2021
AAKASH,BE,106.5,108.0,104.0,106.7,105.45,12453,13.2,142,-,-,09-Feb-2021
AARON,EQ,51.9,52.0,49.8,49.8,49.2,7251,3.67,93,6233,85.96,09-Feb-2021
AARTIDRUGS,EQ,675.9,684.75,669.15,671.55,673.0,208964,1412.68,8197,84999,40.68,09-Feb-2021
AARTIIND,EQ,1197.3,1245.0,1072.55,1234.65,1191.7,744345,9057.22,32829,274926,36.94,09-Feb-2021
AARTISURF,EQ,980.0,1000.0,946.0,951.5,982.6,16033,155.07,1435,10777,67.22,09-Feb-2021
AARVEEDEN,EQ,20.75,21.55,20.75,21.0,21.05,21278,4.48,175,18851,88.59,09-Feb-2021
AARVI,EQ,44.5,44.65,42.9,43.7,43.3,6417,2.81,134,3614,56.32,09-Feb-2021
AAVAS,EQ,2085.1,2323.0,2074.4,2261.1,2067.2,491994,11169.56,47937,139524,28.36,09-Feb-2021
ABAN,EQ,31.7,31.7,28.6,28.85,30.75,462519,136.52,2573,271808,58.77,09-Feb-2021
ABB,EQ,1493.7,1499.0,1439.2,1458.65,1481.95,244781,3646.61,10162,189655,77.48,09-Feb-2021
ABBOTINDIA,EQ,14600.0,14995.0,14510.0,14634.8,14500.6,38323,5662.4,11627,17306,45.16,09-Feb-2021
ABCAPITAL,EQ,92.25,92.4,88.65,89.15,91.9,2739403,2467.58,14389,1227602,44.81,09-Feb-2021
ABFRL,EQ,167.9,172.25,165.0,165.7,164.4,5028652,8455.58,45264,2479092,49.30,09-Feb-2021
ABINFRA,SM,6.9,6.9,6.9,6.9,6.65,28000,1.93,7,28000,100.00,09-Feb-2021
ABMINTLTD,EQ,37.5,37.55,34.7,37.0,35.8,2550,0.94,52,2106,82.59,09-Feb-2021
ABSLBANETF,EQ,358.0,361.84,356.88,359.27,358.69,168,0.6,16,161,95.83,09-Feb-2021
ABSLNN50ET,EQ,341.6,342.0,322.95,328.12,330.63,58,0.19,26,25,43.10,09-Feb-2021
ACC,EQ,1771.85,1779.0,1753.25,1761.65,1763.9,791259,13987.59,31932,263287,33.27,09-Feb-2021
ACCELYA,EQ,944.8,949.45,930.0,932.35,934.45,3431,32.12,696,2349,68.46,09-Feb-2021
ACCURACY,EQ,48.0,55.0,45.5,52.45,50.0,122362,65.97,982,80207,65.55,09-Feb-2021
ACE,EQ,161.45,165.0,157.35,161.3,159.25,921234,1491.65,11694,526489,57.15,09-Feb-2021
ACRYSIL,EQ,229.7,229.7,229.7,229.7,218.8,16827,38.65,77,16827,100.00,09-Feb-2021
ADANIENT,EQ,631.45,641.9,621.0,629.85,628.3,4510798,28494.1,58734,537600,11.92,09-Feb-2021
ADANIGREEN,EQ,1068.0,1116.0,1031.05,1086.05,1063.45,3536318,37674.14,45105,2275153,64.34,09-Feb-2021
ADANIPORTS,EQ,589.65,589.8,573.2,581.95,582.05,10917915,63530.78,110355,2560778,23.45,09-Feb-2021
ADANIPOWER,EQ,53.35,53.5,52.4,52.7,53.05,3897198,2059.56,14481,2351142,60.33,09-Feb-2021
ADANITRANS,EQ,570.0,583.75,561.0,567.2,571.55,705297,4049.66,21392,237326,33.65,09-Feb-2021
ADFFOODS,EQ,710.0,717.4,685.4,691.7,702.3,31536,222.55,2172,13445,42.63,09-Feb-2021
