,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,20MICRONS,EQ,67.1,68.25,66.65,67.3,67.15,34163,23.04,877,19038,55.73,28-Feb-2023
1,21STCENMGM,EQ,17.55,17.9,17.2,17.35,17.55,9612,1.69,241,8364,87.02,28-Feb-2023
2,360ONE,EQ,1789.9,1796.6,1708.0,1723.45,1779.75,68434,1204.87,7263,40012,58.47,28-Feb-2023
3,3IINFOLTD,EQ,32.9,33.35,32.0,32.05,32.7,578255,187.78,3895,346699,59.96,28-Feb-2023
4,3MINDIA,EQ,22100.0,23199.0,21970.65,22888.85,21944.5,11895,2704.71,3768,7008,58.92,28-Feb-2023
5,3PLAND,EQ,22.95,23.2,21.0,22.95,22.1,40744,9.35,167,25928,63.64,28-Feb-2023
6,4THDIM,BE,37.4,37.6,37.4,37.55,37.0,235778,88.44,957,-,-,28-Feb-2023
7,563GS2026,GS,97.0,97.0,97.0,97.0,97.25,25,0.02,1,25,100.00,28-Feb-2023
8,5PAISA,EQ,275.9,277.4,271.3,274.35,272.25,10447,28.68,574,5896,56.44,28-Feb-2023
9,619GS2034,GS,90.85,90.85,90.85,90.85,90.0,100,0.09,1,100,100.00,28-Feb-2023
10,63MOONS,EQ,204.65,205.9,196.5,204.45,197.0,594098,1191.05,14677,124774,21.00,28-Feb-2023
11,654GS2032,GS,94.0,94.0,94.0,94.0,96.0,90,0.08,1,90,100.00,28-Feb-2023
12,664GS2035,GS,99.0,99.0,99.0,99.0,94.75,1,0.0,1,1,100.00,28-Feb-2023
13,667GS2035,GS,96.15,96.15,96.15,96.15,96.15,522,0.5,3,522,100.00,28-Feb-2023
14,667GS2050,GS,94.5,96.1,94.5,96.05,94.5,1281,1.21,5,1280,99.92,28-Feb-2023
15,669GS2024,GS,99.0,99.0,98.75,98.75,100.75,1800,1.78,2,1800,100.00,28-Feb-2023
16,676GS2061,GS,94.05,95.3,94.05,95.3,95.15,500,0.47,2,500,100.00,28-Feb-2023
17,699GS2051,GS,98.0,98.0,98.0,98.0,98.99,1,0.0,1,1,100.00,28-Feb-2023
