,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
2227,SUNDARMFIN,EQ,3409.5,3415.0,3243.5,3355.25,3408.1,105986,3514.49,20697,51630,48.71,01-Dec-2023
2228,SUNDARMHLD,EQ,157.7,159.0,154.0,154.9,156.95,134556,209.91,6160,69961,51.99,01-Dec-2023
2229,SUNDRMBRAK,BE,624.3,649.0,624.3,642.7,624.3,6011,38.26,195,-,-,01-Dec-2023
2230,SUNDRMFAST,EQ,1239.4,1249.7,1227.0,1234.05,1237.0,55351,683.79,7221,34878,63.01,01-Dec-2023
2231,SUNFLAG,EQ,195.6,198.45,192.0,193.25,194.45,206927,404.51,7211,90778,43.87,01-Dec-2023
2232,SUNPHARMA,EQ,1233.05,1241.85,1225.0,1231.25,1225.85,1749751,21556.45,82398,921094,52.64,01-Dec-2023
2233,SUNREST,ST,71.0,71.0,68.7,70.0,71.0,25600,17.85,16,22400,87.50,01-Dec-2023
2234,SUNTECK,EQ,501.0,506.6,498.0,502.25,498.25,479656,2405.01,25562,282489,58.89,01-Dec-2023
2235,SUNTV,EQ,675.55,686.85,671.65,673.75,674.4,1077574,7321.72,31162,313188,29.06,01-Dec-2023
2236,SUPERHOUSE,EQ,232.0,238.8,232.0,235.9,232.65,48464,114.63,2123,24174,49.88,01-Dec-2023
2237,SUPERSPIN,BE,9.15,9.3,8.55,8.85,8.95,46557,4.17,155,-,-,01-Dec-2023
2238,SUPRAJIT,EQ,390.0,390.0,376.5,379.0,380.7,195795,749.81,9773,93135,47.57,01-Dec-2023
2239,SUPREMEENG,BE,1.05,1.05,1.05,1.05,1.1,1137274,11.94,629,-,-,01-Dec-2023
2240,SUPREMEIND,EQ,4420.2,4507.6,4325.45,4460.8,4431.15,173440,7620.66,25847,79040,45.57,01-Dec-2023
2241,SUPREMEINF,BZ,37.45,37.45,37.4,37.45,36.75,11499,4.31,20,-,-,01-Dec-2023
2242,SUPRIYA,EQ,291.4,294.35,281.1,282.35,291.3,504519,1453.31,17640,262139,51.96,01-Dec-2023
2243,SURANASOL,EQ,27.45,28.25,27.0,27.2,27.45,140209,38.84,1626,76806,54.78,01-Dec-2023
2244,SURANAT&P,EQ,11.0,11.15,10.8,10.9,10.9,126873,13.9,806,88726,69.93,01-Dec-2023
2245,SURANI,SM,304.9,304.9,304.9,304.9,298.0,800,2.44,2,800,100.00,01-Dec-2023
2246,SURYALAXMI,EQ,73.05,75.8,72.25,73.3,74.0,59173,44.18,1686,21537,36.40,01-Dec-2023
2247,SURYAROSNI,EQ,506.6,513.95,503.15,506.15,499.6,192405,977.52,9356,95538,49.65,01-Dec-2023
2248,SURYODAY,EQ,157.0,162.6,156.55,156.85,156.65,585468,930.6,12170,311525,53.21,01-Dec-2023
2249,SUTLEJTEX,EQ,65.0,69.4,63.5,67.1,63.35,4108766,2780.49,20150,1456780,35.46,01-Dec-2023
2250,SUULD,BE,6.7,6.7,6.7,6.7,6.8,94244,6.31,253,-,-,01-Dec-2023
2251,SUVEN,EQ,84.8,85.5,83.5,84.05,84.15,370377,313.86,2424,225136,60.79,01-Dec-2023
2252,SUVENPHAR,EQ,659.7,683.0,659.7,674.35,659.7,387978,2634.38,12999,107831,27.79,01-Dec-2023
2253,SUVIDHAA,EQ,5.4,5.6,5.4,5.6,5.35,350085,19.43,1441,276179,78.89,01-Dec-2023
2254,SUZLON,BE,40.0,40.4,39.0,39.4,40.75,63576805,25211.3,115345,-,-,01-Dec-2023
2255,SVLL,BE,173.0,173.0,165.0,170.0,165.0,22,0.04,5,-,-,01-Dec-2023
2256,SVPGLOB,BE,8.35,8.5,8.35,8.5,8.35,43226,3.64,60,-,-,01-Dec-2023
2257,SWANENERGY,EQ,424.8,428.8,414.0,415.25,422.9,1375468,5777.82,12913,647140,47.05,01-Dec-2023
2258,SWARAJ,SM,97.9,98.0,97.9,98.0,97.0,2000,1.96,2,2000,100.00,01-Dec-2023
2259,SWARAJENG,EQ,2211.45,2225.0,2181.4,2202.6,2200.4,9284,205.05,1946,6484,69.84,01-Dec-2023
2260,SWASTIK,SM,100.0,102.0,99.55,100.8,98.7,18000,18.18,15,15600,86.67,01-Dec-2023
2261,SWELECTES,EQ,530.0,534.45,503.2,506.95,527.0,70018,359.93,5241,48286,68.96,01-Dec-2023
2262,SWSOLAR,EQ,345.0,350.6,336.1,350.6,333.95,1693673,5854.05,11582,1180896,69.72,01-Dec-2023
2263,SYMPHONY,EQ,865.0,874.2,860.5,870.45,862.05,22467,195.04,3453,12612,56.14,01-Dec-2023
2264,SYNCOMF,EQ,11.9,12.1,11.65,11.75,11.75,3636723,428.87,6807,2536786,69.75,01-Dec-2023
2265,SYNGENE,EQ,753.55,764.0,744.35,746.7,752.2,840576,6312.92,24690,529712,63.02,01-Dec-2023
2266,SYNOPTICS,SM,124.1,125.5,123.4,124.25,123.95,15000,18.62,24,10200,68.00,01-Dec-2023
2267,SYRMA,EQ,572.95,577.85,561.25,567.65,565.6,647005,3697.29,23200,364056,56.27,01-Dec-2023
2268,SYSTANGO,SM,232.6,232.6,225.0,228.55,228.0,69200,158.2,149,52000,75.14,01-Dec-2023
2269,TAINWALCHM,EQ,135.55,136.1,132.3,133.7,133.55,9224,12.34,234,5609,60.81,01-Dec-2023
2270,TAJGVK,EQ,220.1,224.2,219.7,221.35,220.2,103768,230.16,3762,55411,53.40,01-Dec-2023
2271,TAKE,EQ,21.2,21.55,21.0,21.15,21.35,169962,36.11,969,116174,68.35,01-Dec-2023
2272,TALBROAUTO,BE,298.0,302.0,288.0,297.85,291.1,79350,234.49,1642,-,-,01-Dec-2023
2273,TANLA,EQ,920.05,927.0,914.0,914.85,916.5,227496,2086.35,11515,112169,49.31,01-Dec-2023
2274,TAPIFRUIT,SM,149.0,149.0,149.0,149.0,147.5,750,1.12,1,750,100.00,01-Dec-2023
2275,TARACHAND,SM,181.1,184.4,170.1,173.0,180.7,53000,94.58,48,46000,86.79,01-Dec-2023
2276,TARAPUR,BE,5.75,5.75,5.3,5.75,5.5,106044,6.08,188,-,-,01-Dec-2023
2277,TARC,EQ,113.4,113.4,107.75,108.65,112.25,1129079,1240.17,7270,715382,63.36,01-Dec-2023
2278,TARMAT,EQ,80.9,81.75,80.0,80.25,80.7,32457,26.23,794,18609,57.33,01-Dec-2023
2279,TARSONS,EQ,465.0,480.0,460.3,471.7,453.4,153860,725.69,11138,64106,41.67,01-Dec-2023
2280,TASTYBITE,EQ,15090.0,15295.95,14750.0,14989.05,15017.55,6862,1027.01,2239,3465,50.50,01-Dec-2023
2281,TATACAPHSG,N4,996.0,1019.5,995.05,1000.36,1019.0,608,6.09,21,377,62.01,01-Dec-2023
2282,TATACAPHSG,N6,1070.99,1073.0,1070.99,1073.0,1071.0,532,5.7,13,531,99.81,01-Dec-2023
2283,TATACAPHSG,N8,1011.0,1011.0,1011.0,1011.0,1013.16,6,0.06,1,6,100.00,01-Dec-2023
2284,TATACAPHSG,,1078.0,1078.0,1078.0,1078.0,1077.03,2,0.02,1,2,100.00,01-Dec-2023
2285,TATACAPHSG,NB,1094.94,1094.94,1094.94,1094.94,1089.0,1,0.01,1,1,100.00,01-Dec-2023
2286,TATACHEM,EQ,970.3,980.7,966.05,969.95,970.45,603363,5869.36,24628,255312,42.31,01-Dec-2023
2287,TATACOFFEE,EQ,280.95,283.8,279.15,279.8,277.9,681728,1913.09,11173,208223,30.54,01-Dec-2023
2288,TATACOMM,EQ,1733.9,1733.95,1649.05,1659.85,1705.55,1666654,28061.78,64331,923626,55.42,01-Dec-2023
2289,TATACONSUM,EQ,945.9,952.9,939.75,942.85,940.75,1129388,10673.1,42963,658711,58.32,01-Dec-2023
2290,TATAELXSI,EQ,8333.25,8440.0,8316.35,8423.25,8252.8,127176,10675.51,21997,56229,44.21,01-Dec-2023
2291,TATAINVEST,EQ,4270.0,4280.0,4120.0,4139.2,4237.45,169800,7119.89,19432,57850,34.07,01-Dec-2023
2292,TATAMETALI,EQ,989.9,1009.5,987.05,1003.95,989.9,123810,1238.04,7015,56043,45.27,01-Dec-2023
2293,TATAMOTORS,EQ,708.0,711.0,703.0,705.45,706.4,10565415,74589.12,220179,4700379,44.49,01-Dec-2023
2294,TATAMTRDVR,EQ,479.85,482.8,474.65,475.9,477.8,3570908,17065.28,66740,2128903,59.62,01-Dec-2023
2295,TATAPOWER,EQ,270.0,278.5,268.55,276.0,267.9,32159928,88603.4,192196,14201070,44.16,01-Dec-2023
2296,TATASTEEL,EQ,128.9,130.3,128.05,130.0,127.9,31192397,40364.77,172753,15261121,48.93,01-Dec-2023
2297,TATATECH,EQ,1339.3,1348.0,1211.6,1220.6,1313.0,18681419,232326.28,693074,4664065,24.97,01-Dec-2023
2298,TATVA,EQ,1520.0,1586.0,1516.05,1564.95,1507.75,65475,1024.4,5333,35250,53.84,01-Dec-2023
2299,TBZ,EQ,126.1,127.4,125.15,126.0,125.45,134628,169.81,1941,73057,54.27,01-Dec-2023
2300,TCFSL,NF,1060.0,1064.5,1060.0,1064.5,1060.0,101,1.07,3,101,100.00,01-Dec-2023
2301,TCFSL,NJ,1022.49,1022.49,1022.49,1022.49,1022.4,25,0.26,1,25,100.00,01-Dec-2023
2302,TCFSL,NL,1040.0,1040.0,1040.0,1040.0,1038.0,200,2.08,1,200,100.00,01-Dec-2023
2303,TCFSL,NN,1075.0,1075.0,1075.0,1075.0,1060.0,40,0.43,4,40,100.00,01-Dec-2023
