SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,95.1,102.0,95.1,98.25,96.05,452625,451.24,7033,227683,50.30,13-Dec-2022
21STCENMGM,EQ,22.45,22.9,22.2,22.45,22.55,5174,1.17,89,2588,50.02,13-Dec-2022
3IINFOLTD,EQ,41.6,42.25,40.6,41.0,41.1,502590,208.28,3357,317638,63.20,13-Dec-2022
3MINDIA,EQ,23388.0,23388.0,23130.05,23279.75,23326.4,824,191.51,652,315,38.23,13-Dec-2022
3PLAND,EQ,17.65,17.65,17.2,17.3,17.05,2418,0.42,57,2165,89.54,13-Dec-2022
4THDIM,BE,102.0,102.05,101.5,102.0,100.05,66373,67.72,143,-,-,13-Dec-2022
5PAISA,EQ,324.0,327.9,324.0,325.5,324.1,19619,63.95,2529,7031,35.84,13-Dec-2022
610GS2031,GS,96.35,96.35,96.35,96.35,98.7,85,0.08,1,85,100.00,13-Dec-2022
618GS2024,GS,99.08,99.08,99.08,99.08,94.37,500,0.5,1,500,100.00,13-Dec-2022
63MOONS,EQ,156.0,157.55,153.95,155.5,154.75,54414,84.7,1747,30696,56.41,13-Dec-2022
667GS2050,GS,95.99,95.99,95.01,95.01,96.55,193,0.18,5,142,73.58,13-Dec-2022
676GS2061,GS,97.28,97.3,97.28,97.3,102.37,15,0.01,2,15,100.00,13-Dec-2022
68GS2060,GS,90.57,90.57,90.57,90.57,86.26,1125,1.02,4,1125,100.00,13-Dec-2022
695GS2061,GS,97.0,97.0,96.0,96.5,97.99,1847,1.79,5,1847,100.00,13-Dec-2022
699GS2051,GS,97.4,97.4,96.5,96.5,99.29,4866,4.7,15,4866,100.00,13-Dec-2022
710GS2029,GS,101.0,105.0,101.0,102.0,101.0,512,0.52,6,507,99.02,13-Dec-2022
726GS2032,GS,102.5,102.5,101.12,102.0,103.0,162106,165.3,6,162106,100.00,13-Dec-2022
736GS2052,GS,100.0,102.5,100.0,102.0,101.96,303,0.31,5,303,100.00,13-Dec-2022
738GS2027,GS,104.7,105.5,104.7,105.37,104.7,6,0.01,5,4,66.67,13-Dec-2022
74GS2062,GS,102.0,102.0,102.0,102.0,102.25,4653,4.75,4,4455,95.74,13-Dec-2022
754GS2036,GS,102.12,102.8,102.0,102.8,102.06,40501,41.37,67,39701,98.02,13-Dec-2022
757GS2033,GS,101.45,101.45,101.45,101.45,101.31,531,0.54,2,531,100.00,13-Dec-2022
759GS2026,GS,105.13,105.13,104.0,104.0,103.95,95,0.1,2,95,100.00,13-Dec-2022
826GS2027,GS,102.92,106.94,102.92,106.94,108.27,3098,3.24,3,1700,54.87,13-Dec-2022
828GS2027,GS,103.44,103.44,103.2,103.2,98.52,3465,3.58,5,3465,100.00,13-Dec-2022
86GS2028,GS,104.0,104.0,104.0,104.0,108.96,300,0.31,1,300,100.00,13-Dec-2022
92GS2030,GS,115.0,115.0,115.0,115.0,115.0,10,0.01,2,10,100.00,13-Dec-2022
A2ZINFRA,EQ,10.9,11.15,10.7,10.95,10.75,325019,35.31,512,261146,80.35,13-Dec-2022
AAATECH,EQ,61.95,63.75,58.9,59.35,60.9,26306,15.83,651,16064,61.07,13-Dec-2022
AAKASH,EQ,7.05,7.05,6.9,7.0,7.0,345667,24.17,838,235948,68.26,13-Dec-2022
AAREYDRUGS,EQ,37.75,39.3,36.85,37.55,37.7,70720,26.93,759,27910,39.47,13-Dec-2022
AARON,EQ,174.0,177.0,170.85,175.75,173.9,5212,9.1,194,3500,67.15,13-Dec-2022
AARTIDRUGS,EQ,465.0,469.7,460.2,462.9,464.25,46593,216.18,4007,24613,52.83,13-Dec-2022
AARTIIND,EQ,661.35,663.3,652.85,654.0,656.35,434272,2850.09,23929,257998,59.41,13-Dec-2022
AARTISURF,EQ,688.25,695.0,676.6,679.85,688.25,16021,109.64,1919,9082,56.69,13-Dec-2022
AARVEEDEN,EQ,26.2,26.3,25.35,25.85,25.7,36901,9.48,498,20631,55.91,13-Dec-2022
AARVI,EQ,188.35,190.0,185.0,186.75,186.7,11451,21.43,435,6932,60.54,13-Dec-2022
AAVAS,EQ,1935.0,1935.15,1896.1,1919.0,1925.55,94332,1800.92,14330,46817,49.63,13-Dec-2022
ABAN,EQ,50.5,54.75,50.5,53.7,49.85,1377689,735.03,12772,480077,34.85,13-Dec-2022
ABB,EQ,2982.05,3015.6,2979.0,2993.15,2991.4,120072,3598.43,11134,40036,33.34,13-Dec-2022
ABBOTINDIA,EQ,20625.0,20900.0,20336.95,20838.0,20516.85,16992,3515.45,5347,4438,26.12,13-Dec-2022
ABCAPITAL,EQ,157.9,159.4,155.5,156.4,157.1,4793844,7519.01,25494,1365834,28.49,13-Dec-2022
ABCOTS,SM,50.1,52.0,50.1,52.0,49.5,56000,28.68,13,52000,92.86,13-Dec-2022
ABFRL,EQ,314.0,316.95,312.6,315.45,314.65,1303625,4099.81,16155,567701,43.55,13-Dec-2022
ABINFRA,SM,13.0,13.0,13.0,13.0,12.75,4000,0.52,1,4000,100.00,13-Dec-2022
