,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,20MICRONS,BE,124.2,127.0,122.0,124.85,124.2,60362,75.49,409,-,-,11-Sep-2023
1,21STCENMGM,EQ,19.7,19.95,19.3,19.95,19.6,13704,2.71,122,9088,66.32,11-Sep-2023
2,360ONE,EQ,529.0,555.0,524.8,549.9,520.35,1209800,6581.7,36838,648872,53.63,11-Sep-2023
3,3IINFOLTD,EQ,39.6,40.45,39.05,39.2,39.15,700312,277.41,4335,482678,68.92,11-Sep-2023
4,3MINDIA,EQ,32715.0,33249.85,32385.05,32694.25,32914.85,1664,546.88,1035,668,40.14,11-Sep-2023
5,3PLAND,EQ,23.2,23.95,22.0,23.35,22.9,26111,6.07,111,23694,90.74,11-Sep-2023
6,3RDROCK,IT,64.6,64.6,64.6,64.6,64.6,5200,3.36,1,5200,100.00,11-Sep-2023
7,563GS2026,GS,102.0,102.0,102.0,102.0,102.0,1,0.0,1,1,100.00,11-Sep-2023
8,574GS2026,GS,96.31,97.75,96.3,96.51,97.7,166,0.16,10,120,72.29,11-Sep-2023
9,5PAISA,EQ,469.65,475.0,459.7,461.6,466.15,68922,320.16,4991,38438,55.77,11-Sep-2023
10,63MOONS,EQ,322.25,329.25,318.0,318.95,320.6,72587,233.61,4428,46449,63.99,11-Sep-2023
11,654GS2032,GS,97.45,97.45,97.0,97.0,95.0,25498,24.73,2,25498,100.00,11-Sep-2023
12,667GS2035,GS,97.5,97.5,97.5,97.5,97.5,1,0.0,1,1,100.00,11-Sep-2023
13,667GS2050,GS,95.5,95.5,95.5,95.5,96.0,1,0.0,1,1,100.00,11-Sep-2023
14,669GS2024,GS,101.8,101.8,101.0,101.0,101.1,3612,3.66,8,3612,100.00,11-Sep-2023
15,676GS2061,GS,94.08,94.08,94.08,94.08,96.49,1,0.0,1,1,100.00,11-Sep-2023
16,68GS2060,GS,96.99,96.99,96.99,96.99,97.9,15,0.01,2,15,100.00,11-Sep-2023
17,699GS2051,GS,96.01,97.8,96.01,97.65,97.65,10501,10.24,27,10501,100.00,11-Sep-2023
18,706GS2028,GS,102.1,102.26,102.1,102.26,102.67,800,0.82,6,500,62.50,11-Sep-2023
19,710GS2029,GS,102.2,102.8,102.2,102.75,102.2,5607,5.73,7,5607,100.00,11-Sep-2023
20,716GS2050,GS,105.04,105.04,104.5,104.5,105.0,13,0.01,4,11,84.62,11-Sep-2023
21,717GS2030,GS,102.99,103.0,102.5,102.88,102.11,1680,1.73,7,1680,100.00,11-Sep-2023
22,718GS2033,GS,100.1,100.1,100.1,100.1,100.55,100,0.1,1,100,100.00,11-Sep-2023
23,718GS2037,GS,100.26,100.26,100.26,100.26,99.0,277000,277.72,1,277000,100.00,11-Sep-2023
24,719GS2060,GS,102.55,102.55,102.55,102.55,101.93,150,0.15,1,150,100.00,11-Sep-2023
25,725GS2063,GS,100.8,100.8,100.3,100.3,100.7,10230,10.31,7,10230,100.00,11-Sep-2023
26,726GS2032,GS,100.75,100.8,100.65,100.7,101.09,1241331,1249.68,62,1241331,100.00,11-Sep-2023
27,726GS2033,GS,101.6,101.6,100.0,100.45,101.6,10903,11.07,6,10003,91.75,11-Sep-2023
28,736GS2052,GS,102.99,102.99,102.19,102.19,103.0,111,0.11,10,111,100.00,11-Sep-2023
29,738GS2027,GS,102.39,102.4,102.18,102.19,102.39,177351,181.54,97,177351,100.00,11-Sep-2023
30,73GS2053,GS,100.81,100.81,100.8,100.81,100.8,11300,11.39,6,11300,100.00,11-Sep-2023
31,741GS2036,GS,103.75,103.75,103.3,103.3,103.6,2073,2.14,4,2073,100.00,11-Sep-2023
32,74GS2062,GS,103.0,108.0,103.0,108.0,103.8,545,0.57,10,544,99.82,11-Sep-2023
33,754GS2036,GS,104.72,104.72,104.48,104.49,104.48,311394,325.42,140,311383,100.00,11-Sep-2023
34,759GS2026,GS,102.28,102.28,102.28,102.28,102.28,200,0.2,4,200,100.00,11-Sep-2023
35,768GS2023,GS,101.93,101.93,101.93,101.93,101.93,1,0.0,1,1,100.00,11-Sep-2023
36,769GS2043,GS,104.0,105.0,104.0,105.0,103.01,14000,14.67,3,14000,100.00,11-Sep-2023
37,824GS2027,GS,110.0,110.0,110.0,110.0,110.0,4,0.0,1,4,100.00,11-Sep-2023
38,826GS2027,GS,107.0,107.0,107.0,107.0,106.9,90,0.1,2,90,100.00,11-Sep-2023
39,828GS2032,GS,103.85,111.0,103.85,111.0,105.95,2510,2.62,3,2500,99.60,11-Sep-2023
40,92GS2030,GS,111.9,116.5,111.9,116.5,111.55,8801,10.05,7,4401,50.01,11-Sep-2023
41,A2ZINFRA,BE,10.5,10.9,10.2,10.9,10.4,451966,48.47,564,-,-,11-Sep-2023
42,AAATECH,EQ,62.9,64.0,60.7,62.4,61.95,36980,22.8,714,21582,58.36,11-Sep-2023
43,AAKASH,BE,6.25,6.25,6.2,6.2,6.3,150826,9.36,421,-,-,11-Sep-2023
44,AAREYDRUGS,BE,50.05,52.45,50.05,51.9,51.15,71796,36.97,255,-,-,11-Sep-2023
45,AARON,BE,254.0,254.0,253.0,253.0,253.0,2999,7.61,173,-,-,11-Sep-2023
46,AARTECH,BE,189.0,189.5,171.8,184.5,180.85,69701,124.49,918,-,-,11-Sep-2023
47,AARTIDRUGS,EQ,621.2,624.75,608.0,611.95,619.55,307624,1885.48,12243,167790,54.54,11-Sep-2023
48,AARTIIND,EQ,520.6,521.45,515.05,516.3,517.3,980949,5082.03,20013,522000,53.21,11-Sep-2023
49,AARTIPHARM,EQ,455.0,455.95,437.1,440.95,450.2,274732,1227.23,14380,160004,58.24,11-Sep-2023
50,AARTIPP,E1,314.05,321.3,314.05,317.0,314.05,95,0.31,17,92,96.84,11-Sep-2023
51,AARTISURF,EQ,669.95,672.0,658.8,661.35,663.15,11968,79.24,1514,7256,60.63,11-Sep-2023
52,AARTISURF,P1,153.9,153.9,153.9,153.9,157.0,19,0.03,1,19,100.00,11-Sep-2023
53,AARVEEDEN,EQ,27.15,27.15,25.85,26.05,26.95,97862,26.06,498,79012,80.74,11-Sep-2023
54,AARVI,EQ,130.4,134.0,127.5,127.75,127.85,53044,69.05,1026,33279,62.74,11-Sep-2023
55,AATMAJ,SM,50.6,51.1,49.9,50.05,51.35,82000,41.22,40,64000,78.05,11-Sep-2023
56,AAVAS,EQ,1674.95,1731.0,1670.0,1718.6,1665.05,242975,4154.01,16031,124618,51.29,11-Sep-2023
57,ABAN,EQ,49.65,49.95,47.75,47.85,49.2,294090,143.22,2366,189287,64.36,11-Sep-2023
58,ABB,EQ,4484.95,4678.0,4460.05,4618.85,4458.55,684497,31672.99,58802,179968,26.29,11-Sep-2023
59,ABBOTINDIA,EQ,23050.0,23135.55,22851.1,22985.1,23002.3,8108,1859.66,3457,4191,51.69,11-Sep-2023
60,ABCAPITAL,EQ,187.95,191.5,187.0,190.5,186.9,4033933,7671.42,26937,2015511,49.96,11-Sep-2023
61,ABCOTS,SM,101.1,101.1,101.0,101.0,101.0,8000,8.08,2,8000,100.00,11-Sep-2023
62,ABFRL,EQ,230.85,234.65,230.0,233.3,229.35,5306492,12357.73,67894,2993907,56.42,11-Sep-2023
63,ABMINTLLTD,BE,37.2,37.3,37.2,37.3,37.95,413,0.15,15,-,-,11-Sep-2023
64,ABSLAMC,EQ,426.6,429.9,422.85,425.7,422.7,172048,732.94,6007,106694,62.01,11-Sep-2023
65,ABSLBANETF,EQ,46.0,46.0,45.53,45.9,45.52,41508,19.01,588,35809,86.27,11-Sep-2023
66,ABSLLIQUID,EQ,999.99,1000.01,999.99,999.99,1000.0,116,1.16,4,114,98.28,11-Sep-2023
67,ABSLNN50ET,EQ,47.95,48.0,47.4,47.96,47.4,3849,1.84,152,3147,81.76,11-Sep-2023
68,ACC,EQ,2024.25,2068.55,2012.0,2051.05,2024.25,666836,13670.6,25179,380464,57.06,11-Sep-2023
69,ACCELYA,EQ,1580.9,1584.55,1534.9,1543.3,1573.0,29530,457.67,4690,15744,53.32,11-Sep-2023
70,ACCURACY,BE,9.3,9.6,9.0,9.25,9.15,309280,29.09,920,-,-,11-Sep-2023
71,ACE,EQ,716.0,719.95,708.0,710.95,714.4,188248,1342.78,12866,112969,60.01,11-Sep-2023
72,ACEINTEG,BE,37.25,37.25,35.0,35.0,36.8,871,0.31,30,-,-,11-Sep-2023
