,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,20MICRONS,BE,142.85,147.1,136.5,147.1,140.1,266672,383.62,1273,-,-,04-Oct-2023
1,21STCENMGM,EQ,20.0,20.0,19.25,19.4,19.65,4781,0.93,53,3508,73.37,04-Oct-2023
2,360ONE,EQ,502.0,502.4,491.1,496.75,501.4,126542,628.48,11653,72263,57.11,04-Oct-2023
3,3IINFOLTD,EQ,41.8,43.2,40.8,41.15,41.9,2328453,976.39,10205,925057,39.73,04-Oct-2023
4,3MINDIA,EQ,31448.0,31537.4,30742.6,30946.45,31376.65,1864,578.26,1338,826,44.31,04-Oct-2023
5,3PLAND,EQ,27.6,27.7,26.95,27.7,25.2,73965,20.4,229,42074,56.88,04-Oct-2023
6,563GS2026,GS,99.46,102.0,99.46,102.0,102.0,24,0.02,5,24,100.00,04-Oct-2023
7,574GS2026,GS,98.0,98.0,98.0,98.0,98.0,132,0.13,5,132,100.00,04-Oct-2023
8,585GS2030,GS,92.01,92.11,92.01,92.11,91.75,630,0.58,3,330,52.38,04-Oct-2023
9,5PAISA,EQ,424.0,425.0,406.35,412.55,424.85,83391,345.8,7581,46004,55.17,04-Oct-2023
10,610GS2031,GS,94.75,94.75,94.75,94.75,93.5,300000,284.25,2,300000,100.00,04-Oct-2023
11,619GS2034,GS,89.61,89.62,89.61,89.62,88.69,12,0.01,2,6,50.00,04-Oct-2023
12,63MOONS,EQ,273.0,277.95,265.95,266.9,275.5,85364,231.11,2656,48913,57.30,04-Oct-2023
13,654GS2032,GS,99.42,99.42,95.61,96.0,97.0,103107,99.27,15,103100,99.99,04-Oct-2023
14,667GS2035,GS,102.35,102.35,97.5,97.5,99.86,2,0.0,2,1,50.00,04-Oct-2023
15,667GS2050,GS,95.0,95.0,95.0,95.0,94.8,1475,1.4,8,1475,100.00,04-Oct-2023
16,669GS2024,GS,102.0,102.0,101.1,102.0,101.69,124,0.13,8,100,80.65,04-Oct-2023
17,676GS2061,GS,96.05,96.05,92.2,92.2,97.0,6,0.01,3,6,100.00,04-Oct-2023
18,689GS2025,GS,101.95,101.95,100.5,101.95,98.97,353,0.36,10,351,99.43,04-Oct-2023
19,68GS2060,GS,96.75,96.75,95.34,96.75,95.34,775,0.74,10,771,99.48,04-Oct-2023
20,695GS2061,GS,99.99,99.99,99.75,99.75,98.0,22,0.02,3,21,95.45,04-Oct-2023
21,699GS2051,GS,99.99,99.99,98.1,98.1,98.07,9,0.01,4,8,88.89,04-Oct-2023
22,706GS2028,GS,103.5,103.5,103.4,103.49,102.95,925,0.96,4,925,100.00,04-Oct-2023
23,706GS2046,GS,98.64,98.64,98.64,98.64,95.57,4990,4.92,1,4990,100.00,04-Oct-2023
24,710GS2029,GS,103.06,103.06,103.06,103.06,103.06,1000,1.03,2,1000,100.00,04-Oct-2023
25,716GS2050,GS,100.53,105.0,100.53,105.0,105.82,6,0.01,2,6,100.00,04-Oct-2023
26,717GS2030,GS,103.1,103.21,103.1,103.2,103.1,4927,5.08,21,4927,100.00,04-Oct-2023
27,718GS2033,GS,101.49,101.49,101.49,101.49,101.49,100,0.1,1,100,100.00,04-Oct-2023
28,718GS2037,GS,100.51,100.51,100.51,100.51,100.5,100,0.1,1,100,100.00,04-Oct-2023
29,725GS2063,GS,101.5,101.5,101.4,101.4,101.5,300,0.3,3,300,100.00,04-Oct-2023
30,726GS2032,GS,101.8,101.8,100.5,100.72,101.01,66214,66.72,44,64934,98.07,04-Oct-2023
31,726GS2033,GS,101.5,101.5,101.5,101.5,101.6,15300,15.53,5,15300,100.00,04-Oct-2023
32,732GS2024,GS,101.0,101.0,100.04,100.04,100.01,794,0.8,2,397,50.00,04-Oct-2023
33,736GS2052,GS,101.25,101.25,100.02,100.59,100.65,51004,51.31,48,50504,99.02,04-Oct-2023
34,738GS2027,GS,102.6,102.62,102.5,102.59,102.64,78851,80.87,57,78851,100.00,04-Oct-2023
35,73GS2053,GS,101.5,101.86,101.25,101.86,101.39,12855,13.03,12,12855,100.00,04-Oct-2023
36,741GS2036,GS,103.0,103.25,103.0,103.1,103.0,14884,15.35,17,14884,100.00,04-Oct-2023
37,74GS2035,GS,99.5,100.0,98.02,98.78,99.5,210,0.21,4,130,61.90,04-Oct-2023
38,74GS2062,GS,109.16,109.16,109.16,109.16,106.5,10,0.01,1,10,100.00,04-Oct-2023
39,754GS2036,GS,105.1,105.1,104.85,104.89,105.18,442183,464.08,239,441983,99.95,04-Oct-2023
40,795GS2032,GS,110.0,110.0,110.0,110.0,109.5,1,0.0,1,1,100.00,04-Oct-2023
