SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,97.0,97.75,93.15,94.5,95.95,90129,86.25,2478,48897,54.25,14-Oct-2022
21STCENMGM,EQ,22.85,23.75,22.85,23.3,23.3,5631,1.3,78,3110,55.23,14-Oct-2022
3IINFOLTD,EQ,43.35,43.6,42.0,42.35,42.6,312096,133.63,3272,171141,54.84,14-Oct-2022
3MINDIA,EQ,23501.05,23628.45,22825.75,23003.45,23384.1,1856,432.29,1180,683,36.80,14-Oct-2022
3PLAND,EQ,19.0,19.1,18.65,18.85,18.95,3870,0.73,84,2778,71.78,14-Oct-2022
3RDROCK,IT,64.6,64.6,64.6,64.6,64.6,5200,3.36,1,5200,100.00,14-Oct-2022
456GS2023,GS,98.5,98.5,98.5,98.5,98.5,100,0.1,1,100,100.00,14-Oct-2022
4THDIM,EQ,83.85,83.85,83.85,83.85,79.9,322,0.27,3,322,100.00,14-Oct-2022
563GS2026,GS,95.47,95.47,95.47,95.47,96.0,14255,13.61,1,14255,100.00,14-Oct-2022
579GS2030,GS,89.36,89.36,89.36,89.36,85.11,500,0.45,3,500,100.00,14-Oct-2022
5PAISA,EQ,362.85,371.95,339.6,342.65,353.65,72857,257.1,3312,38248,52.50,14-Oct-2022
63MOONS,EQ,170.25,177.9,168.4,170.3,168.55,28077,48.38,1365,15867,56.51,14-Oct-2022
654GS2032,GS,99.2,99.2,99.2,99.2,99.2,1,0.0,1,1,100.00,14-Oct-2022
667GS2050,GS,93.0,93.69,92.89,93.05,95.99,4110,3.83,11,4110,100.00,14-Oct-2022
699GS2051,GS,96.99,96.99,96.05,96.68,96.0,2011,1.94,7,1192,59.27,14-Oct-2022
710GS2029,GS,100.0,100.5,100.0,100.0,100.0,600,0.6,3,600,100.00,14-Oct-2022
726GS2032,GS,100.0,101.0,100.0,100.2,100.1,4542,4.55,9,4541,99.98,14-Oct-2022
738GS2027,GS,102.66,104.5,102.6,104.5,102.66,46700,48.09,22,44700,95.72,14-Oct-2022
754GS2036,GS,104.0,104.0,103.4,103.52,103.73,23539,24.41,26,18718,79.52,14-Oct-2022
795GS2032,GS,106.4,106.6,106.4,106.6,106.0,2,0.0,2,0,0.00,14-Oct-2022
82GS2025,GS,103.4,103.6,103.4,103.6,103.6,2,0.0,2,0,0.00,14-Oct-2022
A2ZINFRA,EQ,10.9,11.15,10.6,10.7,10.85,358220,38.95,431,279072,77.91,14-Oct-2022
AAKASH,EQ,14.5,14.5,13.2,13.4,14.15,273575,37.44,861,188550,68.92,14-Oct-2022
AAREYDRUGS,EQ,41.25,41.25,39.35,39.6,40.0,50834,20.4,863,27214,53.54,14-Oct-2022
AARON,BE,160.5,165.0,153.6,158.7,160.5,4928,7.97,200,-,-,14-Oct-2022
AARTIDRUGS,EQ,460.95,468.45,458.6,460.45,454.35,106864,494.29,4941,29712,27.80,14-Oct-2022
AARTIIND,EQ,787.0,792.0,778.8,780.5,781.85,604976,4751.12,15458,268879,44.44,14-Oct-2022
AARTISURF,EQ,799.0,800.05,775.0,778.7,784.4,2204,17.34,372,1320,59.89,14-Oct-2022
AARVEEDEN,EQ,26.7,26.7,25.2,25.4,25.4,5812,1.48,66,1855,31.92,14-Oct-2022
AARVI,EQ,171.95,175.5,156.65,158.6,168.1,99251,167.16,2365,48697,49.06,14-Oct-2022
