SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,41.8,42.0,40.2,41.65,40.75,600137,249.38,2754,336262,56.03,08-Jan-2021
21STCENMGM,EQ,10.8,10.8,10.5,10.75,10.6,5991,0.64,57,4913,82.01,08-Jan-2021
3IINFOTECH,EQ,8.5,8.5,8.5,8.5,8.1,1852252,157.44,826,1429817,77.19,08-Jan-2021
3MINDIA,EQ,21553.0,21898.95,21331.0,21735.4,21626.0,15435,3328.55,4911,12447,80.64,08-Jan-2021
3PLAND,EQ,11.0,11.35,10.6,10.95,11.0,8982,0.99,85,7819,87.05,08-Jan-2021
5PAISA,EQ,310.35,335.75,295.0,315.1,312.0,31421,99.0,1198,16964,53.99,08-Jan-2021
618GS2024,GS,105.0,105.0,105.0,105.0,103.72,1,0.0,1,1,100.00,08-Jan-2021
63MOONS,BE,81.0,82.5,79.75,80.85,80.85,61488,50.04,481,-,-,08-Jan-2021
772GS2055,GS,116.0,116.0,116.0,116.0,116.0,2055,2.38,2,2055,100.00,08-Jan-2021
83GS2042,GS,114.98,114.98,114.98,114.98,109.51,10,0.01,1,10,100.00,08-Jan-2021
8KMILES,BE,78.5,81.85,78.5,81.25,79.45,55781,44.79,477,-,-,08-Jan-2021
A2ZINFRA,EQ,5.25,5.4,4.95,5.05,5.25,1121333,58.05,1107,871783,77.75,08-Jan-2021
AAATECH,SM,43.1,43.1,43.1,43.1,42.45,3000,1.29,1,3000,100.00,08-Jan-2021
AAKASH,EQ,78.45,78.75,77.5,78.55,78.3,26572,20.82,379,7944,29.90,08-Jan-2021
AARON,EQ,53.4,54.1,52.2,54.0,53.4,5568,3.0,59,3837,68.91,08-Jan-2021
AARTIDRUGS,EQ,731.0,749.0,728.0,736.05,727.75,824889,6100.18,33152,222023,26.92,08-Jan-2021
AARTIIND,EQ,1282.0,1301.85,1270.5,1280.4,1279.8,326480,4184.62,10830,211674,64.84,08-Jan-2021
AARTISURF,EQ,1011.5,1029.8,1005.0,1008.4,1010.85,13379,135.96,1131,8730,65.25,08-Jan-2021
AARVEEDEN,BE,18.35,18.6,17.3,18.0,17.95,32393,5.82,105,-,-,08-Jan-2021
AARVI,EQ,47.85,48.5,46.65,46.75,46.65,20493,9.82,186,15021,73.30,08-Jan-2021
AAVAS,EQ,1896.0,1948.0,1896.0,1933.1,1891.3,148479,2856.28,13911,108076,72.79,08-Jan-2021
ABAN,BE,31.15,31.2,30.2,30.55,30.95,73013,22.44,498,-,-,08-Jan-2021
ABB,EQ,1307.55,1330.0,1300.0,1315.0,1302.65,285838,3753.85,5544,236995,82.91,08-Jan-2021
ABBOTINDIA,EQ,15549.9,15699.95,15445.05,15496.05,15435.95,13199,2046.01,4374,8525,64.59,08-Jan-2021
ABCAPITAL,EQ,93.7,94.2,91.55,92.4,92.9,4179333,3885.95,23201,1650340,39.49,08-Jan-2021
ABFRL,EQ,168.6,170.55,165.5,166.45,168.35,1879933,3171.32,14663,614618,32.69,08-Jan-2021
ABINFRA,SM,6.75,6.75,6.75,6.75,6.45,4000,0.27,1,4000,100.00,08-Jan-2021
ABMINTLTD,BE,25.5,25.5,24.25,24.9,24.85,649,0.16,19,-,-,08-Jan-2021
ABSLBANETF,EQ,328.85,339.3,308.6,320.52,319.28,1084,3.49,26,1009,93.08,08-Jan-2021
ABSLNN50ET,EQ,320.0,339.98,320.0,339.84,335.74,133,0.44,26,120,90.23,08-Jan-2021
ABSLRIF6RG,MF,7.53,7.62,7.53,7.62,7.53,505,0.04,2,505,100.00,08-Jan-2021
ACC,EQ,1720.0,1769.55,1713.05,1761.25,1704.35,2133816,37288.68,64866,906875,42.50,08-Jan-2021
ACCELYA,EQ,955.7,970.0,955.7,967.1,958.6,5085,49.12,532,3643,71.64,08-Jan-2021
ACCURACY,EQ,37.95,39.25,37.0,39.25,37.4,158438,59.51,140,151771,95.79,08-Jan-2021
ACE,EQ,144.9,146.35,140.8,141.95,143.75,267965,382.34,3217,146362,54.62,08-Jan-2021
ADANIENT,EQ,523.0,526.6,514.1,518.0,518.1,3702267,19244.89,38483,639016,17.26,08-Jan-2021
ADANIGAS,EQ,371.45,374.5,367.0,369.35,368.2,1133002,4216.42,15793,774372,68.35,08-Jan-2021
ADANIGREEN,EQ,1071.0,1076.0,1009.95,1014.9,1063.1,1646213,16827.59,48326,931642,56.59,08-Jan-2021
ADANIPORTS,EQ,520.0,527.35,514.5,517.0,513.85,7272250,37898.49,105599,1519864,20.90,08-Jan-2021
ADANIPOWER,EQ,51.5,53.55,51.2,53.45,51.0,18350326,9744.1,34622,8664871,47.22,08-Jan-2021
ADANITRANS,EQ,456.7,460.0,452.5,454.75,454.65,354700,1614.57,9688,165487,46.66,08-Jan-2021
ADFFOODS,EQ,634.95,646.8,618.2,632.0,632.85,51750,328.44,2689,26343,50.90,08-Jan-2021
ADHUNIKIND,BE,25.5,25.8,24.6,25.5,25.5,27016,6.82,139,-,-,08-Jan-2021
ADL,BE,33.35,33.75,32.5,33.0,33.35,8044,2.62,52,-,-,08-Jan-2021
ADORWELD,EQ,301.2,317.5,300.4,310.55,300.35,123321,382.65,6031,60121,48.75,08-Jan-2021
ADROITINFO,BE,11.0,11.55,10.45,11.5,11.0,31638,3.55,72,-,-,08-Jan-2021
ADSL,EQ,43.8,44.45,41.5,43.55,42.65,304542,133.1,2072,212211,69.68,08-Jan-2021
ADVANIHOTR,BE,51.7,51.7,50.2,51.35,50.35,7192,3.66,63,-,-,08-Jan-2021
ADVENZYMES,EQ,331.95,334.5,325.55,328.1,329.05,137967,455.62,4483,70099,50.81,08-Jan-2021
AEGISCHEM,EQ,259.9,261.9,253.25,256.75,257.95,600620,1543.49,13104,445728,74.21,08-Jan-2021
AFFLE,EQ,3967.05,4010.05,3935.95,3965.5,3946.3,33515,1331.97,8065,18645,55.63,08-Jan-2021
AGARIND,EQ,104.65,115.45,103.0,110.95,102.85,87806,96.98,1774,47635,54.25,08-Jan-2021
AGCNET,BE,762.0,769.9,730.2,750.15,750.15,1282,9.59,109,-,-,08-Jan-2021
AGRITECH,BE,39.7,40.3,38.65,38.95,39.7,4454,1.76,82,-,-,08-Jan-2021
AGROPHOS,EQ,15.85,16.2,15.6,15.7,15.8,92132,14.64,434,62759,68.12,08-Jan-2021
