,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,20MICRONS,EQ,78.6,82.6,77.5,80.5,78.15,204004,164.39,3608,70548,34.58,31-Jan-2023
1,21STCENMGM,EQ,20.8,21.15,20.35,21.0,20.75,13205,2.74,121,1502,11.37,31-Jan-2023
2,360ONE,EQ,1842.0,1857.75,1800.0,1827.1,1844.9,66694,1219.15,17980,33685,50.51,31-Jan-2023
3,3IINFOLTD,EQ,37.1,38.2,36.7,37.95,36.9,357724,133.93,2696,197562,55.23,31-Jan-2023
4,3MINDIA,EQ,22645.2,23685.85,22400.0,23329.05,22778.2,5519,1273.39,2913,3297,59.74,31-Jan-2023
5,3PLAND,EQ,23.0,23.75,22.4,22.4,23.55,58281,13.21,388,35775,61.38,31-Jan-2023
6,4THDIM,BE,27.5,27.9,27.5,27.75,27.45,552290,153.66,738,-,-,31-Jan-2023
7,574GS2026,GS,95.15,95.15,95.15,95.15,96.37,100,0.1,1,100,100.00,31-Jan-2023
8,5PAISA,EQ,300.0,302.0,294.05,297.65,295.65,15355,45.68,638,8889,57.89,31-Jan-2023
9,610GS2031,GS,93.5,93.5,93.0,93.0,93.0,110,0.1,2,110,100.00,31-Jan-2023
10,63MOONS,EQ,161.65,167.85,158.0,164.7,160.7,204784,335.75,3292,146770,71.67,31-Jan-2023
11,654GS2032,GS,94.0,94.0,94.0,94.0,95.7,699,0.66,2,699,100.00,31-Jan-2023
12,667GS2050,GS,94.1,95.5,94.1,95.5,94.1,2242,2.11,4,2242,100.00,31-Jan-2023
13,669GS2024,GS,100.2,100.2,100.2,100.2,100.09,2081,2.09,6,2081,100.00,31-Jan-2023
14,676GS2061,GS,96.5,96.5,96.5,96.5,95.0,170,0.16,1,170,100.00,31-Jan-2023
15,699GS2051,GS,97.0,97.0,97.0,97.0,97.0,403,0.39,5,403,100.00,31-Jan-2023
16,710GS2029,GS,101.0,101.5,100.63,101.28,101.0,7200,7.29,12,7110,98.75,31-Jan-2023
17,716GS2050,GS,101.0,101.0,101.0,101.0,101.0,40,0.04,1,40,100.00,31-Jan-2023
18,726GS2032,GS,102.95,102.95,102.9,102.9,102.99,24,0.02,2,12,50.00,31-Jan-2023
19,736GS2052,GS,102.4,102.5,102.0,102.0,102.4,754,0.77,5,754,100.00,31-Jan-2023
20,738GS2027,GS,101.8,102.39,101.8,102.1,101.84,102762,104.92,65,101762,99.03,31-Jan-2023
21,741GS2036,GS,101.25,101.25,101.15,101.15,101.04,24109,24.4,7,24109,100.00,31-Jan-2023
22,74GS2062,GS,101.0,102.1,101.0,102.0,102.4,4400,4.46,5,4400,100.00,31-Jan-2023
23,754GS2036,GS,103.25,103.25,102.82,102.86,102.82,278422,286.58,186,277222,99.57,31-Jan-2023
24,824GS2027,GS,108.0,108.25,107.9,107.95,108.0,15091,16.3,18,13391,88.74,31-Jan-2023
25,828GS2032,GS,111.0,111.0,111.0,111.0,111.0,926,1.03,2,926,100.00,31-Jan-2023
26,832GS2032,GS,112.15,112.15,106.56,106.56,112.15,307,0.34,3,307,100.00,31-Jan-2023
27,883GS2041,GS,116.5,116.5,116.5,116.5,116.5,10000,11.65,2,10000,100.00,31-Jan-2023
28,A2ZINFRA,EQ,8.8,9.15,8.75,8.85,8.8,291096,25.77,622,162260,55.74,31-Jan-2023
29,AAATECH,EQ,65.25,65.25,61.1,62.3,63.1,22109,13.92,878,8349,37.76,31-Jan-2023
30,AAKASH,EQ,6.7,6.7,6.5,6.55,6.55,127917,8.4,466,97904,76.54,31-Jan-2023
31,AAREYDRUGS,EQ,33.55,34.7,33.55,34.4,33.9,10991,3.76,190,7139,64.95,31-Jan-2023
32,AARON,EQ,187.0,188.9,178.0,180.9,183.5,5826,10.76,481,2598,44.59,31-Jan-2023
33,AARTIDRUGS,EQ,405.6,408.0,398.3,401.0,403.5,63221,255.02,6290,30215,47.79,31-Jan-2023
34,AARTIIND,EQ,532.8,541.4,527.0,538.0,531.5,522044,2793.01,30945,274001,52.49,31-Jan-2023
35,AARTIPHARM,BE,289.0,289.0,273.85,273.85,288.25,150034,411.82,3338,-,-,31-Jan-2023
36,AARTISURF,EQ,555.0,555.0,532.05,541.7,549.95,20207,109.01,2843,12056,59.66,31-Jan-2023
37,AARVEEDEN,EQ,25.3,25.4,24.55,24.75,24.8,8616,2.15,121,2320,26.93,31-Jan-2023
38,AARVI,EQ,163.1,167.0,161.6,162.85,164.15,10194,16.62,407,4842,47.50,31-Jan-2023
39,AAVAS,EQ,1855.9,1855.9,1804.0,1809.25,1860.15,214587,3885.38,22581,170831,79.61,31-Jan-2023
40,ABAN,EQ,45.95,46.8,45.3,46.35,45.65,85235,39.22,1855,39648,46.52,31-Jan-2023
41,ABB,EQ,2815.0,2865.0,2802.5,2839.5,2814.85,236077,6702.42,22182,147301,62.40,31-Jan-2023
42,ABBOTINDIA,EQ,20985.75,21223.4,20754.55,20817.05,20985.7,9022,1890.49,3528,3409,37.79,31-Jan-2023
