SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,107.75,110.3,105.5,106.85,107.25,204708,221.19,4500,75231,36.75,19-Sep-2022
21STCENMGM,EQ,25.6,25.6,24.6,24.6,25.1,2521,0.62,54,2451,97.22,19-Sep-2022
3IINFOLTD,EQ,49.65,50.4,48.0,48.15,49.7,505119,248.0,4296,318102,62.98,19-Sep-2022
3MINDIA,EQ,24200.0,24200.0,22940.0,23441.9,23938.1,7648,1783.93,4145,2912,38.08,19-Sep-2022
3PLAND,EQ,18.3,18.95,17.9,18.0,18.15,3414,0.62,86,3290,96.37,19-Sep-2022
4THDIM,BE,30.55,30.55,30.55,30.55,29.1,115,0.04,2,-,-,19-Sep-2022
563GS2026,GS,96.6,96.6,96.6,96.6,97.45,100,0.1,1,100,100.00,19-Sep-2022
574GS2026,GS,94.0,94.0,94.0,94.0,97.0,400,0.38,2,400,100.00,19-Sep-2022
5PAISA,EQ,365.0,374.4,356.0,359.45,364.2,63509,230.92,5651,16801,26.45,19-Sep-2022
63MOONS,EQ,177.65,182.7,176.0,176.85,179.25,68802,122.81,2576,34440,50.06,19-Sep-2022
667GS2050,GS,93.3,94.48,93.29,94.48,92.01,246,0.23,6,246,100.00,19-Sep-2022
669GS2024,GS,101.75,101.75,101.5,101.5,101.5,2515,2.56,12,2515,100.00,19-Sep-2022
695GS2061,GS,95.0,97.0,95.0,97.0,96.5,1960,1.88,5,1860,94.90,19-Sep-2022
699GS2051,GS,96.79,97.49,96.79,97.49,96.99,601,0.58,3,601,100.00,19-Sep-2022
732GS2024,GS,103.5,103.5,103.5,103.5,99.3,10,0.01,1,10,100.00,19-Sep-2022
754GS2036,GS,103.5,103.5,103.5,103.5,103.0,1,0.0,1,1,100.00,19-Sep-2022
768GS2023,GS,103.6,103.6,103.4,103.4,103.3,1010,1.04,2,1010,100.00,19-Sep-2022
A2ZINFRA,EQ,11.75,12.0,11.55,11.75,11.65,253204,29.87,669,196314,77.53,19-Sep-2022
AAATECH,SM,92.0,92.0,84.5,89.45,93.0,31500,28.0,7,27000,85.71,19-Sep-2022
AAKASH,EQ,13.8,15.2,13.8,15.15,14.5,1689479,247.87,1940,686459,40.63,19-Sep-2022
AAREYDRUGS,EQ,42.75,43.65,41.35,41.7,42.15,135399,57.56,1363,85921,63.46,19-Sep-2022
AARON,BE,171.9,176.9,165.0,168.05,170.0,7192,12.19,349,-,-,19-Sep-2022
AARTIDRUGS,EQ,447.6,458.4,442.7,453.2,450.9,117143,530.3,9387,44913,38.34,19-Sep-2022
AARTIIND,EQ,884.0,885.8,863.5,865.95,884.8,586788,5109.55,25955,170697,29.09,19-Sep-2022
AARTISURF,EQ,835.45,841.4,810.0,813.8,829.4,9163,75.39,1190,4916,53.65,19-Sep-2022
AARVEEDEN,EQ,26.2,26.2,25.15,25.4,25.85,18915,4.81,250,12635,66.80,19-Sep-2022
AARVI,EQ,165.95,167.7,148.8,149.5,165.3,192538,296.5,3870,75062,38.99,19-Sep-2022
AAVAS,EQ,2164.4,2255.45,2127.7,2235.1,2164.4,87936,1924.23,8447,62461,71.03,19-Sep-2022
ABAN,EQ,56.0,57.0,55.3,55.55,56.25,192390,108.09,2579,101034,52.52,19-Sep-2022
ABB,EQ,3188.0,3223.3,3106.05,3157.8,3180.15,342412,10803.19,36340,151265,44.18,19-Sep-2022
ABBOTINDIA,EQ,17550.0,17555.05,17325.0,17378.45,17547.95,8410,1464.5,3097,3258,38.74,19-Sep-2022
ABCAPITAL,EQ,116.1,116.7,114.2,114.9,115.65,2691125,3099.67,15913,981767,36.48,19-Sep-2022
