SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,58.6,61.8,58.55,61.15,58.55,67303,40.61,1205,37686,55.99,12-Aug-2021
21STCENMGM,EQ,26.75,26.75,26.75,26.75,26.25,2176,0.58,10,2176,100.00,12-Aug-2021
3IINFOTECH,BE,8.7,8.7,8.15,8.35,8.55,5550909,462.47,7495,-,-,12-Aug-2021
3MINDIA,EQ,23810.0,24966.15,23704.85,24596.85,23692.6,11674,2850.84,4573,2805,24.03,12-Aug-2021
3PLAND,BE,14.75,14.95,14.0,14.4,14.4,4654,0.67,43,-,-,12-Aug-2021
5PAISA,EQ,485.0,497.0,480.05,490.65,478.4,31793,154.8,1211,14364,45.18,12-Aug-2021
618GS2024,GS,95.05,95.05,95.05,95.05,100.0,2,0.0,1,2,100.00,12-Aug-2021
63MOONS,EQ,98.9,100.9,97.05,99.3,96.45,58727,58.31,1326,29855,50.84,12-Aug-2021
667GS2050,GS,97.0,97.0,97.0,97.0,97.01,300,0.29,2,300,100.00,12-Aug-2021
676GS2061,GS,98.15,98.15,98.15,98.15,98.15,200,0.2,5,200,100.00,12-Aug-2021
732GS2024,GS,96.0,96.0,96.0,96.0,96.5,199,0.19,2,199,100.00,12-Aug-2021
A2ZINFRA,EQ,4.45,4.6,4.35,4.6,4.4,372363,16.79,444,244552,65.68,12-Aug-2021
AAATECH,SM,44.05,45.0,44.0,45.0,44.1,12000,5.34,4,6000,50.00,12-Aug-2021
AAKASH,EQ,276.0,276.0,262.0,268.75,266.1,75399,202.46,1355,33416,44.32,12-Aug-2021
AAREYDRUGS,EQ,40.4,42.0,39.45,40.95,39.55,61802,25.13,905,40226,65.09,12-Aug-2021
AARON,EQ,113.0,113.0,105.3,109.45,109.95,8238,9.01,258,6345,77.02,12-Aug-2021
