SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,64.2,66.6,64.0,66.25,63.75,102939,67.57,1528,69821,67.83,06-Aug-2021
21STCENMGM,EQ,24.8,24.8,24.8,24.8,24.35,564,0.14,9,564,100.00,06-Aug-2021
3IINFOTECH,BE,9.0,9.15,8.75,8.95,9.0,3075249,276.16,4982,-,-,06-Aug-2021
3MINDIA,EQ,24455.0,24620.0,24354.1,24446.8,24416.65,926,226.75,550,499,53.89,06-Aug-2021
3PLAND,BE,15.25,15.5,14.7,15.35,15.25,3584,0.54,42,-,-,06-Aug-2021
5PAISA,EQ,498.6,518.05,496.05,512.95,496.15,45962,235.03,2123,15251,33.18,06-Aug-2021
63MOONS,EQ,107.65,107.65,103.2,103.95,107.1,111748,117.58,1367,68833,61.60,06-Aug-2021
667GS2050,GS,95.99,96.7,95.99,96.7,95.99,3846,3.7,8,3846,100.00,06-Aug-2021
676GS2061,GS,98.5,100.0,98.5,99.99,100.0,5299,5.27,12,4799,90.56,06-Aug-2021
719GS2060,GS,107.4,114.0,107.4,114.0,113.0,2,0.0,2,2,100.00,06-Aug-2021
772GS2055,GS,114.0,114.0,114.0,114.0,115.5,200,0.23,2,200,100.00,06-Aug-2021
A2ZINFRA,EQ,4.75,4.9,4.65,4.8,4.7,394886,18.94,614,242078,61.30,06-Aug-2021
AAATECH,SM,48.0,48.0,47.05,47.05,48.55,6000,2.85,2,3000,50.00,06-Aug-2021
AAKASH,EQ,255.9,277.1,248.8,274.8,251.95,181200,485.52,1649,74769,41.26,06-Aug-2021
AAREYDRUGS,EQ,43.75,44.6,42.75,43.35,42.7,239282,104.44,3736,132116,55.21,06-Aug-2021
AARON,EQ,115.0,117.45,112.4,115.7,111.9,11738,13.56,559,9069,77.26,06-Aug-2021
AARTIDRUGS,EQ,663.8,668.9,660.65,665.0,661.1,125452,833.41,9032,47960,38.23,06-Aug-2021
AARTIIND,EQ,927.0,963.5,926.1,956.25,921.85,2356798,22451.17,57696,662150,28.10,06-Aug-2021
AARTISURF,EQ,1799.0,1887.0,1740.0,1785.65,1773.15,161246,2931.61,14914,59569,36.94,06-Aug-2021
AARVEEDEN,EQ,24.75,26.85,24.75,25.0,26.05,65312,16.34,362,47935,73.39,06-Aug-2021
AARVI,EQ,67.4,68.95,67.4,68.5,67.7,13996,9.59,183,9293,66.40,06-Aug-2021
AAVAS,EQ,2569.0,2603.95,2515.0,2592.35,2557.05,91606,2342.11,13708,41401,45.19,06-Aug-2021
ABAN,EQ,44.5,48.0,43.5,45.3,44.3,176595,81.26,2165,85890,48.64,06-Aug-2021
ABB,EQ,1666.35,1696.3,1651.05,1663.85,1666.35,93434,1567.0,6042,67106,71.82,06-Aug-2021
ABBOTINDIA,EQ,18034.0,18343.4,17420.1,17506.05,17925.15,37697,6770.57,11408,9284,24.63,06-Aug-2021
ABCAPITAL,EQ,117.5,122.5,117.05,121.95,113.6,17544307,21198.26,92089,4925317,28.07,06-Aug-2021
ABFRL,EQ,213.4,217.0,210.15,212.25,212.95,1477912,3165.76,13211,329646,22.30,06-Aug-2021
ABSLBANETF,EQ,356.81,358.3,356.15,356.15,356.42,145,0.52,15,29,20.00,06-Aug-2021
ABSLNN50ET,EQ,402.2,405.05,401.25,405.0,399.75,69,0.28,9,57,82.61,06-Aug-2021
ABSLRIF6RD,MF,9.36,9.36,9.36,9.36,10.0,1000,0.09,1,1000,100.00,06-Aug-2021
ABSLRIF6RG,MF,10.43,10.51,10.43,10.51,10.44,10051,1.05,4,10051,100.00,06-Aug-2021
ACC,EQ,2382.1,2398.8,2335.4,2341.35,2392.2,516746,12208.01,26616,216620,41.92,06-Aug-2021
ACCELYA,EQ,1480.0,1539.7,1436.0,1460.6,1395.2,567351,8355.24,33981,159497,28.11,06-Aug-2021
ACCURACY,EQ,103.0,120.95,101.35,120.7,100.8,927790,1077.6,8756,326698,35.21,06-Aug-2021
ACE,EQ,233.3,239.35,232.4,234.85,233.3,417926,983.01,9945,154746,37.03,06-Aug-2021
ACRYSIL,EQ,701.0,702.0,661.5,676.4,643.95,238447,1629.22,12628,111534,46.78,06-Aug-2021
ADANIENT,EQ,1422.0,1555.0,1422.0,1536.65,1432.35,14250256,215784.55,244951,1834674,12.87,06-Aug-2021
ADANIGREEN,BE,892.0,921.0,882.0,910.55,889.65,1079251,9665.49,26357,-,-,06-Aug-2021
ADANIPORTS,EQ,692.95,719.9,691.45,710.7,693.55,17504802,124429.97,216974,2718153,15.53,06-Aug-2021
ADANIPOWER,BE,92.2,92.55,89.1,92.55,88.15,4321632,3941.21,30603,-,-,06-Aug-2021
ADANITRANS,BE,945.0,974.95,930.0,964.35,947.05,124924,1195.75,15243,-,-,06-Aug-2021
ADFFOODS,EQ,865.9,883.15,842.1,856.15,860.45,16748,144.59,1829,9072,54.17,06-Aug-2021
ADL,BE,39.0,39.95,37.15,39.8,38.85,420,0.16,12,-,-,06-Aug-2021
ADORWELD,EQ,749.0,749.0,720.0,722.4,714.45,29814,218.43,3534,12854,43.11,06-Aug-2021
ADROITINFO,BE,7.75,8.55,7.75,7.8,8.15,1177,0.1,10,-,-,06-Aug-2021
ADSL,EQ,64.8,67.1,64.8,65.85,64.85,200215,131.52,1729,106659,53.27,06-Aug-2021
ADVANIHOTR,EQ,76.95,85.95,76.3,81.95,76.15,680970,565.2,9717,208173,30.57,06-Aug-2021
ADVENZYMES,EQ,412.6,429.75,406.1,411.9,410.45,449915,1880.27,11414,197609,43.92,06-Aug-2021
AEGISCHEM,EQ,282.45,290.0,278.0,279.6,281.45,532913,1516.2,13119,276322,51.85,06-Aug-2021
AFFLE,BE,4155.0,4189.0,4150.0,4161.25,4147.05,17484,728.26,4320,-,-,06-Aug-2021
AGARIND,EQ,366.9,366.9,338.1,347.45,355.8,35305,123.21,1358,20248,57.35,06-Aug-2021
AGCNET,BE,1155.0,1195.0,1155.0,1166.0,1150.55,1214,14.25,58,-,-,06-Aug-2021
AGRITECH,EQ,49.75,50.45,48.05,50.2,48.45,27060,13.34,463,13410,49.56,06-Aug-2021
AGROPHOS,EQ,15.05,16.25,15.0,15.7,15.0,106119,16.44,360,76479,72.07,06-Aug-2021
AHLADA,EQ,207.15,213.7,204.0,204.0,214.7,138342,283.74,1671,104491,75.53,06-Aug-2021
AHLEAST,EQ,184.95,190.05,183.3,185.1,185.25,6051,11.27,274,3348,55.33,06-Aug-2021
AHLUCONT,EQ,373.0,387.3,373.0,379.45,377.8,5316,20.17,374,2639,49.64,06-Aug-2021
AHLWEST,EQ,269.2,285.0,269.2,281.5,278.85,7251,20.15,459,3365,46.41,06-Aug-2021
AIAENG,EQ,1951.0,1985.0,1937.05,1948.65,1948.7,8355,163.23,1655,5083,60.84,06-Aug-2021
AIRAN,BE,24.75,24.9,23.6,24.45,23.95,37001,8.95,352,-,-,06-Aug-2021
AIROLAM,SM,51.1,51.1,46.65,49.35,49.9,60000,29.19,20,42000,70.00,06-Aug-2021
