SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,53.5,54.85,52.45,53.4,53.45,87085,46.94,1268,54809,62.94,30-Aug-2021
21STCENMGM,EQ,32.85,32.9,32.85,32.9,32.3,4249,1.4,29,3399,80.00,30-Aug-2021
3MINDIA,EQ,22688.15,23062.45,22618.0,22979.1,22643.35,21577,4926.85,1836,19947,92.45,30-Aug-2021
3PLAND,BE,13.75,14.3,13.05,14.1,13.65,3302,0.47,34,-,-,30-Aug-2021
5PAISA,EQ,447.0,466.5,438.0,450.15,446.35,87833,398.34,2228,36633,41.71,30-Aug-2021
618GS2024,GS,102.0,102.0,102.0,102.0,97.5,1010,1.03,2,1010,100.00,30-Aug-2021
63MOONS,EQ,96.4,97.9,93.8,94.1,95.7,75477,72.21,1451,45239,59.94,30-Aug-2021
667GS2050,GS,96.0,96.5,96.0,96.1,96.51,399,0.38,6,399,100.00,30-Aug-2021
676GS2061,GS,97.0,99.2,96.0,99.2,96.93,510,0.49,5,510,100.00,30-Aug-2021
68GS2060,GS,103.0,103.0,102.0,103.0,99.0,24,0.02,3,24,100.00,30-Aug-2021
763GS2059,GS,119.17,119.17,119.17,119.17,113.5,10,0.01,2,10,100.00,30-Aug-2021
772GS2049,GS,120.0,120.0,120.0,120.0,115.72,30,0.04,1,30,100.00,30-Aug-2021
817GS2044,GS,119.65,119.65,119.65,119.65,119.65,10,0.01,1,10,100.00,30-Aug-2021
A2ZINFRA,EQ,4.25,4.45,4.25,4.45,4.25,327628,14.31,357,251989,76.91,30-Aug-2021
AAATECH,SM,46.0,46.0,45.05,45.05,47.0,6000,2.73,2,6000,100.00,30-Aug-2021
AAKASH,EQ,270.1,277.4,260.25,264.75,265.0,78697,209.55,708,67731,86.07,30-Aug-2021
AAREYDRUGS,EQ,37.8,38.8,37.05,37.75,37.95,26746,10.15,448,18978,70.96,30-Aug-2021
AARON,EQ,107.5,107.55,102.25,103.9,102.45,17207,17.98,377,9680,56.26,30-Aug-2021
AARTIDRUGS,EQ,605.0,614.4,604.15,607.35,602.0,159367,969.59,7863,65915,41.36,30-Aug-2021
AARTIIND,EQ,935.7,944.7,913.6,933.15,926.5,1029523,9631.66,35675,241733,23.48,30-Aug-2021
AARTISURF,EQ,1448.3,1452.85,1415.0,1423.55,1430.95,13562,193.92,2573,8587,63.32,30-Aug-2021
AARVEEDEN,EQ,19.4,19.4,17.75,18.6,18.6,17937,3.35,94,11622,64.79,30-Aug-2021
AARVI,EQ,57.0,57.65,54.5,55.8,55.9,23587,13.18,199,16937,71.81,30-Aug-2021
AAVAS,EQ,2454.95,2485.0,2440.0,2467.3,2440.6,82400,2032.89,10792,51445,62.43,30-Aug-2021
ABAN,EQ,39.5,40.3,39.2,39.8,39.05,55092,21.96,960,40143,72.87,30-Aug-2021
ABB,EQ,1875.0,1925.0,1832.0,1921.7,1850.05,656830,12445.72,41279,274997,41.87,30-Aug-2021
ABBOTINDIA,EQ,19092.4,19199.9,18911.0,19137.8,19028.8,5847,1117.36,2751,2770,47.37,30-Aug-2021
ABCAPITAL,EQ,108.95,110.65,108.1,109.75,107.95,3004167,3282.95,20209,749125,24.94,30-Aug-2021
ABFRL,EQ,203.45,210.0,203.4,208.15,202.35,3323105,6917.02,25321,1472887,44.32,30-Aug-2021
ABSLBANETF,EQ,358.68,362.73,357.59,362.55,355.13,1216,4.37,22,1021,83.96,30-Aug-2021
ABSLNN50ET,EQ,419.0,419.0,410.0,415.35,409.13,560,2.33,21,503,89.82,30-Aug-2021
ABSLRIF6RG,MF,10.13,10.2,10.13,10.2,10.07,13000,1.32,5,13000,100.00,30-Aug-2021
ACC,EQ,2352.0,2390.0,2350.0,2386.5,2348.1,456720,10841.5,23908,151590,33.19,30-Aug-2021
ACCELYA,EQ,1273.95,1313.0,1265.0,1274.4,1262.25,40870,527.37,5376,18510,45.29,30-Aug-2021
ACCORD,SM,21.0,21.0,21.0,21.0,21.15,2000,0.42,1,2000,100.00,30-Aug-2021
ACCURACY,EQ,117.0,119.8,110.65,112.25,116.65,43275,48.9,1614,21043,48.63,30-Aug-2021
ACE,EQ,218.7,221.5,217.0,218.55,217.85,340588,746.79,8954,140328,41.20,30-Aug-2021
ACRYSIL,EQ,600.0,625.0,600.0,615.3,587.35,86766,533.49,3559,56321,64.91,30-Aug-2021
ADANIENT,EQ,1513.75,1527.0,1493.3,1516.55,1506.05,3149863,47577.7,46572,934028,29.65,30-Aug-2021
ADANIGREEN,BE,1040.0,1063.0,1015.0,1060.35,1049.1,2426934,25549.81,30592,-,-,30-Aug-2021
ADANIPORTS,EQ,730.6,735.4,727.1,730.0,727.0,4757858,34778.92,71327,1002851,21.08,30-Aug-2021
ADANIPOWER,BE,91.3,93.85,90.0,93.85,89.4,5143549,4762.31,39586,-,-,30-Aug-2021
ADANITRANS,BE,1460.2,1505.35,1450.0,1505.35,1433.7,401671,6030.79,14335,-,-,30-Aug-2021
ADFFOODS,EQ,819.8,824.0,801.6,806.7,811.65,11681,94.24,1888,7229,61.89,30-Aug-2021
ADL,BE,40.05,42.05,39.0,40.2,40.05,6645,2.77,67,-,-,30-Aug-2021
ADORWELD,EQ,694.0,705.0,668.45,689.5,680.9,10918,75.17,848,6761,61.93,30-Aug-2021
ADROITINFO,BE,9.2,9.4,8.65,9.4,9.1,3486,0.32,37,-,-,30-Aug-2021
ADSL,EQ,72.0,75.5,70.6,73.5,69.0,711399,521.17,7516,348299,48.96,30-Aug-2021
ADVANIHOTR,EQ,69.0,69.95,67.15,68.75,69.35,22229,15.29,394,13653,61.42,30-Aug-2021
ADVENZYMES,EQ,379.9,381.95,373.5,375.15,370.95,237674,897.9,8064,140163,58.97,30-Aug-2021
AEGISCHEM,EQ,270.0,271.0,267.05,268.6,269.8,419142,1127.32,7962,266848,63.67,30-Aug-2021
AFFLE,BE,4499.0,4581.5,4430.0,4581.5,4363.35,117095,5333.08,8976,-,-,30-Aug-2021
AGARIND,EQ,303.15,316.25,303.15,316.2,301.2,21467,67.34,582,15693,73.10,30-Aug-2021
AGCNET,BE,971.0,999.7,920.0,924.8,957.75,2845,26.71,238,-,-,30-Aug-2021
AGRITECH,EQ,50.9,50.9,48.0,48.4,49.25,5251,2.55,113,3757,71.55,30-Aug-2021
AGROPHOS,EQ,14.25,16.7,14.25,15.95,15.25,58723,9.32,351,40416,68.82,30-Aug-2021
AHLADA,EQ,169.9,170.0,160.35,162.8,163.2,25020,41.56,718,10632,42.49,30-Aug-2021
AHLEAST,EQ,188.0,188.0,181.0,182.95,184.7,4217,7.75,209,3089,73.25,30-Aug-2021
AHLUCONT,EQ,374.5,375.0,370.0,373.1,370.85,14160,52.63,480,10446,73.77,30-Aug-2021
AHLWEST,EQ,278.4,285.9,271.0,278.25,279.2,2147,5.97,221,1715,79.88,30-Aug-2021
AIAENG,EQ,1963.45,1996.95,1940.0,1962.85,1932.9,16088,316.8,3036,7799,48.48,30-Aug-2021
AILIMITED,SM,21.05,21.05,21.05,21.05,22.15,6000,1.26,2,6000,100.00,30-Aug-2021
AIRAN,BE,23.9,23.9,22.5,23.4,23.4,26041,6.07,307,-,-,30-Aug-2021
AIROLAM,SM,52.5,54.0,52.1,54.0,50.75,18000,9.55,6,12000,66.67,30-Aug-2021
AISL,SM,43.7,43.95,42.95,43.75,42.7,27600,12.0,21,3600,13.04,30-Aug-2021
AJANTPHARM,EQ,2213.1,2239.0,2213.1,2231.7,2218.3,24785,551.95,3263,6379,25.74,30-Aug-2021
AJMERA,BE,345.7,360.0,341.0,352.85,345.7,26415,93.96,434,-,-,30-Aug-2021
AJOONI,EQ,49.25,53.7,49.25,53.7,48.85,114618,60.46,875,73050,63.73,30-Aug-2021
AJRINFRA,BE,1.7,1.7,1.7,1.7,1.65,361110,6.14,179,-,-,30-Aug-2021
AKASH,EQ,156.0,165.8,153.5,161.8,154.35,78893,127.06,799,68423,86.73,30-Aug-2021
AKG,EQ,26.9,26.9,23.25,24.9,24.9,12764,3.23,184,6929,54.29,30-Aug-2021
AKSHARCHEM,EQ,427.3,431.0,414.6,424.85,424.6,24156,102.43,2518,11153,46.17,30-Aug-2021
AKSHOPTFBR,BE,8.95,9.05,8.6,8.8,8.8,200765,17.7,507,-,-,30-Aug-2021
AKZOINDIA,EQ,2238.95,2238.95,2201.2,2208.2,2201.2,11393,252.08,1621,8526,74.84,30-Aug-2021
ALANKIT,EQ,15.0,15.15,14.9,15.0,15.0,245856,36.95,995,202051,82.18,30-Aug-2021
ALBERTDAVD,EQ,580.45,592.1,578.05,582.05,576.6,32744,191.96,3047,16288,49.74,30-Aug-2021
ALCHEM,BZ,3.15,3.15,3.15,3.15,3.3,15338,0.48,34,-,-,30-Aug-2021
ALEMBICLTD,EQ,102.5,105.7,102.5,104.45,103.15,162164,169.48,3827,61079,37.66,30-Aug-2021
ALICON,EQ,780.05,795.55,778.85,785.85,778.65,11184,88.03,1001,7947,71.06,30-Aug-2021
ALKALI,EQ,70.3,71.5,69.25,70.1,69.7,7395,5.21,285,4359,58.95,30-Aug-2021
ALKEM,EQ,3909.8,3933.0,3852.35,3901.8,3887.65,82413,3215.21,9292,17633,21.40,30-Aug-2021
ALKYLAMINE,EQ,4298.0,4436.25,4295.0,4347.25,4236.1,208173,9119.83,31022,87754,42.15,30-Aug-2021
ALLCARGO,EQ,222.5,227.35,222.2,224.7,221.65,852624,1924.33,12746,301742,35.39,30-Aug-2021
ALLSEC,EQ,424.7,428.95,422.05,428.75,421.9,4710,20.11,373,4050,85.99,30-Aug-2021
ALMONDZ,EQ,78.65,80.0,73.95,76.8,76.9,26028,20.42,515,15816,60.77,30-Aug-2021
