SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,62.5,62.5,59.55,59.9,61.15,102672,62.23,1406,63278,61.63,13-Aug-2021
21STCENMGM,EQ,27.25,27.25,27.25,27.25,26.75,1113,0.3,8,1113,100.00,13-Aug-2021
396GS2022,GS,81.3,81.3,81.3,81.3,81.3,100,0.08,1,100,100.00,13-Aug-2021
3IINFOTECH,BE,8.4,8.4,7.95,7.95,8.35,8987197,726.84,11013,-,-,13-Aug-2021
3MINDIA,EQ,24650.0,24650.0,24000.0,24076.2,24596.85,2093,505.6,1144,1028,49.12,13-Aug-2021
3PLAND,BE,14.7,15.1,14.4,14.5,14.4,7629,1.13,59,-,-,13-Aug-2021
5PAISA,EQ,489.0,504.15,487.3,499.25,490.65,25276,125.61,1153,12154,48.09,13-Aug-2021
63MOONS,EQ,97.0,98.8,95.0,95.65,99.3,74677,72.19,1964,42816,57.33,13-Aug-2021
667GS2050,GS,97.0,97.5,95.5,95.5,97.0,4876,4.71,15,4876,100.00,13-Aug-2021
676GS2061,GS,99.0,99.0,99.0,99.0,98.15,3000,2.97,1,3000,100.00,13-Aug-2021
737GS2023,GS,107.5,107.5,107.5,107.5,105.6,13000,13.98,2,13000,100.00,13-Aug-2021
795GS2032,GS,111.6,111.6,111.6,111.6,109.0,35000,39.06,1,35000,100.00,13-Aug-2021
A2ZINFRA,EQ,4.6,4.8,4.55,4.8,4.6,359740,17.04,414,215589,59.93,13-Aug-2021
AAKASH,EQ,272.0,272.0,262.5,265.05,268.75,93679,250.58,829,51035,54.48,13-Aug-2021
AAREYDRUGS,EQ,41.75,43.2,39.5,41.85,40.95,157450,65.98,1728,119227,75.72,13-Aug-2021
AARON,EQ,109.5,110.75,104.0,104.55,109.45,24033,25.38,438,14565,60.60,13-Aug-2021
AARTIDRUGS,EQ,659.0,663.0,648.0,649.15,657.25,151070,986.28,9354,73837,48.88,13-Aug-2021
AARTIIND,EQ,929.9,955.0,929.05,938.0,926.6,1442466,13643.67,42784,326220,22.62,13-Aug-2021
AARTISURF,EQ,1520.0,1559.0,1483.1,1498.5,1521.2,41022,625.3,5178,21474,52.35,13-Aug-2021
AARVEEDEN,EQ,23.95,23.95,22.05,22.25,23.2,57551,13.19,310,41205,71.60,13-Aug-2021
AARVI,EQ,66.05,67.8,65.6,66.9,66.8,15390,10.3,323,9366,60.86,13-Aug-2021
AAVAS,EQ,2630.0,2654.0,2580.0,2591.5,2616.95,98054,2565.58,11611,56941,58.07,13-Aug-2021
ABAN,EQ,44.25,45.0,43.5,43.55,43.75,66443,29.38,1185,35857,53.97,13-Aug-2021
