SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,52.0,54.1,52.0,53.45,52.75,60075,32.06,803,36196,60.25,27-Aug-2021
21STCENMGM,EQ,32.3,32.3,31.1,32.3,31.7,61609,19.46,302,48159,78.17,27-Aug-2021
3IINFOTECH,BE,8.45,8.45,8.45,8.45,8.05,7106212,600.47,5009,-,-,27-Aug-2021
3MINDIA,EQ,22705.1,22805.1,22575.25,22643.35,22828.1,2514,569.53,1563,1818,72.32,27-Aug-2021
3PLAND,BE,13.5,13.75,13.3,13.65,13.7,2488,0.34,44,-,-,27-Aug-2021
5PAISA,EQ,435.2,451.0,435.2,446.35,441.1,21549,95.74,750,7503,34.82,27-Aug-2021
63MOONS,EQ,98.2,98.2,95.1,95.7,96.8,50861,48.87,860,22861,44.95,27-Aug-2021
667GS2050,GS,96.15,96.75,95.11,96.51,96.15,1600,1.54,10,1600,100.00,27-Aug-2021
676GS2061,GS,96.5,98.95,96.2,96.93,96.24,3241,3.14,14,2820,87.01,27-Aug-2021
74GS2035,GS,100.75,100.75,100.75,100.75,100.5,100,0.1,1,100,100.00,27-Aug-2021
772GS2055,GS,115.5,115.5,115.5,115.5,115.5,1,0.0,1,1,100.00,27-Aug-2021
A2ZINFRA,EQ,4.3,4.35,4.2,4.25,4.35,254692,10.85,271,160792,63.13,27-Aug-2021
AAATECH,SM,46.0,47.0,46.0,47.0,44.0,192000,89.73,16,189000,98.44,27-Aug-2021
AAKASH,EQ,244.6,268.0,241.0,265.0,244.6,157959,411.13,1317,61154,38.72,27-Aug-2021
AAREYDRUGS,EQ,39.0,39.0,37.5,37.95,38.75,30856,11.73,468,23932,77.56,27-Aug-2021
AARON,EQ,96.05,102.45,96.05,102.45,97.6,9679,9.81,136,8468,87.49,27-Aug-2021
AARTIDRUGS,EQ,610.0,612.8,600.0,602.0,613.85,276354,1665.17,15039,123507,44.69,27-Aug-2021
