SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,93.0,94.0,87.65,88.5,91.85,240842,218.18,3186,119255,49.52,28-Jul-2022
21STCENMGM,EQ,25.5,25.5,24.55,24.6,25.05,4256,1.06,63,3543,83.25,28-Jul-2022
3IINFOLTD,EQ,41.8,42.3,41.4,41.65,41.6,259224,108.31,2445,156841,60.50,28-Jul-2022
3MINDIA,EQ,22993.25,23449.25,22801.15,23120.25,23218.8,1851,428.66,1131,722,39.01,28-Jul-2022
3PLAND,EQ,15.65,15.65,15.25,15.4,15.65,818,0.13,37,723,88.39,28-Jul-2022
563GS2026,GS,95.0,95.0,95.0,95.0,97.9,1000,0.95,3,1000,100.00,28-Jul-2022
5PAISA,EQ,280.0,285.45,271.4,274.05,278.8,39951,111.2,984,25803,64.59,28-Jul-2022
63MOONS,EQ,178.5,178.5,171.1,173.1,174.95,29081,50.95,1266,19525,67.14,28-Jul-2022
654GS2032,GS,95.0,95.75,95.0,95.75,92.0,2100,2.0,2,2100,100.00,28-Jul-2022
667GS2035,GS,95.2,95.2,94.2,95.2,95.2,1203,1.14,12,1151,95.68,28-Jul-2022
667GS2050,GS,91.4,91.9,91.0,91.89,91.0,953,0.88,9,838,87.93,28-Jul-2022
676GS2061,GS,94.0,94.0,94.0,94.0,95.5,1,0.0,1,1,100.00,28-Jul-2022
695GS2061,GS,92.25,92.3,92.2,92.22,91.99,7311,6.75,20,7311,100.00,28-Jul-2022
699GS2051,GS,93.49,94.0,93.4,93.54,93.14,13664,12.79,15,12964,94.88,28-Jul-2022
710GS2029,GS,102.5,102.5,102.5,102.5,100.5,2255,2.31,4,2255,100.00,28-Jul-2022
754GS2036,GS,101.5,101.5,101.5,101.5,101.1,1000,1.02,1,1000,100.00,28-Jul-2022
824GS2027,GS,110.0,110.0,108.5,108.5,109.0,60,0.07,2,60,100.00,28-Jul-2022
A2ZINFRA,EQ,11.65,11.9,11.35,11.65,11.7,504039,58.67,710,322191,63.92,28-Jul-2022
AAATECH,SM,110.05,112.8,110.05,111.4,111.0,9000,10.03,3,3000,33.33,28-Jul-2022
AAKASH,EQ,13.65,13.8,13.0,13.2,13.65,242801,32.01,663,129667,53.40,28-Jul-2022
AAREYDRUGS,EQ,34.65,36.5,34.05,35.55,35.05,47735,17.15,492,31262,65.49,28-Jul-2022
AARON,EQ,121.95,131.0,121.35,124.6,119.5,30498,38.86,773,17637,57.83,28-Jul-2022
AARTIDRUGS,EQ,404.5,410.55,402.5,405.7,419.3,230471,935.51,10315,121404,52.68,28-Jul-2022
AARTIIND,EQ,760.75,768.75,755.45,763.5,756.55,672118,5131.28,17978,312897,46.55,28-Jul-2022
AARTISURF,EQ,784.0,784.0,723.2,729.05,723.4,6489,48.04,990,2631,40.55,28-Jul-2022
AARVEEDEN,EQ,20.85,20.85,19.65,19.9,20.4,14386,2.89,177,6030,41.92,28-Jul-2022
AARVI,EQ,100.0,102.0,98.05,99.35,99.45,7178,7.18,189,4237,59.03,28-Jul-2022
AAVAS,EQ,2314.8,2390.0,2290.7,2361.5,2284.2,117767,2765.61,18670,45424,38.57,28-Jul-2022
ABAN,EQ,44.4,45.5,43.55,44.45,44.0,137019,60.76,1983,55002,40.14,28-Jul-2022
ABB,EQ,2744.95,2748.0,2685.95,2722.25,2728.15,335265,9100.05,12374,219479,65.46,28-Jul-2022
ABBOTINDIA,EQ,19870.0,19999.0,19583.95,19762.3,19861.0,8753,1731.37,3427,2494,28.49,28-Jul-2022
ABCAPITAL,EQ,103.9,104.25,102.5,103.5,103.1,4085184,4222.17,22643,1491158,36.50,28-Jul-2022
ABFRL,EQ,269.0,270.95,265.35,267.15,267.65,1106068,2970.44,9710,388817,35.15,28-Jul-2022
ABINFRA,SM,14.4,14.4,14.4,14.4,13.75,4000,0.58,1,4000,100.00,28-Jul-2022
ABMINTLLTD,BE,79.0,79.0,72.05,72.2,75.6,532,0.41,14,-,-,28-Jul-2022
ABSLAMC,EQ,425.7,429.85,424.0,425.15,425.7,32318,137.71,2319,19867,61.47,28-Jul-2022
ABSLBANETF,EQ,37.45,37.45,36.8,37.27,36.7,6757,2.51,121,4216,62.39,28-Jul-2022
ABSLNN50ET,EQ,41.18,41.5,41.12,41.2,41.0,49081,20.22,77,48677,99.18,28-Jul-2022
ACC,EQ,2204.9,2204.9,2176.5,2180.75,2190.25,249369,5449.81,8731,121610,48.77,28-Jul-2022
ACCELYA,EQ,907.6,917.05,904.1,912.5,903.05,3419,31.15,408,2381,69.64,28-Jul-2022
ACCURACY,EQ,198.6,205.0,198.0,201.4,200.4,19238,38.8,453,13048,67.82,28-Jul-2022
ACE,EQ,222.9,224.0,220.0,221.15,220.6,115011,255.67,3157,42179,36.67,28-Jul-2022
ACRYSIL,EQ,619.9,626.65,612.0,615.95,617.35,76995,475.74,6995,23487,30.50,28-Jul-2022
