SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,75.0,75.0,71.65,72.85,73.6,67300,49.62,1525,33362,49.57,14-Jun-2022
21STCENMGM,EQ,21.55,21.55,20.75,21.25,21.15,7623,1.6,66,4604,60.40,14-Jun-2022
3IINFOLTD,EQ,42.7,45.85,42.05,43.4,44.0,358497,158.38,4589,178964,49.92,14-Jun-2022
3MINDIA,EQ,20062.0,20337.2,19792.8,19899.05,20337.25,1136,227.79,659,405,35.65,14-Jun-2022
3PLAND,BE,14.6,14.6,13.7,14.4,14.3,3454,0.48,36,-,-,14-Jun-2022
426GS2023,GS,95.98,95.98,95.98,95.98,101.0,100,0.1,2,100,100.00,14-Jun-2022
515GS2025,GS,93.0,93.0,93.0,93.0,94.25,100,0.09,1,100,100.00,14-Jun-2022
5PAISA,EQ,303.5,312.0,303.5,305.7,312.25,26107,80.75,462,23541,90.17,14-Jun-2022
63MOONS,EQ,163.0,171.25,157.1,168.3,163.1,108391,183.11,2191,32984,30.43,14-Jun-2022
667GS2035,GS,94.5,95.99,94.25,94.29,97.0,336,0.32,11,336,100.00,14-Jun-2022
667GS2050,GS,91.5,97.84,91.44,91.44,93.19,2223,2.03,17,2220,99.87,14-Jun-2022
676GS2061,GS,95.0,95.0,95.0,95.0,93.0,121,0.11,4,121,100.00,14-Jun-2022
695GS2061,GS,93.91,94.23,93.9,94.23,95.0,5470,5.15,16,5470,100.00,14-Jun-2022
699GS2051,GS,94.0,95.15,94.0,94.63,95.11,3263,3.07,19,3224,98.80,14-Jun-2022
710GS2029,GS,98.5,98.5,98.5,98.5,94.0,1,0.0,1,1,100.00,14-Jun-2022
754GS2036,GS,99.0,100.0,98.1,99.0,99.0,14552,14.41,20,14450,99.30,14-Jun-2022
759GS2026,GS,103.08,103.08,103.08,103.08,98.25,2000,2.06,1,2000,100.00,14-Jun-2022
772GS2055,GS,106.51,106.51,106.5,106.5,112.0,160,0.17,2,160,100.00,14-Jun-2022
813GS2045,GS,116.85,116.85,116.85,116.85,116.85,32,0.04,1,32,100.00,14-Jun-2022
A2ZINFRA,EQ,11.0,11.7,11.0,11.3,11.2,293058,33.16,663,206398,70.43,14-Jun-2022
AAKASH,EQ,21.45,22.25,21.15,22.15,21.2,1005626,221.04,1368,428509,42.61,14-Jun-2022
AAREYDRUGS,EQ,33.45,34.35,33.4,33.6,33.45,10440,3.53,213,7691,73.67,14-Jun-2022
AARON,EQ,109.05,118.45,109.05,114.45,111.85,512,0.58,47,251,49.02,14-Jun-2022
AARTIDRUGS,EQ,416.3,423.2,415.0,416.45,420.15,60349,253.25,4602,37626,62.35,14-Jun-2022
AARTIIND,EQ,698.0,717.0,698.0,708.65,701.8,814439,5790.27,23741,233363,28.65,14-Jun-2022
AARTISURF,EQ,664.0,725.0,659.0,661.1,673.3,5549,37.21,817,3228,58.17,14-Jun-2022
AARVEEDEN,EQ,22.7,22.7,21.5,22.0,21.5,903,0.2,37,800,88.59,14-Jun-2022
AARVI,EQ,100.95,100.95,98.0,98.2,99.5,6314,6.26,104,4834,76.56,14-Jun-2022
AAVAS,EQ,2007.65,2044.85,1994.05,1998.5,2007.65,50964,1028.4,9778,23004,45.14,14-Jun-2022
ABAN,EQ,47.8,49.15,46.55,47.2,47.8,279885,133.87,3873,95703,34.19,14-Jun-2022
ABB,EQ,2330.0,2364.0,2303.3,2321.35,2337.45,151551,3540.13,20683,40231,26.55,14-Jun-2022
ABBOTINDIA,EQ,17825.0,17985.4,17673.8,17737.05,17904.85,9754,1734.23,4005,3673,37.66,14-Jun-2022
ABCAPITAL,EQ,94.0,97.3,94.0,94.95,95.1,2170914,2079.21,12055,664007,30.59,14-Jun-2022
ABFRL,EQ,244.0,253.2,242.75,244.3,246.4,1747225,4324.84,14626,508860,29.12,14-Jun-2022
ABMINTLLTD,BE,90.4,90.4,86.45,86.45,91.0,114,0.1,6,-,-,14-Jun-2022
ABSLAMC,EQ,412.0,416.85,410.05,415.1,412.9,40417,167.56,2062,24603,60.87,14-Jun-2022
ABSLBANETF,EQ,33.55,34.1,33.01,33.37,33.48,1547,0.52,118,1115,72.07,14-Jun-2022
ABSLNN50ET,EQ,38.38,38.38,37.6,37.82,37.82,991,0.38,66,697,70.33,14-Jun-2022
ACC,EQ,2112.15,2130.0,2101.95,2116.1,2121.25,302507,6394.73,14745,150488,49.75,14-Jun-2022
ACCELYA,EQ,915.0,915.0,900.95,902.75,910.75,4377,39.65,510,2862,65.39,14-Jun-2022
ACCURACY,EQ,256.5,274.4,233.05,245.35,258.3,153930,391.4,6446,36506,23.72,14-Jun-2022
ACE,EQ,201.55,207.45,201.0,206.15,201.55,166837,342.34,3997,70940,42.52,14-Jun-2022
ACEINTEG,SM,28.75,28.75,28.75,28.75,27.4,40500,11.64,7,40500,100.00,14-Jun-2022
ACRYSIL,EQ,541.0,550.0,513.65,519.8,551.45,99827,527.68,7368,60278,60.38,14-Jun-2022
ADANIENT,EQ,2274.0,2274.0,2053.1,2196.45,2079.75,6515102,140845.6,184436,878680,13.49,14-Jun-2022
ADANIGREEN,EQ,1790.0,1834.8,1756.05,1788.75,1798.7,1561899,28275.88,70143,589645,37.75,14-Jun-2022
ADANIPORTS,EQ,695.4,721.8,693.55,704.7,695.25,6144330,43578.87,95952,1148004,18.68,14-Jun-2022
ADANIPOWER,EQ,261.6,279.5,261.6,266.65,266.2,16393298,44763.68,166802,4929047,30.07,14-Jun-2022
ADANITRANS,EQ,2041.6,2119.0,2040.5,2057.5,2051.9,353481,7396.04,14310,228904,64.76,14-Jun-2022
ADFFOODS,EQ,723.0,738.85,716.55,717.55,731.1,10908,79.19,646,5427,49.75,14-Jun-2022
ADL,BE,58.0,61.6,57.1,60.5,59.6,1314,0.78,20,-,-,14-Jun-2022
ADORWELD,EQ,643.4,660.0,631.55,653.35,643.4,12043,77.68,675,7732,64.20,14-Jun-2022
ADROITINFO,EQ,8.8,8.8,8.8,8.8,8.4,43291,3.81,77,43280,99.97,14-Jun-2022
ADSL,EQ,116.8,122.3,115.65,116.65,117.95,90387,106.67,2884,38876,43.01,14-Jun-2022
ADVANIHOTR,EQ,68.0,69.7,67.1,67.6,67.5,18837,12.88,389,11648,61.84,14-Jun-2022
ADVENZYMES,EQ,288.05,293.15,287.9,291.05,291.0,34618,100.76,1912,19242,55.58,14-Jun-2022
AEGISCHEM,EQ,221.0,225.95,220.5,222.95,221.75,463249,1036.85,8339,270011,58.29,14-Jun-2022
AETHER,EQ,793.0,827.7,781.0,783.15,788.9,416790,3330.73,26837,150917,36.21,14-Jun-2022
AFFLE,EQ,980.1,993.15,965.05,969.6,981.45,253766,2479.33,15975,82779,32.62,14-Jun-2022
AGARIND,EQ,480.05,499.0,466.25,474.55,486.7,50564,245.32,2629,20595,40.73,14-Jun-2022
AGI,EQ,201.8,210.1,201.8,203.95,205.05,87659,179.63,4512,37107,42.33,14-Jun-2022
AGRITECH,BE,78.5,80.75,76.45,78.9,76.95,2859,2.28,35,-,-,14-Jun-2022
AGROPHOS,EQ,31.5,31.9,30.0,30.1,31.5,84286,25.7,767,48067,57.03,14-Jun-2022
AGSTRA,EQ,79.5,81.75,78.8,79.3,80.05,164266,131.53,4526,65557,39.91,14-Jun-2022
AHLADA,EQ,90.0,90.9,88.2,89.6,89.2,3622,3.23,144,2378,65.65,14-Jun-2022
AHLEAST,EQ,223.0,224.25,220.0,220.35,224.25,834,1.85,43,660,79.14,14-Jun-2022
AHLUCONT,EQ,421.75,424.9,407.35,422.0,423.65,19493,81.2,2042,10347,53.08,14-Jun-2022
AIAENG,EQ,2025.0,2090.0,2025.0,2045.05,2059.75,20175,414.91,3678,10307,51.09,14-Jun-2022
AIRAN,EQ,20.5,21.7,20.5,21.45,20.85,309000,66.14,2604,146491,47.41,14-Jun-2022
AIROLAM,EQ,61.4,63.45,60.2,62.3,60.65,4144,2.57,85,2551,61.56,14-Jun-2022
