SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,79.4,79.85,77.7,78.85,78.75,58058,45.65,1234,26693,45.98,08-Jun-2022
21STCENMGM,EQ,22.4,22.4,21.6,21.65,22.0,5325,1.16,82,2710,50.89,08-Jun-2022
3IINFOLTD,EQ,46.75,47.1,45.2,46.6,45.95,251792,116.86,3729,147941,58.76,08-Jun-2022
3MINDIA,EQ,21143.0,21358.4,20725.45,20801.7,21187.35,2208,463.69,1264,834,37.77,08-Jun-2022
3PLAND,BE,14.8,14.8,14.1,14.1,14.8,2901,0.41,33,-,-,08-Jun-2022
574GS2026,GS,94.9,94.9,94.9,94.9,94.99,700,0.66,2,700,100.00,08-Jun-2022
5PAISA,EQ,319.0,322.8,311.0,312.15,314.95,14828,46.83,919,5731,38.65,08-Jun-2022
610GS2031,GS,94.5,94.5,94.5,94.5,90.0,92,0.09,3,92,100.00,08-Jun-2022
63MOONS,EQ,169.95,169.95,165.0,165.85,170.0,35254,59.07,1120,24023,68.14,08-Jun-2022
654GS2032,GS,94.41,94.41,94.41,94.41,94.4,98,0.09,1,98,100.00,08-Jun-2022
667GS2050,GS,92.99,92.99,91.9,91.9,92.0,3002,2.76,9,3000,99.93,08-Jun-2022
676GS2061,GS,93.75,93.75,93.75,93.75,93.75,1,0.0,1,1,100.00,08-Jun-2022
695GS2061,GS,92.05,92.55,92.05,92.55,95.0,275,0.25,2,275,100.00,08-Jun-2022
699GS2051,GS,95.0,95.55,95.0,95.55,95.0,7153,6.8,11,7153,100.00,08-Jun-2022
727GS2026,GS,102.0,102.0,101.1,101.1,102.0,658,0.67,4,658,100.00,08-Jun-2022
754GS2036,GS,99.0,99.0,99.0,99.0,99.9,100,0.1,1,100,100.00,08-Jun-2022
769GS2043,GS,111.0,111.0,111.0,111.0,111.0,1000,1.11,3,1000,100.00,08-Jun-2022
832GS2032,GS,102.67,102.67,102.67,102.67,107.9,1,0.0,1,1,100.00,08-Jun-2022
A2ZINFRA,EQ,12.1,12.1,11.45,11.55,11.85,147840,17.32,504,108287,73.25,08-Jun-2022
AAATECH,SM,71.1,71.1,71.0,71.0,74.0,6000,4.26,2,3000,50.00,08-Jun-2022
AAKASH,EQ,20.8,21.35,20.75,21.25,20.5,887689,187.79,1048,439938,49.56,08-Jun-2022
AAREYDRUGS,EQ,34.1,35.6,33.75,34.65,34.05,16642,5.74,347,9359,56.24,08-Jun-2022
AARON,EQ,114.3,121.7,107.0,112.05,116.6,3985,4.54,215,2465,61.86,08-Jun-2022
AARTIDRUGS,EQ,421.3,436.05,418.0,432.2,421.35,67379,288.55,5002,24789,36.79,08-Jun-2022
AARTIIND,EQ,708.0,709.75,691.4,699.3,704.4,1045834,7324.24,38884,498915,47.70,08-Jun-2022
AARTISURF,EQ,700.0,700.0,680.0,684.2,690.45,2638,18.18,526,1712,64.90,08-Jun-2022
AARVEEDEN,EQ,23.45,23.45,22.55,22.95,23.2,10265,2.36,111,7480,72.87,08-Jun-2022
AARVI,EQ,104.1,105.8,101.4,102.9,104.1,4128,4.27,130,2811,68.10,08-Jun-2022
AAVAS,EQ,2067.4,2115.0,2041.0,2045.3,2067.55,90636,1889.65,13714,41134,45.38,08-Jun-2022
ABAN,EQ,56.6,61.35,53.8,54.25,56.75,1776040,1019.34,16450,380324,21.41,08-Jun-2022
ABB,EQ,2369.25,2369.25,2270.5,2305.3,2351.6,113410,2628.64,12544,35017,30.88,08-Jun-2022
ABBOTINDIA,EQ,17800.0,18350.0,17760.0,17971.65,17748.15,23988,4333.88,9457,3532,14.72,08-Jun-2022
ABCAPITAL,EQ,102.35,104.35,102.0,102.75,103.3,1853238,1914.14,12419,522963,28.22,08-Jun-2022
ABCOTS,SM,35.45,35.9,35.45,35.65,34.95,16000,5.71,4,16000,100.00,08-Jun-2022
ABFRL,EQ,264.85,265.55,255.0,256.95,264.35,1897021,4916.6,21650,633955,33.42,08-Jun-2022
ABINFRA,SM,10.9,10.9,10.9,10.9,11.45,4000,0.44,1,4000,100.00,08-Jun-2022
ABMINTLLTD,BE,85.7,89.85,85.7,89.0,90.0,11,0.01,3,-,-,08-Jun-2022
ABSLAMC,EQ,417.0,417.0,412.25,414.0,415.15,26146,108.45,1847,15737,60.19,08-Jun-2022
ABSLBANETF,EQ,35.5,35.5,34.51,35.14,34.97,3152,1.11,122,1388,44.04,08-Jun-2022
ABSLNN50ET,EQ,38.17,39.44,38.0,38.71,38.78,2054,0.79,51,964,46.93,08-Jun-2022
ACC,EQ,2145.0,2148.25,2113.6,2135.5,2138.35,490375,10457.99,44467,284442,58.00,08-Jun-2022
ACCELYA,EQ,919.05,924.95,912.6,915.15,921.7,4670,42.89,587,2289,49.01,08-Jun-2022
ACCURACY,EQ,214.7,214.7,200.3,203.95,209.15,51143,105.81,2199,22256,43.52,08-Jun-2022
ACE,EQ,216.9,224.3,213.05,221.85,216.9,283341,619.16,4980,109060,38.49,08-Jun-2022
ACEINTEG,SM,28.9,28.9,28.35,28.55,28.5,18000,5.14,4,18000,100.00,08-Jun-2022
ACRYSIL,EQ,587.95,590.0,575.0,578.25,580.6,33150,193.15,3281,13320,40.18,08-Jun-2022
ADANIENT,EQ,2244.95,2244.95,2158.55,2177.2,2227.55,1530739,33709.07,49879,193778,12.66,08-Jun-2022
ADANIGREEN,EQ,1848.7,1858.85,1795.0,1801.9,1829.25,1569422,28638.63,68060,629384,40.10,08-Jun-2022
ADANIPORTS,EQ,735.55,740.0,725.35,728.6,734.55,2839931,20760.78,46104,582505,20.51,08-Jun-2022
ADANIPOWER,EQ,295.55,296.8,282.2,284.5,291.4,9228822,26595.17,129100,3750035,40.63,08-Jun-2022
ADANITRANS,EQ,2060.0,2108.0,2022.25,2091.9,2046.0,226173,4691.64,22060,100859,44.59,08-Jun-2022
ADFFOODS,EQ,775.5,779.65,765.25,772.6,779.95,4225,32.68,517,2757,65.25,08-Jun-2022
ADL,BE,61.45,61.45,55.75,59.55,58.55,865,0.52,30,-,-,08-Jun-2022
