,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
0,20MICRONS,BE,144.6,144.6,139.8,139.8,142.65,20591,29.06,106,-,-,18-Oct-2023
1,21STCENMGM,EQ,19.25,19.6,19.1,19.35,19.3,2149,0.42,84,1450,67.47,18-Oct-2023
2,360ONE,EQ,549.35,550.95,525.1,537.4,550.8,541975,2921.39,12233,373582,68.93,18-Oct-2023
3,3IINFOLTD,EQ,39.0,39.85,38.5,39.0,38.9,740731,290.39,3897,269375,36.37,18-Oct-2023
4,3MINDIA,EQ,30785.0,30787.95,30101.0,30376.0,30681.8,1840,558.41,1119,741,40.27,18-Oct-2023
5,3PLAND,EQ,26.85,26.85,25.05,25.85,26.2,15954,4.1,196,10752,67.39,18-Oct-2023
6,522GS2025,GS,98.75,98.75,98.75,98.75,98.75,6,0.01,1,6,100.00,18-Oct-2023
7,563GS2026,GS,97.19,102.0,97.19,102.0,102.3,12,0.01,2,12,100.00,18-Oct-2023
8,574GS2026,GS,103.6,103.6,99.0,99.0,98.7,5,0.0,2,5,100.00,18-Oct-2023
9,5PAISA,EQ,462.0,475.0,461.95,471.8,459.45,294249,1380.13,11689,125888,42.78,18-Oct-2023
10,610GS2031,GS,93.01,94.5,93.01,94.5,94.75,26,0.02,3,26,100.00,18-Oct-2023
11,618GS2024,GS,102.0,102.0,102.0,102.0,102.0,24,0.02,2,24,100.00,18-Oct-2023
12,63MOONS,EQ,272.6,278.9,264.0,270.1,267.2,145127,392.92,5757,91550,63.08,18-Oct-2023
13,654GS2032,GS,96.8,96.8,96.7,96.8,97.01,12002,11.62,4,12002,100.00,18-Oct-2023
14,667GS2035,GS,97.49,97.5,97.49,97.49,95.76,8,0.01,2,4,50.00,18-Oct-2023
15,667GS2050,GS,98.5,98.5,98.5,98.5,94.79,1,0.0,1,1,100.00,18-Oct-2023
16,669GS2024,GS,101.85,101.85,101.41,101.85,101.55,1004,1.02,3,804,80.08,18-Oct-2023
17,676GS2061,GS,94.75,94.8,94.75,94.75,96.48,42,0.04,3,42,100.00,18-Oct-2023
18,68GS2060,GS,97.75,97.75,97.75,97.75,96.5,600,0.59,2,600,100.00,18-Oct-2023
19,695GS2061,GS,100.0,100.0,100.0,100.0,100.98,1500,1.5,1,1500,100.00,18-Oct-2023
20,699GS2026,GS,100.0,100.0,99.7,99.9,98.86,1226,1.22,11,1226,100.00,18-Oct-2023
21,699GS2051,GS,99.99,100.0,99.99,99.99,96.12,2,0.0,2,1,50.00,18-Oct-2023
22,706GS2028,GS,99.54,99.54,99.2,99.33,99.25,18506,18.38,31,18506,100.00,18-Oct-2023
23,710GS2029,GS,102.0,102.5,99.9,100.0,101.0,14686,14.7,48,14686,100.00,18-Oct-2023
24,717GS2030,GS,99.99,99.99,99.0,99.39,99.92,50372,50.11,89,49916,99.09,18-Oct-2023
25,718GS2033,GS,100.3,100.7,100.3,100.7,100.25,1745,1.76,2,1745,100.00,18-Oct-2023
26,718GS2037,GS,100.0,100.1,99.97,99.97,100.18,23931,23.95,11,23931,100.00,18-Oct-2023
27,726GS2032,GS,100.4,100.7,100.33,100.4,100.4,1107,1.11,8,1107,100.00,18-Oct-2023
28,726GS2033,GS,100.8,100.99,100.8,100.99,100.8,1600,1.61,2,1600,100.00,18-Oct-2023
29,727GS2026,GS,100.0,100.0,100.0,100.0,101.09,100,0.1,1,100,100.00,18-Oct-2023
30,732GS2024,GS,101.0,101.0,101.0,101.0,100.04,100,0.1,1,100,100.00,18-Oct-2023
31,736GS2052,GS,97.75,100.25,97.75,100.0,99.58,16866,16.86,38,16864,99.99,18-Oct-2023
32,738GS2027,GS,102.5,102.65,102.5,102.64,102.56,60008,61.58,36,60007,100.00,18-Oct-2023
33,73GS2053,GS,100.12,101.0,100.1,100.95,100.15,3225,3.24,8,3150,97.67,18-Oct-2023
34,741GS2036,GS,102.59,102.59,101.9,102.25,102.18,471910,481.45,114,471410,99.89,18-Oct-2023
35,74GS2062,GS,101.25,101.25,100.0,100.09,100.25,3504,3.53,14,3504,100.00,18-Oct-2023
36,754GS2036,GS,104.0,104.0,103.88,103.96,103.99,456460,474.45,106,450670,98.73,18-Oct-2023
37,772GS2025,GS,104.0,104.0,102.81,102.81,104.0,499,0.51,2,499,100.00,18-Oct-2023
38,824GS2027,GS,105.0,105.0,104.25,104.25,105.0,557,0.58,6,557,100.00,18-Oct-2023
39,824GS2033,GS,115.0,115.0,115.0,115.0,112.35,10,0.01,1,10,100.00,18-Oct-2023
