SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
20MICRONS,EQ,60.65,61.4,60.0,60.25,60.8,106172,64.18,983,78936,74.35,05-Oct-2021
21STCENMGM,EQ,51.15,51.15,51.15,51.15,50.15,23138,11.84,47,23133,99.98,05-Oct-2021
3MINDIA,EQ,25435.9,25769.25,25195.2,25254.55,25435.9,22642,5751.91,1140,21608,95.43,05-Oct-2021
3PLAND,BE,13.8,13.9,13.2,13.3,13.8,7587,1.03,48,-,-,05-Oct-2021
5PAISA,EQ,465.5,480.0,465.5,467.3,467.65,29710,139.64,3350,12622,42.48,05-Oct-2021
618GS2024,GS,103.75,103.75,103.75,103.75,104.0,90,0.09,1,90,100.00,05-Oct-2021
622GS2035,GS,96.0,96.0,96.0,96.0,93.63,2200,2.11,2,2200,100.00,05-Oct-2021
63MOONS,EQ,92.15,96.15,91.5,94.05,92.2,108151,101.97,2139,52313,48.37,05-Oct-2021
667GS2050,GS,97.51,97.51,97.4,97.45,98.7,500,0.49,5,500,100.00,05-Oct-2021
676GS2061,GS,98.0,99.34,98.0,99.17,99.34,19299,18.95,17,19299,100.00,05-Oct-2021
719GS2060,GS,106.0,112.0,106.0,106.0,111.0,66,0.07,3,66,100.00,05-Oct-2021
A2ZINFRA,EQ,4.25,4.35,4.2,4.25,4.25,565222,24.13,368,300770,53.21,05-Oct-2021
AAKASH,EQ,217.3,227.0,215.25,223.6,217.3,69245,155.32,804,36969,53.39,05-Oct-2021
AAREYDRUGS,EQ,37.95,38.0,36.6,37.5,37.4,64654,24.16,519,43404,67.13,05-Oct-2021
AARON,EQ,104.5,108.2,103.85,108.2,103.05,11629,12.48,240,10520,90.46,05-Oct-2021
AARTIDRUGS,EQ,609.8,634.4,607.05,625.3,606.4,613426,3841.33,26736,211414,34.46,05-Oct-2021
AARTIIND,EQ,1030.0,1073.6,1009.6,1066.2,1021.35,4383093,46123.86,125254,1020297,23.28,05-Oct-2021
AARTISURF,EQ,1495.0,1517.0,1482.05,1498.55,1494.2,17099,256.83,2322,9911,57.96,05-Oct-2021
AARVEEDEN,EQ,23.5,24.15,22.25,24.0,23.0,42678,10.0,241,29270,68.58,05-Oct-2021
AARVI,EQ,62.45,65.75,62.2,65.35,63.4,67029,43.16,866,54912,81.92,05-Oct-2021
AAVAS,EQ,2561.0,2625.95,2561.0,2598.7,2606.35,33026,858.91,9160,16945,51.31,05-Oct-2021
ABAN,EQ,44.4,47.35,43.55,47.35,43.05,876486,407.5,4514,410257,46.81,05-Oct-2021
ABB,EQ,1858.0,1905.6,1858.0,1877.95,1873.2,159998,3034.14,7534,126147,78.84,05-Oct-2021
ABBOTINDIA,EQ,23200.0,23934.45,23100.0,23184.5,23108.85,82214,19239.7,30655,17069,20.76,05-Oct-2021
ABCAPITAL,EQ,111.25,113.25,110.55,110.9,111.15,3147728,3509.12,19424,1314919,41.77,05-Oct-2021
ABFRL,EQ,240.8,259.4,238.65,255.6,240.8,11071898,28003.72,89641,2261150,20.42,05-Oct-2021
ABINFRA,SM,7.35,7.35,7.35,7.35,7.0,4000,0.29,1,4000,100.00,05-Oct-2021
ABMINTLLTD,EQ,138.25,138.25,138.25,138.25,131.7,1947,2.69,38,1946,99.95,05-Oct-2021
ABSLBANETF,EQ,378.0,385.0,372.95,376.39,374.19,1181,4.45,57,126,10.67,05-Oct-2021
ABSLDAF2DN,MF,9.02,11.0,9.02,11.0,10.0,2002,0.2,4,0,0.00,05-Oct-2021
ABSLNN50ET,EQ,432.0,443.99,432.0,439.86,436.99,893,3.93,46,846,94.74,05-Oct-2021
ACC,EQ,2253.15,2284.0,2253.15,2263.7,2265.65,251071,5693.64,19606,88138,35.10,05-Oct-2021
ACCELYA,EQ,1335.0,1345.0,1304.35,1309.85,1341.35,37347,493.75,5851,21679,58.05,05-Oct-2021
ACCURACY,EQ,135.5,144.0,131.85,133.45,132.6,118211,162.19,4223,41391,35.01,05-Oct-2021
ACE,EQ,267.95,274.9,265.5,271.35,265.7,1020671,2768.98,21998,361647,35.43,05-Oct-2021
ACEINTEG,SM,22.2,22.2,22.2,22.2,21.15,3000,0.67,1,3000,100.00,05-Oct-2021
ACRYSIL,EQ,791.0,791.0,767.1,773.95,787.65,65364,508.7,5646,42971,65.74,05-Oct-2021
ADANIENT,EQ,1515.0,1557.85,1512.35,1527.65,1526.65,2544835,39167.81,56806,434243,17.06,05-Oct-2021
ADANIGREEN,EQ,1203.0,1230.0,1199.3,1222.2,1176.1,583547,7108.13,36344,328259,56.25,05-Oct-2021
ADANIPORTS,EQ,744.15,753.8,742.0,743.95,744.2,3270764,24395.65,48463,841108,25.72,05-Oct-2021
ADANIPOWER,EQ,102.8,106.8,101.75,106.5,101.75,18388056,19371.61,101231,8659949,47.10,05-Oct-2021
